ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q5TNV1,Q5TNV1_ANOGA,nan,ANOGA,3.0,,,,,,,1,,,1,,1,,
B7Z015,nan,nan,nan,2.0,,,,,,,1,,,,,1,,
B0CLY8,B0CLY8_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
B0S521,B0S521_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
C3ZMZ0,C3ZMZ0_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C4Q130,nan,nan,nan,1.0,,,,,,,,,,,,1,,
C4Q8D9,nan,nan,nan,1.0,,,,,,,,,,,,1,,
E7F9P1,E7F9P1_DANRE,ENSDARP00000098890,DANRE,1.0,,,,,,,,,,,,1,,
F6V1B5,F6V1B5_MACMU,ENSMMUP00000002685,MACMU,1.0,,,,,,,,,,,,1,,
H2Q0F6,H2Q0F6_PANTR,ENSPTRP00000002629,PANTR,1.0,,,,,,,,,,,,1,,
H2SYT8,H2SYT8_TAKRU,ENSTRUP00000017576,TAKRU,1.0,,,,,,,,,,,,1,,
Q96NY8,PVRL4_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q9BY67,CADM1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q9TXI8,Q9TXI8_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q9UIR0,BTNL2_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
