ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7PFQ6,Q7PFQ6_ANOGA,nan,ANOGA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2Q0I7,H2Q0I7_PANTR,ENSPTRP00000002709,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3ZPA5,C3ZPA5_BRAFL,nan,BRAFL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9VC99,UCK_DROME,nan,DROME,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
F1NMM9,F1NMM9_CHICK,ENSGALP00000005542,CHICK,13.0,,1,1,1,1,1,1,1,1,1,1,1,1,1
F1P7N1,F1P7N1_CANFA,ENSCAFP00000019858,CANFA,13.0,,1,1,1,1,1,1,1,1,1,1,1,1,1
F6ZWL3,F6ZWL3_MACMU,ENSMMUP00000000760,MACMU,12.0,,1,1,,1,1,1,1,1,1,1,1,1,1
E1BMA5,E1BMA5_BOVIN,ENSBTAP00000053278,BOVIN,12.0,,1,1,,1,1,1,1,1,1,1,1,1,1
F7FW97,F7FW97_MONDO,ENSMODP00000001629,MONDO,12.0,,1,1,,1,1,1,1,1,1,1,1,1,1
Q17413,UCK_CAEEL,nan,CAEEL,12.0,1,1,,1,1,1,,1,1,1,1,1,1,1
B7PHT7,B7PHT7_IXOSC,nan,IXOSC,12.0,1,1,,1,1,1,1,1,1,1,1,1,,1
H2U5A0,H2U5A0_TAKRU,ENSTRUP00000032113,TAKRU,12.0,,1,1,1,,1,1,1,1,1,1,1,1,1
Q99PM9,UCK2_MOUSE,nan,MOUSE,12.0,,1,1,,1,1,1,1,1,1,1,1,1,1
Q9BZX2,UCK2_HUMAN,nan,HUMAN,12.0,,1,1,,1,1,1,1,1,1,1,1,1,1
Q7SYM0,UCK2A_DANRE,nan,DANRE,10.0,,,1,,1,,1,1,1,1,1,1,1,1
B5DF24,B5DF24_RAT,nan,RAT,9.0,,1,,,,1,1,1,1,,1,1,1,1
G1K3I4,G1K3I4_XENTR,ENSXETP00000037794,XENTR,9.0,,,1,,1,,1,1,1,1,1,1,1,
D3ZEY2,nan,nan,nan,9.0,,,1,,1,,,1,1,1,1,1,1,1
F6YEF9,F6YEF9_XENTR,ENSXETP00000003108,XENTR,9.0,,1,,,,1,,1,1,1,1,1,1,1
A7T8B4,A7T8B4_NEMVE,nan,NEMVE,9.0,1,1,,,1,,1,,1,,1,1,1,1
F6VMU8,F6VMU8_CIOIN,ENSCINP00000026241,CIOIN,9.0,,,,,1,1,1,1,1,,1,1,1,1
Q7ZV79,UCK2B_DANRE,nan,DANRE,8.0,,,,,,1,,1,1,1,1,1,1,1
Q8T154,UCKB_DICDI,nan,DICDI,8.0,,,,1,1,,1,,1,,1,1,1,1
C4QE53,nan,nan,nan,8.0,,,1,,1,1,,,1,,1,1,1,1
F6Y3Q4,F6Y3Q4_ORNAN,ENSOANP00000008724,ORNAN,7.0,,,,,,1,,1,1,1,,1,1,1
nan,nan,ENSCINP00000026170,CIOIN,7.0,,,1,,,,,1,1,,1,1,1,1
H2VCF0,H2VCF0_TAKRU,ENSTRUP00000046893,TAKRU,7.0,,,,,,,,1,1,1,1,1,1,1
A9WCC8,URK_CHLAA,nan,CHLAA,7.0,1,1,1,1,,,1,1,1,,,,,
H2R653,H2R653_PANTR,ENSPTRP00000048764,PANTR,6.0,,,,,,,,1,1,,1,1,1,1
P0A8F4,URK_ECOLI,nan,ECOLI,6.0,1,1,,1,,,1,1,1,,,,,
Q66I71,UCK1_DANRE,nan,DANRE,6.0,,,,,,,,1,1,,1,1,1,1
Q9HA47,UCK1_HUMAN,nan,HUMAN,6.0,,,,,,,,1,1,,1,1,1,1
Q0P5A4,UCK1_BOVIN,ENSBTAP00000014316,BOVIN,6.0,,,,,,,,1,1,,1,1,1,1
A2AN37,A2AN37_MOUSE,nan,MOUSE,6.0,,,,,,,,1,1,,1,1,1,1
O32033,URK_BACSU,nan,BACSU,6.0,1,1,,1,,,1,1,1,,,,,
F6PHT3,F6PHT3_MONDO,ENSMODP00000015598,MONDO,6.0,,,,,,,,1,1,,1,1,1,1
F1PH93,F1PH93_CANFA,ENSCAFP00000029480,CANFA,6.0,,,,,,,,1,1,,1,1,1,1
F1NN92,F1NN92_CHICK,ENSGALP00000005911,CHICK,6.0,,,,,,,,1,1,,1,1,1,1
B0R550,B0R550_HALS3,nan,HALS3,6.0,1,1,,1,,,,1,1,1,,,,
F6R3B0,F6R3B0_MACMU,ENSMMUP00000013056,MACMU,6.0,,,,,,,,1,1,,1,1,1,1
B8C4B7,B8C4B7_THAPS,nan,THAPS,5.0,1,1,,1,,,,1,1,,,,,
Q9RXZ5,URK_DEIRA,nan,DEIRA,5.0,1,1,,1,,,,1,1,,,,,
Q8ABC6,Q8ABC6_BACTN,nan,BACTN,5.0,1,1,,1,,,,1,1,,,,,
C4QE52,nan,nan,nan,4.0,,,,,,,,,1,,,1,1,1
A9U805,A9U805_PHYPA,nan,PHYPA,4.0,1,1,,1,,,,,1,,,,,
O86779,COAA_STRCO,nan,STRCO,3.0,1,,,,,,1,,,,,,1,
Q4Q614,Q4Q614_LEIMA,nan,LEIMA,3.0,,,,1,,,1,,,,,,,1
P72753,UPP_SYNY3,nan,SYNY3,3.0,,,,,1,,,1,,,1,,,
Q7NIR0,Q7NIR0_GLOVI,nan,GLOVI,2.0,,,,,,,,1,,,,1,,
Q7NPJ2,Q7NPJ2_GLOVI,nan,GLOVI,2.0,,,,,1,,,,,,1,,,
A9SJ02,A9SJ02_PHYPA,nan,PHYPA,2.0,,,,,,,1,,,,1,,,
A9TY89,A9TY89_PHYPA,nan,PHYPA,2.0,,,,,1,,,,,,1,,,
Q8VYB2,UKL3_ARATH,nan,ARATH,2.0,,,,,,,1,,,,1,,,
A9RNS6,A9RNS6_PHYPA,nan,PHYPA,2.0,,,,,1,,,,,,1,,,
Q9FKS0,UKL1_ARATH,nan,ARATH,2.0,,,,,1,,,,,,1,,,
A8BYJ2,A8BYJ2_GIAIC,nan,GIAIC,2.0,,,,,,1,1,,,,,,,
Q7NI87,Q7NI87_GLOVI,nan,GLOVI,2.0,,,,,,,1,1,,,,,,
F7EGD4,F7EGD4_ORNAN,ENSOANP00000023284,ORNAN,2.0,,,,,,,1,,,,,,,1
Q7ND12,Q7ND12_GLOVI,nan,GLOVI,2.0,,,,1,,,,1,,,,,,
B8BYV0,B8BYV0_THAPS,nan,THAPS,2.0,,,,,1,,,,,,1,,,
P63810,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
P0A6I3,COAA_ECOLI,nan,ECOLI,1.0,,,,,,,,,,,,1,,
Q9WZL0,Q9WZL0_THEMA,nan,THEMA,1.0,,,,,,,1,,,,,,,
A2FPS3,A2FPS3_TRIVA,nan,TRIVA,1.0,,,,,,,1,,,,,,,
A2EC46,A2EC46_TRIVA,nan,TRIVA,1.0,,,,,,1,,,,,,,,
Q9M336,UPP_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9LTY6,UKL5_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9LK34,UKL2_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
O65583,UKL4_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
O94642,TAD2_SCHPO,nan,SCHPO,1.0,1,,,,,,,,,,,,,
Q6C346,Q6C346_YARLI,nan,YARLI,1.0,1,,,,,,,,,,,,,
Q9AD86,Q9AD86_STRCO,nan,STRCO,1.0,,,,,,,,,1,,,,,
Q5A9Z7,Q5A9Z7_CANAL,nan,CANAL,1.0,1,,,,,,,,,,,,,
P37101,KPPR_SYNY3,nan,SYNY3,1.0,,,,,,,,1,,,,,,
P91500,P91500_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
Q89WM2,COAA_BRADU,nan,BRADU,1.0,,,,,,,,,,,,1,,
A9U401,A9U401_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
Q7S8I3,Q7S8I3_NEUCR,nan,NEUCR,1.0,,,,,,,1,,,,,,,
A9WEJ3,A9WEJ3_CHLAA,nan,CHLAA,1.0,,,,,,,,,,,,1,,
Q55EL3,UCKA_DICDI,nan,DICDI,1.0,,,,,,,,,,1,,,,
B8DYI7,B8DYI7_DICTD,nan,DICTD,1.0,,,,,,,1,,,,,,,
