ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7PRL4,Q7PRL4_ANOGA,nan,ANOGA,11.0,1,1,1,1,,1,1,1,1,1,,1,,1
Q400N2,Q400N2_DROME,nan,DROME,9.0,1,1,1,1,,1,1,1,1,,,1,,
Q9W6V0,Q9W6V0_CHICK,nan,CHICK,6.0,1,1,,1,,1,1,,,,,,,1
B7QIX9,B7QIX9_IXOSC,nan,IXOSC,5.0,1,1,,,,1,1,1,,,,,,
F7GHS5,F7GHS5_MONDO,ENSMODP00000013265,MONDO,4.0,,,,1,,1,1,,,,,,,1
E7FFB1,E7FFB1_DANRE,ENSDARP00000099073,DANRE,4.0,1,,,,,1,1,,,,,,,1
H2R568,H2R568_PANTR,ENSPTRP00000047868,PANTR,3.0,,,,,,1,1,,,,,,,1
F7BZE8,F7BZE8_MACMU,ENSMMUP00000003170,MACMU,3.0,,,,,,1,1,,,,,,,1
A7RUS1,A7RUS1_NEMVE,nan,NEMVE,3.0,,,,,,1,1,,,,,,,1
Q99996,AKAP9_HUMAN,nan,HUMAN,3.0,,,,,,1,1,,,,,,,1
H2UP02,H2UP02_TAKRU,ENSTRUP00000038673,TAKRU,3.0,,,1,1,,1,,,,,,,,
F1PBY8,F1PBY8_CANFA,ENSCAFP00000002847,CANFA,3.0,,,,,,1,,1,,,,,,1
F7BVB6,F7BVB6_MONDO,ENSMODP00000010433,MONDO,2.0,1,1,,,,,,,,,,,,
H2U8Y7,H2U8Y7_TAKRU,ENSTRUP00000033403,TAKRU,2.0,,,,,,,1,,,,,,,1
P48725,PCNT_MOUSE,nan,MOUSE,2.0,,,,,,1,1,,,,,,,
F1MXF5,F1MXF5_BOVIN,ENSBTAP00000009791,BOVIN,2.0,,,,,,1,,,,,,,,1
D3ZMY8,D3ZMY8_RAT,nan,RAT,2.0,,,,,,1,1,,,,,,,
C4QB33,C4QB33_SCHMA,nan,SCHMA,2.0,1,,,,,,1,,,,,,,
B8C6J4,B8C6J4_THAPS,nan,THAPS,2.0,1,1,,,,,,,,,,,,
B0XZ64,B0XZ64_ASPFC,nan,ASPFC,2.0,1,,,,,1,,,,,,,,
Q4P966,Q4P966_USTMA,nan,USTMA,1.0,1,,,,,,,,,,,,,
Q59L76,Q59L76_CANAL,nan,CANAL,1.0,,,,,,1,,,,,,,,
Q0UJI9,Q0UJI9_PHANO,nan,PHANO,1.0,,,,,,1,,,,,,,,
Q08378,GOGA3_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
P55937,GOGA3_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
P49454,CENPF_HUMAN,ENSP00000355922,HUMAN,1.0,,,,1,,,,,,,,,,
