ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7PWW7,Q7PWW7_ANOGA,nan,ANOGA,9.0,,,1,,1,1,,1,1,1,1,1,,1
Q9V9N5,Q9V9N5_DROME,nan,DROME,8.0,,,1,,1,,,1,1,1,1,1,,1
B7QEZ1,B7QEZ1_IXOSC,nan,IXOSC,7.0,,,,,1,,,1,1,1,1,1,,1
C3ZTC4,C3ZTC4_BRAFL,nan,BRAFL,7.0,,,1,,1,,,1,1,1,1,1,,
E1B9Y2,E1B9Y2_BOVIN,ENSBTAP00000052147,BOVIN,6.0,,,,,1,1,,1,,1,1,1,,
A2AJA9,CI172_MOUSE,nan,MOUSE,6.0,,,,,1,1,,1,,1,1,1,,
C4QTP9,nan,nan,nan,6.0,,,,,1,1,,1,,1,1,1,,
E2R1M5,E2R1M5_CANFA,ENSCAFP00000028917,CANFA,6.0,,,,,1,1,,1,,1,1,1,,
C9J069,CI172_HUMAN,nan,HUMAN,5.0,,,,,1,,,1,,1,1,1,,
A7SBM3,A7SBM3_NEMVE,nan,NEMVE,5.0,,,,,1,,,1,,1,1,1,,
F6WFJ5,F6WFJ5_MONDO,ENSMODP00000021642,MONDO,5.0,,,,,1,,,1,,1,1,1,,
F7A7F9,F7A7F9_XENTR,ENSXETP00000008554,XENTR,5.0,,,,,1,,,1,,1,1,1,,
F7AJL4,F7AJL4_MACMU,ENSMMUP00000006687,MACMU,5.0,,,,,1,,,1,,1,1,1,,
H2RW42,H2RW42_TAKRU,ENSTRUP00000004362,TAKRU,5.0,,,,,1,,,1,,1,1,1,,
H2T3R2,H2T3R2_TAKRU,ENSTRUP00000019300,TAKRU,5.0,,,,,,,,1,,1,1,1,,1
D3ZTF0,D3ZTF0_RAT,nan,RAT,4.0,,,,,1,,,1,,1,1,,,
Q18138,nan,nan,nan,2.0,,,,,,1,,,,,,,,1
