ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7PWY3,Q7PWY3_ANOGA,nan,ANOGA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7RS70,A7RS70_NEMVE,nan,NEMVE,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
Q9W323,Q9W323_DROME,nan,DROME,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
F1N6W1,F1N6W1_BOVIN,ENSBTAP00000022588,BOVIN,11.0,1,1,1,1,,1,1,1,,1,1,1,1,
Q641Z2,PTN9_RAT,nan,RAT,11.0,1,1,1,1,,1,1,1,,1,1,1,1,
P43378,PTN9_HUMAN,nan,HUMAN,11.0,1,1,1,1,,1,1,1,,1,1,1,1,
O35239,PTN9_MOUSE,nan,MOUSE,11.0,1,1,1,1,,1,1,1,,1,1,1,1,
H2Q9U3,H2Q9U3_PANTR,ENSPTRP00000012491,PANTR,11.0,1,1,1,1,,1,1,1,,1,1,1,1,
F7GVM8,F7GVM8_MACMU,ENSMMUP00000005043,MACMU,11.0,1,1,1,1,,1,1,1,,1,1,1,1,
F7CAT6,F7CAT6_MONDO,ENSMODP00000011050,MONDO,11.0,1,1,1,1,,1,1,1,,1,1,1,1,
F7B4N1,F7B4N1_ORNAN,ENSOANP00000004429,ORNAN,11.0,1,1,1,1,,1,1,1,,1,1,1,1,
F1PGY8,F1PGY8_CANFA,ENSCAFP00000026647,CANFA,11.0,1,1,1,1,,1,1,1,,1,1,1,1,
F1NV57,F1NV57_CHICK,ENSGALP00000002547,CHICK,11.0,1,1,1,1,,1,1,1,,1,1,1,1,
nan,nan,ENSXETP00000039006,XENTR,11.0,1,1,,,1,1,,1,1,1,1,1,1,1
B8A4Y0,nan,nan,nan,11.0,1,1,,,1,1,,1,1,1,1,1,1,1
H2SHI6,H2SHI6_TAKRU,ENSTRUP00000011868,TAKRU,10.0,,1,,,1,1,,1,1,1,1,1,1,1
