ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7QGA5,Q7QGA5_ANOGA,nan,ANOGA,3.0,,,,,,,,,1,1,,1,,
P33333,PLSC_YEAST,nan,YEAST,2.0,,,,,,,,,,1,,1,,
Q9US20,YLD2_SCHPO,nan,SCHPO,2.0,,,,,,,,,,1,,1,,
Q54EU4,Q54EU4_DICDI,nan,DICDI,2.0,,,,,,,,,,1,,1,,
F7DIW2,F7DIW2_XENTR,ENSXETP00000025384,XENTR,2.0,,,,,,,,,1,,,1,,
Q7KTI0,Q7KTI0_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q22267,PLC2_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q5AEL8,Q5AEL8_CANAL,nan,CANAL,1.0,,,,,,,,,,1,,,,
Q6C5D5,Q6C5D5_YARLI,nan,YARLI,1.0,,,,,,,,,,1,,,,
Q747Z9,Q747Z9_GEOSL,nan,GEOSL,1.0,,,,,,,,,,1,,,,
A0JMM2,A0JMM2_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
O35083,PLCA_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q89UM3,Q89UM3_BRADU,nan,BRADU,1.0,,,,,,,,,,1,,,,
Q8AB68,Q8AB68_BACTN,nan,BACTN,1.0,,,,,,,,,,1,,,,
Q8GXU8,LPAT1_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
Q8K3K7,PLCB_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q95JH2,PLCA_BOVIN,ENSBTAP00000005821,BOVIN,1.0,,,,,,,,,,,,1,,
Q99943,PLCA_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q9X219,Q9X219_THEMA,nan,THEMA,1.0,,,,,,,,,,1,,,,
P26647,PLSC_ECOLI,nan,ECOLI,1.0,,,,,,,,,,1,,,,
O15120,PLCB_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
A6UX66,A6UX66_PSEA7,nan,PSEA7,1.0,,,,,,,,,,1,,,,
E2R1F6,E2R1F6_CANFA,ENSCAFP00000028942,CANFA,1.0,,,,,,,,,,,,1,,
B5YI02,B5YI02_THEYD,nan,THEYD,1.0,,,,,,,,,,1,,,,
B7P660,B7P660_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B8CEH9,B8CEH9_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
C4PWZ6,nan,nan,nan,1.0,,,,,,,,,,,,1,,
D4AC45,D4AC45_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
E1BTF7,E1BTF7_CHICK,nan,CHICK,1.0,,,,,,,,,,,,1,,
E1C2V0,E1C2V0_CHICK,nan,CHICK,1.0,,,,,,,,,,,,1,,
F1MZS9,F1MZS9_BOVIN,ENSBTAP00000035108,BOVIN,1.0,,,,,,,,,,,,1,,
H2VDZ3,H2VDZ3_TAKRU,ENSTRUP00000047438,TAKRU,1.0,,,,,,,,,,,,1,,
F7AF82,F7AF82_XENTR,ENSXETP00000011398,XENTR,1.0,,,,,,,,,,,,1,,
F7AHW4,F7AHW4_MONDO,ENSMODP00000021952,MONDO,1.0,,,,,,,,,,,,1,,
F7CXU0,F7CXU0_XENTR,ENSXETP00000001688,XENTR,1.0,,,,,,,,,,,,1,,
F7GGB0,F7GGB0_MONDO,ENSMODP00000018622,MONDO,1.0,,,,,,,,,,,,1,,
F7HF22,F7HF22_MACMU,ENSMMUP00000024254,MACMU,1.0,,,,,,,,,,,,1,,
H2QSR0,H2QSR0_PANTR,ENSPTRP00000030753,PANTR,1.0,,,,,,,,,,,,1,,
H2R617,H2R617_PANTR,ENSPTRP00000048655,PANTR,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCAFP00000001104,CANFA,1.0,,,,,,,,,,,,1,,
