ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7QGN1,Q7QGN1_ANOGA,nan,ANOGA,7.0,,,,1,,,,1,1,,1,1,1,1
A7SDN3,A7SDN3_NEMVE,nan,NEMVE,5.0,,,,,,,,1,1,,1,,1,1
Q7YTU0,Q7YTU0_CAEEL,nan,CAEEL,4.0,,,,,,,,,,,1,1,1,1
F7E0W5,F7E0W5_MACMU,ENSMMUP00000023413,MACMU,3.0,,,,,,,,,,,1,,1,1
E7FAX3,E7FAX3_DANRE,ENSDARP00000080009,DANRE,3.0,,,,,,,,,,,1,,1,1
H2TQ58,H2TQ58_TAKRU,ENSTRUP00000026815,TAKRU,3.0,,,,,,,,,,,1,,1,1
H2QTA3,H2QTA3_PANTR,ENSPTRP00000031357,PANTR,3.0,,,,,,,,,,,1,,1,1
Q6YHK3,CD109_HUMAN,nan,HUMAN,3.0,,,,,,,,,,,1,,1,1
F7AG87,F7AG87_MONDO,ENSMODP00000023094,MONDO,3.0,,,,,,,,,,,1,,1,1
Q8R422,CD109_MOUSE,nan,MOUSE,3.0,,,,,,,,,,,1,,1,1
F1PM26,F1PM26_CANFA,ENSCAFP00000003885,CANFA,3.0,,,,,,,,,,,1,,1,1
F1NX21,F1NX21_CHICK,ENSGALP00000025597,CHICK,3.0,,,,,,,,,,,1,,1,1
F1MPE1,F1MPE1_BOVIN,ENSBTAP00000053585,BOVIN,3.0,,,,,,,,,,,1,,1,1
H2UQR3,H2UQR3_TAKRU,ENSTRUP00000039286,TAKRU,3.0,,,,,,,,,,,1,,1,1
B7Q1E2,B7Q1E2_IXOSC,nan,IXOSC,3.0,,,,,,,,,,,1,,1,1
Q9X079,Y984_THEMA,nan,THEMA,3.0,,,,,,,,,1,,1,,1,
C3XUC0,C3XUC0_BRAFL,nan,BRAFL,3.0,,,,,,,,1,,,,,1,1
F7BB43,F7BB43_CIOIN,ENSCINP00000018594,CIOIN,2.0,,,,,,,,1,,,,,,1
Q8ABE6,Q8ABE6_BACTN,nan,BACTN,2.0,,,,,,,,,1,,1,,,
A7STJ8,A7STJ8_NEMVE,nan,NEMVE,2.0,,,,,,,,1,,,,,,1
P76578,YFHM_ECOLI,nan,ECOLI,2.0,,,,,,,,,1,,1,,,
F7BBP3,F7BBP3_CIOIN,ENSCINP00000009303,CIOIN,2.0,,,,,,,,1,,,1,,,
Q89LV5,Q89LV5_BRADU,nan,BRADU,2.0,,,,,,,,,1,,1,,,
Q8RFV3,Q8RFV3_FUSNN,nan,FUSNN,2.0,,,,,,,,,1,,1,,,
C4QL89,nan,nan,nan,2.0,,,,,,,,,1,,1,,,
Q8IZJ3,CPMD8_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
nan,nan,ENSBTAP00000023983,BOVIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSPTRP00000018184,PANTR,1.0,,,,,,,,,,,1,,,
P08649,CO4_RAT,nan,RAT,1.0,,,,,,,,1,,,,,,
P76464,YFAS_ECOLI,nan,ECOLI,1.0,,,,,,,,,,,1,,,
Q9VLY7,Q9VLY7_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q9RYL9,Y2993_DEIRA,nan,DEIRA,1.0,,,,,,,,,,,1,,,
Q6MG90,Q6MG90_RAT,ENSRNOP00000037902,RAT,1.0,,,,,,,,1,,,,,,
Q6MG90,Q6MG90_RAT,nan,RAT,1.0,,,,,,,,1,,,,,,
Q9NFV8,Q9NFV8_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
