ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
O67737,O67737_AQUAE,nan,AQUAE,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
B5YJL6,B5YJL6_THEYD,nan,THEYD,12.0,1,1,1,1,1,,1,1,1,1,1,1,1,
Q8TRJ1,Q8TRJ1_METAC,nan,METAC,11.0,1,1,1,1,1,,1,1,1,1,1,,1,
Q74FI5,Q74FI5_GEOSL,nan,GEOSL,10.0,1,1,1,1,,,1,1,,1,1,1,1,
A9S562,A9S562_PHYPA,nan,PHYPA,10.0,1,1,,,1,,1,1,1,1,1,1,1,
Q89Z13,Q89Z13_BACTN,nan,BACTN,10.0,1,1,1,1,1,,1,1,1,1,1,,,
Q7UQI5,Q7UQI5_RHOBA,nan,RHOBA,9.0,1,1,,1,1,,1,1,1,1,1,,,
P77757,ARNC_ECOLI,nan,ECOLI,9.0,1,1,1,1,1,,1,1,,,1,1,,
A6V1P1,ARNC_PSEA7,nan,PSEA7,8.0,1,1,1,1,1,,1,1,,,1,,,
A9WD20,A9WD20_CHLAA,nan,CHLAA,6.0,1,1,,,1,,1,1,,,1,,,
P71781,nan,nan,nan,6.0,1,,,1,1,,,1,,1,1,,,
A2BDX1,nan,nan,nan,5.0,1,1,,,,,1,1,,1,,,,
Q5A789,Q5A789_CANAL,nan,CANAL,5.0,1,1,,,,,1,1,,1,,,,
C3ZBF0,C3ZBF0_BRAFL,nan,BRAFL,5.0,1,1,,,,,1,1,,1,,,,
C7FFR6,C7FFR6_BOVIN,ENSBTAP00000010153,BOVIN,5.0,1,1,,,,,1,1,,1,,,,
D4A8N1,D4A8N1_RAT,nan,RAT,5.0,1,1,,,,,1,1,,1,,,,
O34319,YKCC_BACSU,nan,BACSU,5.0,,1,,,1,,1,1,,,1,,,
O14466,DPM1_SCHPO,nan,SCHPO,5.0,1,1,,,,,1,1,,1,,,,
F6XRX5,F6XRX5_MONDO,ENSMODP00000029121,MONDO,5.0,1,1,,,,,1,1,,1,,,,
F6Z7S8,F6Z7S8_XENTR,ENSXETP00000026906,XENTR,5.0,1,1,,,,,1,1,,1,,,,
B0XXW0,B0XXW0_ASPFC,nan,ASPFC,5.0,1,1,,,,,1,1,,1,,,,
Q8IHU9,Q8IHU9_PLAF7,nan,PLAF7,5.0,1,1,,,,,1,1,,1,,,,
Q7NMR5,Q7NMR5_GLOVI,nan,GLOVI,5.0,1,1,,,1,,,1,,,1,,,
Q7Q1B7,Q7Q1B7_ANOGA,nan,ANOGA,5.0,1,1,,,,,1,1,,1,,,,
Q7S920,Q7S920_NEUCR,nan,NEUCR,5.0,1,1,,,,,1,1,,1,,,,
Q97TZ0,Q97TZ0_SULSO,nan,SULSO,5.0,1,,,1,,,1,1,,1,,,,
A7ENA8,A7ENA8_SCLS1,nan,SCLS1,5.0,1,1,,,,,1,1,,1,,,,
F7H498,F7H498_MACMU,ENSMMUP00000003704,MACMU,4.0,1,,,,,,1,1,,1,,,,
nan,nan,ENSCINP00000006730,CIOIN,4.0,1,,,,,,1,1,,1,,,,
Q9L0K5,Q9L0K5_STRCO,nan,STRCO,4.0,,,,,1,,1,1,,,1,,,
O60762,DPM1_HUMAN,nan,HUMAN,4.0,1,,,,,,1,1,,1,,,,
P14020,DPM1_YEAST,nan,YEAST,4.0,1,,,,,,1,1,,1,,,,
Q8F1Q8,Q8F1Q8_LEPIN,nan,LEPIN,4.0,1,,,,1,,,1,,,1,,,
Q5KM94,Q5KM94_CRYNJ,nan,CRYNJ,4.0,1,,,,,,1,1,,1,,,,
P54856,DPM1_USTMA,nan,USTMA,4.0,1,,,,,,1,1,,1,,,,
