ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
O23144,PPI1_ARATH,nan,ARATH,9.0,,,1,1,1,1,1,1,1,,1,,,1
A9TG04,A9TG04_PHYPA,nan,PHYPA,7.0,,,1,1,1,,,1,1,,1,,,1
A9TWU0,A9TWU0_PHYPA,nan,PHYPA,7.0,,,,,1,1,1,1,1,,1,,,1
B8BYF6,B8BYF6_THAPS,nan,THAPS,2.0,,,,1,,1,,,,,,,,
A7SMH1,A7SMH1_NEMVE,nan,NEMVE,1.0,,,,,,1,,,,,,,,
A8BNT2,A8BNT2_GIAIC,nan,GIAIC,1.0,,,,1,,,,,,,,,,
B8E1A6,B8E1A6_DICTD,nan,DICTD,1.0,,,,,,,,,,,1,,,
P71020,YLMH_BACSU,nan,BACSU,1.0,,,,,,,,,,,1,,,
P74082,P74082_SYNY3,nan,SYNY3,1.0,,,,,,,,,,,1,,,
Q4P691,Q4P691_USTMA,nan,USTMA,1.0,,,,,,1,,,,,,,,
Q5KH24,Q5KH24_CRYNJ,nan,CRYNJ,1.0,,,,,,1,,,,,,,,
Q7NNM0,Q7NNM0_GLOVI,nan,GLOVI,1.0,,,,,,,,,,,1,,,
Q7S8Z6,Q7S8Z6_NEUCR,nan,NEUCR,1.0,,,,,,1,,,,,,,,
Q8RGV5,Q8RGV5_FUSNN,nan,FUSNN,1.0,,,,,,,,,,,1,,,
Q9RW82,Q9RW82_DEIRA,nan,DEIRA,1.0,,,,,,,,,,,1,,,
