ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9C930,Q9C930_ARATH,nan,ARATH,8.0,,,1,,1,1,,1,1,1,1,,,1
A9S0N2,A9S0N2_PHYPA,nan,PHYPA,5.0,,,1,,,,,1,1,,1,,,1
A9T413,A9T413_PHYPA,nan,PHYPA,5.0,,,,,,1,,1,1,,1,,,1
A9TF18,A9TF18_PHYPA,nan,PHYPA,5.0,,,,,1,,,1,1,,1,,,1
A9RZ49,A9RZ49_PHYPA,nan,PHYPA,4.0,,,,,,,,1,1,,1,,,1
A9T0I8,A9T0I8_PHYPA,nan,PHYPA,4.0,,,,,,,,1,1,,1,,,1
A9T3D4,A9T3D4_PHYPA,nan,PHYPA,4.0,,,,,,,,1,1,,1,,,1
A9S7U1,A9S7U1_PHYPA,nan,PHYPA,2.0,,,,,,,,,,,1,,,1
A9SW36,A9SW36_PHYPA,nan,PHYPA,2.0,,,,,,,,,,,1,,,1
A9RNA7,A9RNA7_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
A9SF84,A9SF84_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
A9T0E0,A9T0E0_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
A9TAW5,A9TAW5_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
