ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9FMR1,RGAP1_ARATH,nan,ARATH,10.0,1,1,,,,1,1,1,1,1,1,1,1,
A7UT19,nan,nan,nan,5.0,,,,,,1,1,1,1,,,,1,
A2E606,A2E606_TRIVA,nan,TRIVA,4.0,,,,,,1,,1,,,,1,1,
A9V2K3,A9V2K3_MONBE,nan,MONBE,4.0,1,1,,,,,,,,,,1,1,
E2RFM4,E2RFM4_CANFA,ENSCAFP00000013751,CANFA,4.0,,,,,,1,1,,,,,1,1,
F1MHI2,F1MHI2_BOVIN,ENSBTAP00000005165,BOVIN,3.0,,,,,,,1,,,,,1,1,
nan,nan,ENSBTAP00000005809,BOVIN,3.0,,,,,,,,,1,,,1,1,
nan,nan,ENSBTAP00000049915,BOVIN,3.0,,,,,,,,,1,,,1,1,
Q54Y72,GACA_DICDI,nan,DICDI,3.0,,,,,,,,1,,1,1,,,
A7SKK0,A7SKK0_NEMVE,nan,NEMVE,3.0,,,,,,,1,,1,,,,1,
A7SDK1,A7SDK1_NEMVE,nan,NEMVE,3.0,,,,,,,,,1,,,1,1,
Q9BKW0,Q9BKW0_CAEEL,nan,CAEEL,3.0,,,,,,,1,1,,,,1,,
B7PS77,B7PS77_IXOSC,nan,IXOSC,3.0,1,1,,,,,,,,,,,1,
B7PQA6,B7PQA6_IXOSC,nan,IXOSC,3.0,,,,,,,1,,,,,1,1,
A9V0G7,A9V0G7_MONBE,nan,MONBE,3.0,,,,,,,1,,,,,1,1,
F6UV94,F6UV94_MACMU,ENSMMUP00000035036,MACMU,3.0,,,,,,1,,,,,,1,1,
nan,nan,ENSPTRP00000055297,PANTR,3.0,,,,,,,,,1,,,1,1,
nan,nan,ENSPTRP00000058615,PANTR,3.0,,,,,,,,,1,,,1,1,
Q54XT6,GACR_DICDI,nan,DICDI,3.0,1,,,,,,,,,,,1,1,
H2Q1V6,H2Q1V6_PANTR,ENSPTRP00000004270,PANTR,2.0,,,,,,,,,,,,1,1,
F7H6M3,F7H6M3_MACMU,ENSMMUP00000008593,MACMU,2.0,,,,,,,,,,,,1,1,
F7HKM4,F7HKM4_MACMU,ENSMMUP00000003686,MACMU,2.0,,,,,,,,,,,,1,1,
G3X7W3,G3X7W3_BOVIN,ENSBTAP00000044634,BOVIN,2.0,,,,,,,,,,,,1,1,
G5E620,G5E620_BOVIN,ENSBTAP00000046983,BOVIN,2.0,,,,,,,,,,,,1,1,
F7H213,F7H213_MACMU,ENSMMUP00000015729,MACMU,2.0,,,,,,,,,,,,1,1,
F7CI83,F7CI83_MACMU,ENSMMUP00000037126,MACMU,2.0,,,,,,,,,,,,1,1,
H2Q3I0,H2Q3I0_PANTR,ENSPTRP00000006166,PANTR,2.0,,,,,,,,,,,,1,1,
H2QBT6,H2QBT6_PANTR,ENSPTRP00000014533,PANTR,2.0,,,,,,,,,,,,1,1,
F7GJ03,F7GJ03_MACMU,ENSMMUP00000026324,MACMU,2.0,,,,,,,,,,,,1,1,
H2QKC5,H2QKC5_PANTR,ENSPTRP00000023161,PANTR,2.0,,,,,,,,,,,,1,1,
H2QPU1,H2QPU1_PANTR,ENSPTRP00000027904,PANTR,2.0,,,,,,,,,,,,1,1,
H2QTQ5,H2QTQ5_PANTR,ENSPTRP00000031735,PANTR,2.0,,,,,,,,,,,,1,1,
H2QTZ3,H2QTZ3_PANTR,ENSPTRP00000032006,PANTR,2.0,,,,,,,,,,,,1,1,
H2QYQ6,H2QYQ6_PANTR,ENSPTRP00000037778,PANTR,2.0,,,,,,,,,,,,1,1,
H2R2A0,H2R2A0_PANTR,ENSPTRP00000043633,PANTR,2.0,,,,,,,,,,,,1,1,
H2R2E9,H2R2E9_PANTR,ENSPTRP00000043836,PANTR,2.0,,,,,,,,,,,,1,1,
H2RCZ1,H2RCZ1_PANTR,ENSPTRP00000058053,PANTR,2.0,,,,,,,,,,,,1,1,
H2S7B9,H2S7B9_TAKRU,ENSTRUP00000008291,TAKRU,2.0,,,,,,,,,,,,1,1,
H2SE21,H2SE21_TAKRU,ENSTRUP00000010652,TAKRU,2.0,,,,,,,,,,,,1,1,
H2SV70,H2SV70_TAKRU,ENSTRUP00000016308,TAKRU,2.0,,,,,,,,,,,,1,1,
H2QI10,H2QI10_PANTR,ENSPTRP00000020617,PANTR,2.0,,,,,,,,,,,,1,1,
F7DIS3,F7DIS3_XENTR,ENSXETP00000037365,XENTR,2.0,,,,,,,,,,,,1,1,
F7GE57,F7GE57_MONDO,ENSMODP00000014639,MONDO,2.0,,,,,,,,,,,,1,1,
F7EDB9,F7EDB9_ORNAN,ENSOANP00000026176,ORNAN,2.0,,,,,,,,,,,,1,1,
F6VHA4,F6VHA4_ORNAN,ENSOANP00000010875,ORNAN,2.0,,,,,,,,,,,,1,1,
F6VNQ1,F6VNQ1_ORNAN,ENSOANP00000010267,ORNAN,2.0,,,,,,,,,,,,1,1,
F6VWF7,F6VWF7_MACMU,ENSMMUP00000035186,MACMU,2.0,,,,,,,,,,,,1,1,
F6VWI1,F6VWI1_ORNAN,ENSOANP00000009960,ORNAN,2.0,,,,,,,,,,,,1,1,
F6W5V4,F6W5V4_MONDO,ENSMODP00000024821,MONDO,2.0,,,,,,,,,,,,1,1,
F6W8H8,F6W8H8_MACMU,ENSMMUP00000026797,MACMU,2.0,,,,,,,,,,,,1,1,
F6WCC7,F6WCC7_ORNAN,ENSOANP00000022826,ORNAN,2.0,,,,,,,,,,,,1,1,
F6X4P6,F6X4P6_CIOIN,ENSCINP00000027922,CIOIN,2.0,,,,,,,,,,,,1,1,
F6XXK5,F6XXK5_MONDO,ENSMODP00000019132,MONDO,2.0,,,,,,,,,,,,1,1,
F6Y6A5,F6Y6A5_MACMU,ENSMMUP00000036923,MACMU,2.0,,,,,,,,,,,,1,1,
F6ZKA6,F6ZKA6_MACMU,ENSMMUP00000005432,MACMU,2.0,,,,,,,,,,,,1,1,
F6ZSF4,F6ZSF4_MONDO,ENSMODP00000021984,MONDO,2.0,,,,,,,,,,,,1,1,
F7AVR9,F7AVR9_XENTR,ENSXETP00000010823,XENTR,2.0,,,,,,,,,,,,1,1,
F7AXZ4,F7AXZ4_CIOIN,ENSCINP00000007508,CIOIN,2.0,,,,,,,,,,,,1,1,
F7B042,F7B042_MACMU,ENSMMUP00000034303,MACMU,2.0,,,,,,,,,,,,1,1,
