ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9FX60,H3L1_ARATH,nan,ARATH,8.0,,,1,,,,,1,1,1,1,1,1,1
C6KT19,C6KT19_PLAF7,nan,PLAF7,5.0,,,,,,,,,1,1,,1,1,1
C6KSV0,C6KSV0_PLAF7,nan,PLAF7,4.0,,,,,,,,,1,,,1,1,1
B8CC53,B8CC53_THAPS,nan,THAPS,4.0,,,,,,,,,1,,1,1,,1
A8B471,A8B471_GIAIC,nan,GIAIC,3.0,,,,,,,,1,1,,,,,1
E2RU29,E2RU29_GIAIC,nan,GIAIC,3.0,,,,,,,,1,1,,,,,1
A2DGG3,A2DGG3_TRIVA,nan,TRIVA,3.0,,,,,,,,1,1,,,1,,
A2G7I3,A2G7I3_TRIVA,nan,TRIVA,3.0,,,,,,,,1,1,,,1,,
Q4QHB5,Q4QHB5_LEIMA,nan,LEIMA,2.0,,,,,,,,1,1,,,,,
O15819,H33A_DICDI,nan,DICDI,2.0,,,,,,,,1,1,,,,,
B5YMD6,B5YMD6_THAPS,nan,THAPS,2.0,,,,,,,,,1,1,,,,
Q55BN9,H33B_DICDI,nan,DICDI,2.0,,,,,,,,1,1,,,,,
Q59VN2,H31_CANAL,nan,CANAL,2.0,,,,,,,,1,,1,,,,
Q4QEV9,Q4QEV9_LEIMA,nan,LEIMA,2.0,,,,,,,,1,1,,,,,
Q4PB04,H32_USTMA,nan,USTMA,1.0,,,,,,,,1,,,,,,
Q4P7J7,H31_USTMA,nan,USTMA,1.0,,,,,,,,1,,,,,,
nan,nan,ENSBTAP00000051821,BOVIN,1.0,,,,,,,,,,,1,,,
Q27532,H33L2_CAEEL,nan,CAEEL,1.0,,,1,,,,,,,,,,,
Q0UY45,H3_PHANO,nan,PHANO,1.0,,,,,,,,1,,,,,,
P84227,H32_BOVIN,ENSBTAP00000050291,BOVIN,1.0,,,,,,,,,,,1,,,
P68433,H31_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
P61830,H3_YEAST,nan,YEAST,1.0,,,,,,,,1,,,,,,
P08898,H3_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
Q27490,H33L1_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
Q55BP0,H33C_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
nan,nan,ENSCAFP00000016130,CANFA,1.0,,,,,,,,,,,1,,,
nan,nan,ENSCAFP00000034189,CANFA,1.0,,,,,,,,,,,1,,,
Q5ADQ0,H33_CANAL,nan,CANAL,1.0,,,,,,,,1,,,,,,
Q5KA91,nan,nan,nan,1.0,,,,,,,,1,,,,,,
Q5KMT3,Q5KMT3_CRYNJ,nan,CRYNJ,1.0,,,,,,,,1,,,,,,
Q5TEC6,Q5TEC6_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q6C0C4,H3_YARLI,nan,YARLI,1.0,,,,,,,,1,,,,,,
nan,nan,ENSCAFP00000032222,CANFA,1.0,,,,,,,,,,,1,,,
Q6LED0,H31_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
P07041,H3_NEUCR,nan,NEUCR,1.0,,,,,,,,1,,,,,,
F7HAT8,F7HAT8_MACMU,ENSMMUP00000031250,MACMU,1.0,,,,,,,,,,,1,,,
H2U0B9,H2U0B9_TAKRU,ENSTRUP00000030378,TAKRU,1.0,,,,,,,,,,,1,,,
F7HR55,F7HR55_MACMU,ENSMMUP00000029045,MACMU,1.0,,,,,,,,,,,1,,,
A7EW99,A7EW99_SCLS1,nan,SCLS1,1.0,,,,,,,,1,,,,,,
A7RJG4,A7RJG4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7T7J5,A7T7J5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
