ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9MAM1,CIPK9_ARATH,nan,ARATH,9.0,,,1,1,,,,1,1,1,1,1,1,1
A2FDI8,A2FDI8_TRIVA,nan,TRIVA,5.0,,,,,,,,1,1,,1,1,,1
A9T947,A9T947_PHYPA,nan,PHYPA,4.0,,,1,,,,,1,1,,1,,,
A9RKW0,A9RKW0_PHYPA,nan,PHYPA,4.0,,,,,,,,1,1,1,1,,,
Q4QDX7,Q4QDX7_LEIMA,nan,LEIMA,4.0,,,,,,,,1,1,,1,,,1
Q4QIJ7,Q4QIJ7_LEIMA,nan,LEIMA,4.0,,,,,,,,1,1,,1,,,1
A9RUY6,A9RUY6_PHYPA,nan,PHYPA,3.0,,,,,,,,1,1,,1,,,
A9UQ54,A9UQ54_MONBE,nan,MONBE,2.0,,,,,,,,,,,,1,1,
A9SHK5,A9SHK5_PHYPA,nan,PHYPA,2.0,,,,,,,,1,1,,,,,
A9S987,A9S987_PHYPA,nan,PHYPA,2.0,,,,,,,,1,1,,,,,
Q4Q416,Q4Q416_LEIMA,nan,LEIMA,2.0,,,,,,,,,,,1,1,,
H2SAJ6,H2SAJ6_TAKRU,ENSTRUP00000009422,TAKRU,1.0,,,,,,,,,,,,,1,
H2UNU5,H2UNU5_TAKRU,ENSTRUP00000038616,TAKRU,1.0,,,,,,,,,,,,,1,
H2U7N0,H2U7N0_TAKRU,ENSTRUP00000032946,TAKRU,1.0,,,,,,,,,,,,,1,
H2TV41,H2TV41_TAKRU,ENSTRUP00000028550,TAKRU,1.0,,,,,,,,,,,,,1,
H2R4Y2,H2R4Y2_PANTR,ENSPTRP00000047628,PANTR,1.0,,,,,,,,,,,,,1,
H2RP62,H2RP62_TAKRU,ENSTRUP00000001925,TAKRU,1.0,,,,,,,,,,,,,1,
H9GX66,H9GX66_DANRE,ENSDARP00000018288,DANRE,1.0,,,,,,,,,,,,1,,
H2QX97,H2QX97_PANTR,ENSPTRP00000035809,PANTR,1.0,,,,,,,,1,,,,,,
H2QQU4,H2QQU4_PANTR,ENSPTRP00000028863,PANTR,1.0,,,,,,,,,,,,,1,
H2V3U1,H2V3U1_TAKRU,ENSTRUP00000043875,TAKRU,1.0,,,,,,,,,,,,1,,
O70444,PIM3_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
O05871,nan,nan,nan,1.0,,,,,,,,,1,,,,,
O44547,O44547_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
F7GVN0,F7GVN0_MACMU,ENSMMUP00000005042,MACMU,1.0,,,,,,,,1,,,,,,
P06803,PIM1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
P0C198,CHK1_USTMA,nan,USTMA,1.0,,,,,,,,,,,,1,,
P11309,PIM1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
P26794,PIM1_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
P28708,PRR1_YEAST,nan,YEAST,1.0,,,,,,,,,,,,1,,
P34244,HSL1_YEAST,nan,YEAST,1.0,,,,,,,,,,,,,1,
P36002,PTK1_YEAST,nan,YEAST,1.0,,,,,,,,,,,,,1,
P38622,RCK1_YEAST,nan,YEAST,1.0,,,,,,,,,,,,,1,
P38623,RCK2_YEAST,nan,YEAST,1.0,,,,,,,,,,,,,1,
P47116,PTK2_YEAST,nan,YEAST,1.0,,,,,,,,,,,,,1,
P54741,AFSK_STRCO,nan,STRCO,1.0,,,,,,,,,1,,,,,
P58750,PIM3_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
H2Q525,H2Q525_PANTR,ENSPTRP00000007593,PANTR,1.0,,,,,,,,,,,,1,,
A2ARG9,A2ARG9_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
F7FQL9,F7FQL9_MACMU,ENSMMUP00000021211,MACMU,1.0,,,,,,,,,,,,,1,
F7DT43,F7DT43_ORNAN,ENSOANP00000007847,ORNAN,1.0,,,,,,,,,,,,,1,
F1QZF3,F1QZF3_DANRE,ENSDARP00000018024,DANRE,1.0,,,,,,,,,,,,1,,
F1R057,F1R057_DANRE,ENSDARP00000113243,DANRE,1.0,,,,,,,,,,,,1,,
F1R3U4,F1R3U4_DANRE,ENSDARP00000075512,DANRE,1.0,,,,,,,,,,,,1,,
F1R4Q7,F1R4Q7_DANRE,ENSDARP00000096974,DANRE,1.0,,,,,,,,,,,,1,,
F1R6L7,F1R6L7_DANRE,ENSDARP00000096170,DANRE,1.0,,,,,,,,,,,,1,,
F1R7D9,F1R7D9_DANRE,ENSDARP00000121560,DANRE,1.0,,,,,,,,,,,,1,,
F1R8K3,F1R8K3_DANRE,ENSDARP00000058473,DANRE,1.0,,,,,,,,,,,,1,,
F1R8Y6,F1R8Y6_DANRE,ENSDARP00000121490,DANRE,1.0,,,,,,,,,,,,1,,
F1RAG6,F1RAG6_DANRE,ENSDARP00000090202,DANRE,1.0,,,,,,,,,,,,1,,
F1RB75,F1RB75_DANRE,ENSDARP00000101358,DANRE,1.0,,,,,,,,,,,,1,,
F1RBB6,F1RBB6_DANRE,ENSDARP00000090153,DANRE,1.0,,,,,,,,,,,,1,,
F1RBU7,F1RBU7_DANRE,ENSDARP00000075325,DANRE,1.0,,,,,,,,,,,,1,,
F1RBV1,F1RBV1_DANRE,ENSDARP00000075317,DANRE,1.0,,,,,,,,,,,,1,,
F1RCF5,F1RCF5_DANRE,ENSDARP00000112134,DANRE,1.0,,,,,,,,,,,,1,,
F1RD41,F1RD41_DANRE,ENSDARP00000112546,DANRE,1.0,,,,,,,,,,,,1,,
F1RD44,F1RD44_DANRE,ENSDARP00000100567,DANRE,1.0,,,,,,,,,,,,1,,
F6PWC7,F6PWC7_MONDO,ENSMODP00000008526,MONDO,1.0,,,,1,,,,,,,,,,
F6QMD4,F6QMD4_CIOIN,ENSCINP00000020105,CIOIN,1.0,,,,,,,,,,,,,1,
F6TUU1,F6TUU1_MONDO,ENSMODP00000017236,MONDO,1.0,,,,,,,,,,,,,1,
F6UDX2,F6UDX2_MONDO,ENSMODP00000005092,MONDO,1.0,,,,,,,,,,,,1,,
