ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9SGX2,Q9SGX2_ARATH,nan,ARATH,9.0,,1,1,1,,1,1,1,1,1,,,,1
A9SNE2,A9SNE2_PHYPA,nan,PHYPA,8.0,,1,1,1,,1,,1,1,1,,,,1
A9RQD9,A9RQD9_PHYPA,nan,PHYPA,4.0,,,,,,,1,1,1,1,,,,
Q5F4C0,HVCN1_CHICK,nan,CHICK,2.0,,,,,,1,,,1,,,,,
F7FMV2,F7FMV2_ORNAN,ENSOANP00000007573,ORNAN,1.0,,,,,,,,,1,,,,,
Q96D96,HVCN1_HUMAN,nan,HUMAN,1.0,,,,,,,,,1,,,,,
Q6DHQ1,HVCN1_DANRE,nan,DANRE,1.0,,,,,,,,,1,,,,,
Q3U2S8,HVCN1_MOUSE,nan,MOUSE,1.0,,,,,,,,,1,,,,,
Q1JV40,HVCN1_CIOIN,ENSCINP00000026518,CIOIN,1.0,,,,,,,,,1,,,,,
H2S3D2,H2S3D2_TAKRU,ENSTRUP00000006904,TAKRU,1.0,,,,,,,,,1,,,,,
G1K3J8,G1K3J8_XENTR,ENSXETP00000045238,XENTR,1.0,,,,,,,,,1,,,,,
A7EEG5,A7EEG5_SCLS1,nan,SCLS1,1.0,,,,,,,,,1,,,,,
F6TBP3,F6TBP3_MACMU,ENSMMUP00000016864,MACMU,1.0,,,,,,,,,1,,,,,
A7SF11,A7SF11_NEMVE,nan,NEMVE,1.0,,,,,,1,,,,,,,,
F1P898,F1P898_CANFA,ENSCAFP00000012494,CANFA,1.0,,,,,,,,,1,,,,,
F1MEW9,F1MEW9_BOVIN,ENSBTAP00000012146,BOVIN,1.0,,,,,,,,,1,,,,,
D3ZIU8,D3ZIU8_RAT,nan,RAT,1.0,,,,,,,,,1,,,,,
C3Z488,C3Z488_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
C3Y153,C3Y153_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
A7SPG1,A7SPG1_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
F6QXT1,F6QXT1_MONDO,ENSMODP00000014429,MONDO,1.0,,,,,,,,,1,,,,,
