ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9ZSK1,GTOMC_ARATH,nan,ARATH,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B8C7V7,B8C7V7_THAPS,nan,THAPS,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A9RVV6,A9RVV6_PHYPA,nan,PHYPA,13.0,1,1,1,1,1,1,1,1,1,1,1,,1,1
Q7NC89,Q7NC89_GLOVI,nan,GLOVI,12.0,1,1,1,1,1,,1,1,,1,1,1,1,1
Q55809,Q55809_SYNY3,nan,SYNY3,12.0,1,1,1,1,1,,1,1,,1,1,1,1,1
Q1K7M3,Q1K7M3_NEUCR,nan,NEUCR,10.0,1,,1,1,,1,1,1,1,,,1,1,1
Q9F1Y5,GPPMT_STRCO,nan,STRCO,4.0,,,,,1,,,,,,1,,1,1
Q553T0,Q553T0_DICDI,nan,DICDI,2.0,,,,,,,,,,,,1,,1
P74388,BQMT_SYNY3,nan,SYNY3,2.0,,,,,,,,,,1,1,,,
Q8THY4,Q8THY4_METAC,nan,METAC,2.0,,,,,,,,1,,,,,,1
Q8THI7,Q8THI7_METAC,nan,METAC,2.0,,,,,1,,,,,,1,,,
A9WI19,A9WI19_CHLAA,nan,CHLAA,2.0,,,,,,,,,,,,1,1,
A6V937,A6V937_PSEA7,nan,PSEA7,2.0,,,,,1,,,,,,1,,,
O01889,O01889_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
O13871,YE16_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,,1,,
Q9RX84,Q9RX84_DEIRA,nan,DEIRA,1.0,,,,,,,1,,,,,,,
Q9RX11,Q9RX11_DEIRA,nan,DEIRA,1.0,,,,,,,,,,,,,1,
Q9RSD7,Q9RSD7_DEIRA,nan,DEIRA,1.0,,,,,,,,,,,,1,,
B1L3Y9,B1L3Y9_KORCO,nan,KORCO,1.0,1,,,,,,,,,,,,,
Q9CZB3,THUM2_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q8TMW2,Q8TMW2_METAC,nan,METAC,1.0,,,,,,,,,,,,,,1
B8CCA1,B8CCA1_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
C3YVL9,C3YVL9_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
Q89KG6,Q89KG6_BRADU,nan,BRADU,1.0,,,,,,,,,,,,1,,
Q89ES8,Q89ES8_BRADU,nan,BRADU,1.0,,,,,,,,,,,,1,,
A9VD27,A9VD27_MONBE,nan,MONBE,1.0,,,,,,,,,,,,1,,
Q57636,PIMT_METJA,nan,METJA,1.0,,,,,,,,,,,,1,,
C3ZYX6,C3ZYX6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
B7PQB1,B7PQB1_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,,1,
Q4Q0M6,Q4Q0M6_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,,1,,
Q4P5W4,Q4P5W4_USTMA,nan,USTMA,1.0,,,,,,,,,,,,1,,
A7EEE6,A7EEE6_SCLS1,nan,SCLS1,1.0,,,,,,,,,,1,,,,
Q0UJE1,Q0UJE1_PHANO,nan,PHANO,1.0,,,,,,,,,,1,,,,
F6ZG35,F6ZG35_XENTR,ENSXETP00000012412,XENTR,1.0,1,,,,,,,,,,,,,
B1L512,B1L512_KORCO,nan,KORCO,1.0,,,,,,,,,,,,1,,
