ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7SFF7,nan,nan,nan,10.0,1,1,,,1,1,1,1,,1,1,1,1,
B0XYP6,B0XYP6_ASPFC,nan,ASPFC,10.0,1,1,,,1,1,1,1,,1,1,1,1,
nan,nan,ENSCINP00000013848,CIOIN,4.0,,,,,,1,1,1,,,1,,,
Q7QK20,Q7QK20_ANOGA,nan,ANOGA,3.0,,,,,,1,,1,,,1,,,
Q5SNQ7,SRAC1_DANRE,nan,DANRE,3.0,,,,,,1,,1,,,1,,,
Q3U213,SRAC1_MOUSE,nan,MOUSE,3.0,,,,,,1,,1,,,1,,,
Q2TBM9,SRAC1_BOVIN,ENSBTAP00000015295,BOVIN,3.0,,,,,,1,,1,,,1,,,
Q96JX3,SRAC1_HUMAN,nan,HUMAN,3.0,,,,,,1,,1,,,1,,,
H2VB59,H2VB59_TAKRU,ENSTRUP00000046451,TAKRU,3.0,,,,,,1,,1,,,1,,,
H2QTY7,H2QTY7_PANTR,ENSPTRP00000031986,PANTR,3.0,,,,,,1,,1,,,1,,,
F7FPD7,F7FPD7_MACMU,ENSMMUP00000033292,MACMU,3.0,,,,,,1,,1,,,1,,,
nan,nan,ENSXETP00000053795,XENTR,3.0,,,,,,1,,1,,,1,,,
E2RSL1,E2RSL1_CANFA,ENSCAFP00000000915,CANFA,3.0,,,,,,1,,1,,,1,,,
E1BTW1,E1BTW1_CHICK,nan,CHICK,3.0,,,,,,1,,1,,,1,,,
D4ACP8,D4ACP8_RAT,nan,RAT,3.0,,,,,,1,,1,,,1,,,
Q9VBE6,Q9VBE6_DROME,nan,DROME,3.0,,,,,,1,1,,,,1,,,
A9RSR4,A9RSR4_PHYPA,nan,PHYPA,3.0,,,,,,1,,1,,,1,,,
F7C463,F7C463_MONDO,ENSMODP00000009605,MONDO,3.0,,,,,,1,,1,,,1,,,
F6PGR1,F6PGR1_ORNAN,ENSOANP00000013860,ORNAN,2.0,,,,,,,1,,,,1,,,
Q19534,nan,nan,nan,2.0,,,,,,1,,,,,1,,,
Q9NEW7,Q9NEW7_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
Q9HCD6,TANC2_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
Q9C2B2,Q9C2B2_NEUCS,nan,NEUCR,1.0,,,,,,,,,,,,,1,
Q9ULJ7,ANR50_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
Q9VJ64,Q9VJ64_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
A7RZB4,A7RZB4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q7PTI7,Q7PTI7_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q7NDY7,Q7NDY7_GLOVI,nan,GLOVI,1.0,,,,,,,,,,,1,,,
Q0URR5,Q0URR5_PHANO,nan,PHANO,1.0,,,,,,,,,,1,,,,
A7SFL9,A7SFL9_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
O18152,O18152_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
O14727,APAF_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
C4Q557,nan,nan,nan,1.0,,,,,,,,,,,1,,,
B7P137,B7P137_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,1,,,
A9TC83,A9TC83_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
A9JX17,A9JX17_PHANO,nan,PHANO,1.0,,,,,,,,,,1,,,,
Q0UD89,Q0UD89_PHANO,nan,PHANO,1.0,,,,,,,1,,,,,,,
