ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B0YB63,B0YB63_ASPFC,nan,ASPFC,9.0,,,,1,,1,1,1,1,1,1,1,1,
Q97Y43,Q97Y43_SULSO,nan,SULSO,5.0,,,,,,,,,1,1,1,1,1,
Q97UD8,Q97UD8_SULSO,nan,SULSO,5.0,,,,,,,,,1,1,1,1,1,
A6UZW7,A6UZW7_PSEA7,nan,PSEA7,4.0,,,,,,,,,1,,1,1,1,
O53919,O53919_MYCTU,nan,MYCTU,4.0,,,,,,,,,1,,1,1,1,
Q89SX2,Q89SX2_BRADU,nan,BRADU,4.0,,,,,,,,,1,,1,1,1,
Q89SX0,Q89SX0_BRADU,nan,BRADU,4.0,,,,,,,,,1,,1,1,1,
Q89SH9,Q89SH9_BRADU,nan,BRADU,4.0,,,,,,,,,1,,1,1,1,
Q89FX9,Q89FX9_BRADU,nan,BRADU,4.0,,,,,,,,,1,,1,1,1,
P76470,RHMT_ECOLI,nan,ECOLI,4.0,,,,,,,,,1,,1,1,1,
nan,nan,ENSXETP00000021879,XENTR,4.0,,,,,,,,,1,,1,1,1,
A6V5V0,A6V5V0_PSEA7,nan,PSEA7,4.0,,,,,,,,,1,,1,1,1,
Q9RJQ9,Q9RJQ9_STRCO,nan,STRCO,3.0,,,,,,,,,1,,1,,1,
Q9RDF0,Q9RDF0_STRCO,nan,STRCO,3.0,,,,,,,,,1,,1,,1,
A9U0N2,A9U0N2_PHYPA,nan,PHYPA,2.0,,,,,,,,,,,,1,1,
Q7Q367,Q7Q367_ANOGA,nan,ANOGA,2.0,,,,,,1,1,,,,,,,
O82390,ANTR1_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
A9RVG0,A9RVG0_PHYPA,nan,PHYPA,2.0,,,,,,,,,,,,1,1,
Q8GX78,ANTR2_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q494G1,Q494G1_DROME,nan,DROME,2.0,,,,,,,,,,,,1,1,
A6V5K3,A6V5K3_PSEA7,nan,PSEA7,2.0,,,,,,,,,,1,1,,,
