ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
O31443,YBFA_BACSU,nan,BACSU,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
Q89S93,Q89S93_BRADU,nan,BRADU,11.0,1,1,1,1,,,1,1,1,1,,1,1,1
B0XT93,B0XT93_ASPFC,nan,ASPFC,8.0,1,,,,,,1,1,1,1,,1,1,1
Q54BP5,Q54BP5_DICDI,nan,DICDI,7.0,,,,,,,1,1,1,1,,1,1,1
Q8TSE4,Q8TSE4_METAC,nan,METAC,6.0,,,,,,,1,1,,1,,1,1,1
Q58604,Y1207_METJA,nan,METJA,4.0,,,,,1,,,,,,1,1,1,
A7RYM2,A7RYM2_NEMVE,nan,NEMVE,3.0,,,,,,,1,,,,,1,1,
B7PB60,B7PB60_IXOSC,nan,IXOSC,3.0,1,,,,1,,,,,,1,,,
A7SWI3,A7SWI3_NEMVE,nan,NEMVE,3.0,1,,,,1,,,,,,1,,,
Q9NHD5,SAN_DROME,nan,DROME,3.0,1,,,,1,,,,,,1,,,
nan,nan,ENSCAFP00000015737,CANFA,3.0,1,,,,1,,,,,,1,,,
O67372,O67372_AQUAE,nan,AQUAE,2.0,,,,,,,,,,,,1,1,
Q8RH56,Q8RH56_FUSNN,nan,FUSNN,2.0,,,,,1,,,,,,1,,,
O67458,O67458_AQUAE,nan,AQUAE,2.0,,,,,1,,,,,,1,,,
O94340,YHM7_SCHPO,nan,SCHPO,2.0,1,,,,,,,,1,,,,,
Q8A5S4,Q8A5S4_BACTN,nan,BACTN,2.0,,,,,,,,,,,,1,1,
Q0UKZ1,Q0UKZ1_PHANO,nan,PHANO,2.0,,,,,1,,,,,,1,,,
H2RRT3,H2RRT3_TAKRU,ENSTRUP00000002849,TAKRU,2.0,,,,,1,,,,,,1,,,
Q20220,Q20220_CAEEL,nan,CAEEL,2.0,,,,,1,,,,,,1,,,
Q4PFT2,Q4PFT2_USTMA,nan,USTMA,2.0,,,,,1,,,,,,1,,,
F7HM45,F7HM45_MACMU,ENSMMUP00000039993,MACMU,2.0,,,,,1,,,,,,1,,,
Q08689,NAT5_YEAST,nan,YEAST,2.0,,,,,1,,,,,,1,,,
Q7UGU0,Q7UGU0_RHOBA,nan,RHOBA,2.0,,,,,1,,,,,,1,,,
Q89N32,Q89N32_BRADU,nan,BRADU,2.0,,,,,,,,,,,,1,1,
F7AS44,F7AS44_ORNAN,ENSOANP00000018738,ORNAN,2.0,,,,,1,,,,,,1,,,
Q5A6R4,Q5A6R4_CANAL,nan,CANAL,2.0,,,,,1,,,,,,1,,,
Q7SF74,Q7SF74_NEUCR,nan,NEUCR,2.0,,,,,1,,,,,,1,,,
Q5JFF9,Q5JFF9_THEKO,nan,THEKO,2.0,,,,,1,,,,,,1,,,
Q5KBR8,Q5KBR8_CRYNJ,nan,CRYNJ,2.0,,,,,1,,,,,,1,,,
Q5TTU4,Q5TTU4_ANOGA,nan,ANOGA,2.0,,,,,1,,,,,,1,,,
Q5ZMS8,Q5ZMS8_CHICK,nan,CHICK,2.0,,,,,1,,,,,,1,,,
Q66KL0,CMLO_XENTR,ENSXETP00000056165,XENTR,2.0,,,,,,,,,,,,1,1,
Q6CHB3,Q6CHB3_YARLI,nan,YARLI,2.0,,,,,1,,,,,,1,,,
Q6DBY2,NAA50_DANRE,nan,DANRE,2.0,,,,,1,,,,,,1,,,
Q6PGB6,NAA50_MOUSE,nan,MOUSE,2.0,,,,,1,,,,,,1,,,
F7CD07,F7CD07_MONDO,ENSMODP00000022643,MONDO,2.0,,,,,1,,,,,,1,,,
F6VVR2,F6VVR2_MONDO,ENSMODP00000005030,MONDO,2.0,,,,,,,,,,,,1,1,
F6ZWD8,F6ZWD8_XENTR,ENSXETP00000021826,XENTR,2.0,,,,,1,,,,,,1,,,
B8CAL9,B8CAL9_THAPS,nan,THAPS,2.0,,,,,1,,,,,,1,,,
nan,nan,ENSPTRP00000051155,PANTR,2.0,,,,,1,,,,,,1,,,
A2EDT6,A2EDT6_TRIVA,nan,TRIVA,2.0,,,,,1,,,,,,1,,,
nan,nan,ENSCAFP00000012952,CANFA,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSBTAP00000010234,BOVIN,2.0,,,,,1,,,,,,1,,,
A7F991,A7F991_SCLS1,nan,SCLS1,2.0,,,,,1,,,,,,1,,,
A9S6R5,A9S6R5_PHYPA,nan,PHYPA,2.0,,,,,1,,,,,,1,,,
Q9LFM3,Q9LFM3_ARATH,nan,ARATH,2.0,,,,,1,,,,,,1,,,
A9UP90,A9UP90_MONBE,nan,MONBE,2.0,,,,,1,,,,,,1,,,
B0R5N0,B0R5N0_HALS3,nan,HALS3,2.0,,,,,1,,,,,,1,,,
Q9GZZ1,NAA50_HUMAN,nan,HUMAN,2.0,,,,,1,,,,,,1,,,
B0YDN0,B0YDN0_ASPFC,nan,ASPFC,2.0,,,,,1,,,,,,1,,,
B1L3T4,B1L3T4_KORCO,nan,KORCO,2.0,,,,,1,,,,,,1,,,
Q74H79,Q74H79_GEOSL,nan,GEOSL,2.0,,,,,,,,,,,,1,1,
Q97V23,Q97V23_SULSO,nan,SULSO,2.0,,,,,1,,,,,,1,,,
C3XZD9,C3XZD9_BRAFL,nan,BRAFL,2.0,,,,,1,,,,,,1,,,
C4PYW1,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
E9ACG0,E9ACG0_LEIMA,nan,LEIMA,2.0,,,,,1,,,,,,1,,,
E7EZI9,E7EZI9_DANRE,ENSDARP00000098162,DANRE,2.0,,,,,,,,,,,,1,1,
D4YW25,D4YW25_LEPIN,nan,LEPIN,2.0,,,,,1,,,,,,1,,,
D4A5Y6,D4A5Y6_RAT,nan,RAT,2.0,,,,,1,,,,,,1,,,
Q8TU97,Q8TU97_METAC,nan,METAC,2.0,,,,,,,,,,,,1,1,
C7G005,C7G005_DICDI,nan,DICDI,2.0,,,,,1,,,,,,1,,,
Q8TTV5,Q8TTV5_METAC,nan,METAC,2.0,,,,,1,,,,,,1,,,
C3Z3P6,C3Z3P6_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,1,
C3Z3P5,C3Z3P5_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,1,
Q6ZEG8,Q6ZEG8_SYNY3,nan,SYNY3,2.0,,,,,1,,,,,,1,,,
Q9WZG9,Q9WZG9_THEMA,nan,THEMA,1.0,,,,,,,,,,,,,1,
