ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
O31550,ACOC_BACSU,nan,BACSU,10.0,1,1,1,1,,,1,1,,1,1,1,1,
P74510,P74510_SYNY3,nan,SYNY3,7.0,1,1,1,1,,,1,1,,1,,,,
Q19749,ODP2_CAEEL,nan,CAEEL,6.0,1,1,,1,,,1,1,,1,,,,
P12695,ODP2_YEAST,nan,YEAST,6.0,1,1,,1,,,1,1,,1,,,,
Q5KIM3,Q5KIM3_CRYNJ,nan,CRYNJ,5.0,1,,,1,,,1,1,,1,,,,
E2RQS9,E2RQS9_CANFA,ENSCAFP00000020671,CANFA,5.0,1,1,,,,,1,1,,1,,,,
A7SQK2,A7SQK2_NEMVE,nan,NEMVE,5.0,,1,,1,,,1,1,,1,,,,
nan,nan,ENSCINP00000018384,CIOIN,5.0,,1,,1,,,1,1,,1,,,,
Q9VM14,Q9VM14_DROME,nan,DROME,5.0,1,1,,,,,1,1,,1,,,,
B0YB22,B0YB22_ASPFC,nan,ASPFC,5.0,1,1,,,,,1,1,,1,,,,
F7BHC0,F7BHC0_MONDO,ENSMODP00000018020,MONDO,5.0,1,1,,,,,1,1,,1,,,,
Q7NHG8,Q7NHG8_GLOVI,nan,GLOVI,5.0,,1,1,1,,,,1,,1,,,,
P20285,ODP2_NEUCR,nan,NEUCR,5.0,1,1,,,,,1,1,,1,,,,
P36413,ODP2_DICDI,nan,DICDI,5.0,1,1,,,,,1,1,,1,,,,
Q5AGX8,Q5AGX8_CANAL,nan,CANAL,4.0,1,,,,,,1,1,,1,,,,
Q4Q1F5,Q4Q1F5_LEIMA,nan,LEIMA,4.0,,,,,,,1,,,1,,1,1,
P10515,ODP2_HUMAN,nan,HUMAN,4.0,1,1,,,,,,1,,1,,,,
P22439,ODPX_BOVIN,ENSBTAP00000024307,BOVIN,4.0,,,,1,,,1,1,,1,,,,
O59816,ODP2_SCHPO,nan,SCHPO,4.0,1,,,,,,1,1,,1,,,,
F7HS46,F7HS46_MACMU,ENSMMUP00000008498,MACMU,4.0,,,,1,,,,1,,1,,1,,
H2Q4S0,H2Q4S0_PANTR,ENSPTRP00000007349,PANTR,4.0,1,1,,,,,,1,,1,,,,
H2R5H9,H2R5H9_PANTR,ENSPTRP00000048167,PANTR,4.0,,,,1,,,1,1,,1,,,,
B8C488,B8C488_THAPS,nan,THAPS,4.0,1,,1,,,,1,,,1,,,,
P08461,ODP2_RAT,nan,RAT,4.0,1,,,,,,1,1,,1,,,,
O00330,ODPX_HUMAN,nan,HUMAN,4.0,,,,1,,,1,1,,1,,,,
A9SH18,A9SH18_PHYPA,nan,PHYPA,4.0,,1,,,,,1,1,,1,,,,
Q97Y20,Q97Y20_SULSO,nan,SULSO,4.0,,1,,,,,,,,1,,1,1,
Q8F4N2,Q8F4N2_LEPIN,nan,LEPIN,4.0,1,,,1,,,,1,,1,,,,
Q89KX1,Q89KX1_BRADU,nan,BRADU,4.0,1,,,1,,,1,,,1,,,,
Q0UQA4,Q0UQA4_PHANO,nan,PHANO,3.0,,1,,,,,,1,,1,,,,
A7F8Z3,A7F8Z3_SCLS1,nan,SCLS1,3.0,,,,1,,,1,,,1,,,,
A9SIX7,A9SIX7_PHYPA,nan,PHYPA,3.0,,,,1,,,,1,,1,,,,
F6ZQ28,F6ZQ28_MACMU,ENSMMUP00000036701,MACMU,3.0,,,,,,,1,1,,1,,,,
F6U7V4,F6U7V4_ORNAN,ENSOANP00000016526,ORNAN,3.0,,,,,,,1,1,,1,,,,
F1N690,F1N690_BOVIN,ENSBTAP00000014176,BOVIN,3.0,,1,,,,,,1,,1,,,,
F1N4X1,F1N4X1_BOVIN,ENSBTAP00000040560,BOVIN,3.0,,,,,,,,,,1,,1,1,
B7QA75,B7QA75_IXOSC,nan,IXOSC,3.0,,,,,,,1,1,,1,,,,
Q8BKZ9,ODPX_MOUSE,nan,MOUSE,3.0,,,,1,,,,1,,1,,,,
E2RM20,E2RM20_CANFA,ENSCAFP00000010269,CANFA,3.0,,,,1,,,,1,,1,,,,
Q7Q3P5,Q7Q3P5_ANOGA,nan,ANOGA,3.0,,,,1,,,1,,,1,,,,
Q8BMF4,ODP2_MOUSE,nan,MOUSE,3.0,,,,,,,1,1,,1,,,,
Q4PH19,Q4PH19_USTMA,nan,USTMA,3.0,,,,1,,,1,,,1,,,,
B7P8B9,B7P8B9_IXOSC,nan,IXOSC,3.0,,1,,,,,,1,,1,,,,
C3Y5J7,C3Y5J7_BRAFL,nan,BRAFL,3.0,,,,1,,,,1,,1,,,,
A7F4Q1,A7F4Q1_SCLS1,nan,SCLS1,2.0,,,,,,,,,,1,,1,,
Q74AE1,Q74AE1_GEOSL,nan,GEOSL,2.0,,,,1,,,,,,1,,,,
nan,nan,ENSMODP00000012541,MONDO,2.0,,,,,,,,,,1,,1,,
Q6PHF5,Q6PHF5_DANRE,nan,DANRE,2.0,,,,1,,,,,,1,,,,
Q6CF67,Q6CF67_YARLI,nan,YARLI,2.0,,,,,,,,,,1,,1,,
Q9C8P0,ODP25_ARATH,nan,ARATH,2.0,,,1,,,,,,,1,,,,
O94709,ODPX_SCHPO,nan,SCHPO,2.0,,,,,,,,,,1,,1,,
Q7RWS2,Q7RWS2_NEUCR,nan,NEUCR,2.0,,,,,,,,,,1,,1,,
Q0V5N7,Q0V5N7_PHANO,nan,PHANO,2.0,,,,,,,,,,1,,1,,
Q6C812,Q6C812_YARLI,nan,YARLI,2.0,,,,,,,1,,,1,,,,
Q86AD5,Y1564_DICDI,nan,DICDI,2.0,,,,,,,,,,1,,1,,
Q8RWN9,ODP22_ARATH,nan,ARATH,2.0,,,,,,,1,,,1,,,,
P16451,ODPX_YEAST,nan,YEAST,2.0,,,,,,,,,,1,,1,,
Q8IJJ4,Q8IJJ4_PLAF7,nan,PLAF7,2.0,,,,,,,,,,1,,1,,
H2V386,H2V386_TAKRU,ENSTRUP00000043667,TAKRU,2.0,,,,,,,1,,,1,,,,
Q7TQ85,Q7TQ85_RAT,nan,RAT,2.0,,,,,,,,,,1,,1,,
Q3KMB5,Q3KMB5_CHLTA,nan,CHLTA,2.0,,,,1,,,,,,1,,,,
Q97Y19,Q97Y19_SULSO,nan,SULSO,2.0,,,,,,,1,1,,,,,,
nan,nan,ENSOANP00000011766,ORNAN,2.0,,,,,,,,1,,1,,,,
B8BUM6,B8BUM6_THAPS,nan,THAPS,2.0,,,,,,,,,,1,,1,,
B7PI06,B7PI06_IXOSC,nan,IXOSC,2.0,,,,,,,,1,,1,,,,
C4QF80,nan,nan,nan,2.0,,,,,,,,,,1,,1,,
A9V0D2,A9V0D2_MONBE,nan,MONBE,2.0,,,,,,,,1,,1,,,,
A9UQU5,A9UQU5_MONBE,nan,MONBE,2.0,,,,,,,,1,,1,,,,
F1ME51,F1ME51_BOVIN,ENSBTAP00000050462,BOVIN,2.0,,,,,,,,1,,1,,,,
F6PYY9,F6PYY9_XENTR,ENSXETP00000016458,XENTR,2.0,,,,1,,,,,,1,,,,
F6XXC4,F6XXC4_CIOIN,ENSCINP00000003363,CIOIN,2.0,,,,,,,,1,,1,,,,
C3Y4N1,C3Y4N1_BRAFL,nan,BRAFL,2.0,,,,,,,,1,,1,,,,
F7CRT4,F7CRT4_MACMU,ENSMMUP00000013687,MACMU,2.0,,,,,,,,1,,1,,,,
A7SJI4,A7SJI4_NEMVE,nan,NEMVE,2.0,,,,,,,,1,,1,,,,
Q7S3Y3,Q7S3Y3_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,1,,,
Q7ZVL3,Q7ZVL3_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
A9WCB7,A9WCB7_CHLAA,nan,CHLAA,1.0,,,,,,,,,,,1,,,
Q804C3,Q804C3_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
B7Q1W9,B7Q1W9_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,1,,,
B7QA77,B7QA77_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
Q7PSM6,Q7PSM6_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q869Y7,ODO2_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
B0XZ97,B0XZ97_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,1,,,
B8BS58,B8BS58_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
B0XYG4,B0XYG4_ASPFC,nan,ASPFC,1.0,,,,,,,,,,1,,,,
B8BSX2,B8BSX2_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
Q8AB01,Q8AB01_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
A9WE30,A9WE30_CHLAA,nan,CHLAA,1.0,,,,,,,,,,1,,,,
H2TKX2,H2TKX2_TAKRU,ENSTRUP00000025327,TAKRU,1.0,,,,,,,,,,,1,,,
A9W9S5,A9W9S5_CHLAA,nan,CHLAA,1.0,,,,,,,,1,,,,,,
Q8H107,ODO2B_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
A7TBM2,A7TBM2_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
nan,nan,ENSCAFP00000025011,CANFA,1.0,,,,,,,,,,,1,,,
nan,nan,ENSBTAP00000052502,BOVIN,1.0,,,,,,,,,,,1,,,
A9RCW3,A9RCW3_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
Q9VGQ1,Q9VGQ1_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q9SQI8,ODP24_ARATH,nan,ARATH,1.0,,,,,,,,,,1,,,,
Q9S2Q5,Q9S2Q5_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9RYB8,Q9RYB8_DEIRA,nan,DEIRA,1.0,,,,,,,,,,,1,,,
Q9FLQ4,ODO2A_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9FC63,Q9FC63_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9D2G2,ODO2_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
A9T2C3,A9T2C3_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
A9US13,A9US13_MONBE,nan,MONBE,1.0,,,,,,,,1,,,,,,
B8BTR7,B8BTR7_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
Q8IEA6,Q8IEA6_PLAF7,nan,PLAF7,1.0,,,,,,,,,,,1,,,
A9VC28,A9VC28_MONBE,nan,MONBE,1.0,,,,,,,,1,,,,,,
Q5M729,ODP23_ARATH,nan,ARATH,1.0,,,,,,,,,,1,,,,
B8C489,B8C489_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
Q6C5L8,Q6C5L8_YARLI,nan,YARLI,1.0,,,,,,,,,,,1,,,
Q01205,ODO2_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
E1C7I0,nan,nan,nan,1.0,,,,,,,,,,,1,,,
P65633,nan,nan,nan,1.0,,,,,,,,,,,1,,,
P36957,ODO2_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
P19262,ODO2_YEAST,nan,YEAST,1.0,,,,,,,,,,,1,,,
F6Y6U0,F6Y6U0_XENTR,ENSXETP00000029054,XENTR,1.0,,,,,,,,,,,1,,,
F6YNF6,F6YNF6_MACMU,ENSMMUP00000005696,MACMU,1.0,,,,,,,,,,,1,,,
F6Z0R6,F6Z0R6_XENTR,ENSXETP00000022495,XENTR,1.0,,,,,,,,,,1,,,,
F7AZV0,F7AZV0_CIOIN,ENSCINP00000014023,CIOIN,1.0,,,,,,,,,,,1,,,
O94681,ODO2_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,1,,,
F7E1R7,F7E1R7_MONDO,ENSMODP00000007593,MONDO,1.0,,,,,,,,,,,1,,,
O45279,O45279_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
O45148,O45148_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
H2Q8M1,H2Q8M1_PANTR,ENSPTRP00000011110,PANTR,1.0,,,,,,,,,,,1,,,
H2RYZ2,H2RYZ2_TAKRU,ENSTRUP00000005363,TAKRU,1.0,,,,,,,,,,1,,,,
E1C6N5,E1C6N5_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
E1BSD9,E1BSD9_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
Q0WQF7,ODP21_ARATH,nan,ARATH,1.0,,,,,,,,,,1,,,,
Q59RQ8,Q59RQ8_CANAL,nan,CANAL,1.0,,,,,,,,,,,1,,,
H2VCN3,H2VCN3_TAKRU,ENSTRUP00000046976,TAKRU,1.0,,,,,,,,,,,1,,,
Q5KMP3,Q5KMP3_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,,1,,,
B8CAK5,B8CAK5_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
Q5KEE0,Q5KEE0_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,1,,,,
Q5F3G9,Q5F3G9_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
Q5AKV6,Q5AKV6_CANAL,nan,CANAL,1.0,,,,,,,,,,1,,,,
Q4QCG0,Q4QCG0_LEIMA,nan,LEIMA,1.0,,,,,,,,,,1,,,,
C4QUF4,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q4Q822,Q4Q822_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
C3YTD8,C3YTD8_BRAFL,nan,BRAFL,1.0,,,,,,,,1,,,,,,
Q4PHZ8,Q4PHZ8_USTMA,nan,USTMA,1.0,,,,,,,,,,1,,,,
Q4PEE6,Q4PEE6_USTMA,nan,USTMA,1.0,,,,,,,,,,,1,,,
C4QPS2,nan,nan,nan,1.0,,,,,,,,,,,1,,,
Q3KLV3,Q3KLV3_CHLTA,nan,CHLTA,1.0,,,,,,,,,,,1,,,
A7F040,A7F040_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
