ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
P37494,YYBJ_BACSU,nan,BACSU,8.0,,,1,1,,,1,,,1,1,1,1,1
Q9RVL5,Q9RVL5_DEIRA,nan,DEIRA,3.0,,,,,,,,,,,,1,1,1
Q7QCI0,Q7QCI0_ANOGA,nan,ANOGA,2.0,,,,,,,,,,1,,1,,
Q0TYW2,Q0TYW2_PHANO,nan,PHANO,2.0,,,,,,,,,,,,1,1,
P40024,ARB1_YEAST,nan,YEAST,2.0,,,,,,,,,,,,1,1,
B0Y3K9,B0Y3K9_ASPFC,nan,ASPFC,2.0,,,,,,,,,,,,1,1,
A9WHQ7,A9WHQ7_CHLAA,nan,CHLAA,2.0,,,,1,,,,,,,,1,,
B8CEB9,B8CEB9_THAPS,nan,THAPS,2.0,,,,,,,,,,,,1,1,
Q872I6,Q872I6_NEUCS,nan,NEUCR,2.0,,,,,,,,,,,,1,1,
A6V821,A6V821_PSEA7,nan,PSEA7,2.0,,,,,,,,,,,,1,1,
Q9WZQ0,Q9WZQ0_THEMA,nan,THEMA,1.0,,,,,,,,,,1,,,,
Q89VY9,Q89VY9_BRADU,nan,BRADU,1.0,,,,,,,,,,1,,,,
Q8A1N2,Q8A1N2_BACTN,nan,BACTN,1.0,,,,,,,,,,1,,,,
Q8EYQ7,Q8EYQ7_LEPIN,nan,LEPIN,1.0,,,,,,,,,,1,,,,
Q8F372,Q8F372_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,,,1,
Q8F3E4,Q8F3E4_LEPIN,nan,LEPIN,1.0,,,,,,,,,,1,,,,
Q8F8Z6,Q8F8Z6_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
Q8THZ8,Q8THZ8_METAC,nan,METAC,1.0,,,,,,,,,,,1,,,
Q8TIV5,Q8TIV5_METAC,nan,METAC,1.0,,,,,,,,,,,1,,,
Q8TNR7,Q8TNR7_METAC,nan,METAC,1.0,,,,,,,,,,1,,,,
Q9ZBX6,Q9ZBX6_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q8TQK6,Q8TQK6_METAC,nan,METAC,1.0,,,,,,,,,,,1,,,
Q9X1X3,Q9X1X3_THEMA,nan,THEMA,1.0,,,1,,,,,,,,,,,
Q9S6T6,Q9S6T6_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9S288,Q9S288_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q97UD4,Q97UD4_SULSO,nan,SULSO,1.0,,,,,,,1,,,,,,,
Q97VM2,Q97VM2_SULSO,nan,SULSO,1.0,,,,,,,,,,1,,,,
Q9C0Y5,PDR1_SCHPO,nan,SCHPO,1.0,,,,,,,1,,,,,,,
Q86P18,Q86P18_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
Q9F2X6,Q9F2X6_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9K3I2,Q9K3I2_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9VMM9,Q9VMM9_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
Q9K4B6,Q9K4B6_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9K4B8,Q9K4B8_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9L1J3,Q9L1J3_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9RSK5,Q9RSK5_DEIRA,nan,DEIRA,1.0,,,,1,,,,,,,,,,
Q9VAU1,Q9VAU1_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
Q8TSE5,Q8TSE5_METAC,nan,METAC,1.0,,,,,,,,,,,1,,,
A2DNW8,A2DNW8_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
Q86B52,Q86B52_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
B7Q6Z7,B7Q6Z7_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
A2EN45,A2EN45_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A2F1K6,A2F1K6_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A2FTE0,A2FTE0_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A6V069,A6V069_PSEA7,nan,PSEA7,1.0,,,,,,,,,,1,,,,
A7TCZ6,A7TCZ6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A8B6C9,A8B6C9_GIAIC,nan,GIAIC,1.0,,,,,,,,,,1,,,,
A8B9R4,A8B9R4_GIAIC,nan,GIAIC,1.0,,,,,,,,,,1,,,,
A8BA96,A8BA96_GIAIC,nan,GIAIC,1.0,,,,,,,,,,1,,,,
A8BC73,A8BC73_GIAIC,nan,GIAIC,1.0,,,,,,,,,,1,,,,
A8BGF1,A8BGF1_GIAIC,nan,GIAIC,1.0,,,,,,,,,,1,,,,
A9WAK5,A9WAK5_CHLAA,nan,CHLAA,1.0,,,,,,,,,,,1,,,
B0R571,B0R571_HALS3,nan,HALS3,1.0,,,,1,,,,,,,,,,
B1AZV3,nan,nan,nan,1.0,,,,,,,,,,,,1,,
H2R2Q4,H2R2Q4_PANTR,ENSPTRP00000044308,PANTR,1.0,,,,,,,,,,,,1,,
Q7UTM7,Q7UTM7_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,1,,,
H2TXW4,H2TXW4_TAKRU,ENSTRUP00000029523,TAKRU,1.0,,,,,,,,,,1,,,,
O69995,O69995_STRCO,nan,STRCO,1.0,,,,,,,,,,,,,1,
O86629,O86629_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q03518,TAP1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q1LYA9,Q1LYA9_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
Q55816,Q55816_SYNY3,nan,SYNY3,1.0,,,,,,,,,,1,,,,
Q55EH8,ABCGN_DICDI,nan,DICDI,1.0,,,,,,,,,,1,,,,
Q5JIN8,Q5JIN8_THEKO,nan,THEKO,1.0,,,,,,,,,,,1,,,
Q7PPR5,Q7PPR5_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
Q7PYQ4,Q7PYQ4_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
Q7QAJ0,Q7QAJ0_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
A2DUV6,A2DUV6_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
Q7RZG5,Q7RZG5_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,,1,,
nan,nan,ENSXETP00000002596,XENTR,1.0,,,,,,,,,,1,,,,
