ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q89Z71,Q89Z71_BACTN,nan,BACTN,9.0,1,,,,1,,1,1,,1,1,1,1,1
Q8TK49,Q8TK49_METAC,nan,METAC,6.0,,,,,1,,1,1,,1,1,1,,
A6V870,A6V870_PSEA7,nan,PSEA7,5.0,,,,,1,,1,1,,1,1,,,
P09163,YJAB_ECOLI,nan,ECOLI,5.0,,,,,1,,1,1,,1,1,,,
Q7ULI1,Q7ULI1_RHOBA,nan,RHOBA,4.0,,,,,1,,,,,1,1,1,,
P37516,YYAH_BACSU,nan,BACSU,3.0,,,,,,,1,1,,,,1,,
Q8REP8,Q8REP8_FUSNN,nan,FUSNN,3.0,,,,,,,1,1,,,,1,,
Q6CI75,Q6CI75_YARLI,nan,YARLI,3.0,,,,,,,1,1,,1,,,,
A2E3D9,A2E3D9_TRIVA,nan,TRIVA,2.0,,,,,,,1,1,,,,,,
Q7NJN1,Q7NJN1_GLOVI,nan,GLOVI,2.0,1,,,,,,,1,,,,,,
Q89V73,Q89V73_BRADU,nan,BRADU,2.0,,,,,,,1,,,,,1,,
P37664,YIAC_ECOLI,nan,ECOLI,2.0,1,,,,,,,,,,1,,,
Q8RE34,Q8RE34_FUSNN,nan,FUSNN,2.0,,,,,,,,,,,,1,1,
A8DVE4,A8DVE4_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,,1,1,
Q9RRP5,Q9RRP5_DEIRA,nan,DEIRA,2.0,,,,,,,1,,,,,1,,
Q9KZS5,Q9KZS5_STRCO,nan,STRCO,1.0,,,,,,,1,,,,,,,
Q872F5,Q872F5_NEUCS,nan,NEUCR,1.0,,,,,,,1,,,,,,,
Q9X063,Q9X063_THEMA,nan,THEMA,1.0,,,,,,,1,,,,,,,
Q7NCE5,Q7NCE5_GLOVI,nan,GLOVI,1.0,,,,,,,1,,,,,,,
Q54VL6,Q54VL6_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
Q6CA29,Q6CA29_YARLI,nan,YARLI,1.0,1,,,,,,,,,,,,,
Q5JDZ2,Q5JDZ2_THEKO,nan,THEKO,1.0,,,,,,,1,,,,,,,
A2EFT0,A2EFT0_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,,1
Q0UR99,Q0UR99_PHANO,nan,PHANO,1.0,,,,,,,,,,,,1,,
Q0UET7,Q0UET7_PHANO,nan,PHANO,1.0,,,,,,,1,,,,,,,
O31648,YJDG_BACSU,nan,BACSU,1.0,,,,,,,,,,,,1,,
B0YBQ1,B0YBQ1_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,,1,,
B0XX41,B0XX41_ASPFC,nan,ASPFC,1.0,,,,,,,1,,,,,,,
A9U7Z1,A9U7Z1_PHYPA,nan,PHYPA,1.0,,,,,,,1,,,,,,,
A6V5J4,A6V5J4_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,1,,,
A6V2H3,A6V2H3_PSEA7,nan,PSEA7,1.0,1,,,,,,,,,,,,,
A6UY45,A6UY45_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,1,,,
nan,nan,ENSCINP00000002970,CIOIN,1.0,,,,,,,1,,,,,,,
