ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q8A3L8,Q8A3L8_BACTN,nan,BACTN,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
P72911,P72911_SYNY3,nan,SYNY3,6.0,1,,,,1,,1,1,,,1,,,1
O53279,nan,nan,nan,5.0,1,1,,1,,,,1,1,,,,,
Q8TRV7,Q8TRV7_METAC,nan,METAC,5.0,1,,,1,1,,,1,,,1,,,
C3ZXB6,C3ZXB6_BRAFL,nan,BRAFL,4.0,1,,,1,,,1,1,,,,,,
Q5A6R7,Q5A6R7_CANAL,nan,CANAL,4.0,1,1,,,,,1,1,,,,,,
Q6CGC4,Q6CGC4_YARLI,nan,YARLI,3.0,1,,,,,,1,1,,,,,,
A9WD38,A9WD38_CHLAA,nan,CHLAA,3.0,,,,,,,1,,1,,,,,1
P42982,YPJH_BACSU,nan,BACSU,3.0,,,,,,,1,1,,1,,,,
P32363,GPI3_YEAST,nan,YEAST,3.0,1,,,,,,1,1,,,,,,
B8CGB9,B8CGB9_THAPS,nan,THAPS,3.0,1,,,,,,1,1,,,,,,
F7E8X2,F7E8X2_ORNAN,ENSOANP00000004123,ORNAN,3.0,1,,,,,,1,1,,,,,,
Q8IJ83,Q8IJ83_PLAF7,nan,PLAF7,3.0,1,,,1,,,,1,,,,,,
A7T7H2,A7T7H2_NEMVE,nan,NEMVE,3.0,,,,,,,1,1,1,,,,,
H2TTP4,H2TTP4_TAKRU,ENSTRUP00000028052,TAKRU,3.0,1,,,,,,1,1,,,,,,
Q7NF14,Q7NF14_GLOVI,nan,GLOVI,3.0,,,1,,,,,1,,1,,,,
C4Q9W3,nan,nan,nan,2.0,,,,,,,1,1,,,,,,
C4Q9W4,nan,nan,nan,2.0,,,,,,,1,1,,,,,,
Q8F072,Q8F072_LEPIN,nan,LEPIN,2.0,,,,,,,1,,,1,,,,
Q5JJ61,Q5JJ61_THEKO,nan,THEKO,2.0,,,,,1,,,,,,1,,,
A2FJW8,A2FJW8_TRIVA,nan,TRIVA,2.0,1,,,,,,1,,,,,,,
Q7PX63,Q7PX63_ANOGA,nan,ANOGA,2.0,1,,,,,,1,,,,,,,
Q8F473,Q8F473_LEPIN,nan,LEPIN,2.0,1,,,,,,,1,,,,,,
F6U1Y2,F6U1Y2_MACMU,ENSMMUP00000038824,MACMU,2.0,1,,,,,,1,,,,,,,
Q89GN9,Q89GN9_BRADU,nan,BRADU,2.0,,,,1,,,,,,1,,,,
F6W318,F6W318_CIOIN,ENSCINP00000023795,CIOIN,2.0,,,,,,,,,,,,1,1,
Q7ZUC0,Q7ZUC0_DANRE,nan,DANRE,2.0,1,,,,,,,1,,,,,,
F7DGE0,F7DGE0_XENTR,ENSXETP00000018653,XENTR,2.0,,,,1,,,,1,,,,,,
G2HGD0,G2HGD0_PANTR,ENSPTRP00000036202,PANTR,2.0,1,,,,,,1,,,,,,,
F6U1Q6,F6U1Q6_MONDO,ENSMODP00000021500,MONDO,2.0,,,,,,,1,1,,,,,,
Q7RVS4,Q7RVS4_NEUCR,nan,NEUCR,2.0,,,,,,,,,,,,1,1,
C3YEE9,C3YEE9_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,1,
Q7JUM3,Q7JUM3_DROME,nan,DROME,2.0,,,,,,,1,1,,,,,,
Q5F4C8,Q5F4C8_CHICK,nan,CHICK,2.0,,,,1,,,,1,,,,,,
Q58577,Y1178_METJA,nan,METJA,2.0,,,,,1,,,,,,1,,,
A7T8J9,A7T8J9_NEMVE,nan,NEMVE,2.0,,,,,,,,1,1,,,,,
Q64323,PIGA_MOUSE,nan,MOUSE,2.0,,,,1,,,,1,,,,,,
A9RTD5,A9RTD5_PHYPA,nan,PHYPA,2.0,,,,,1,,,,,,1,,,
A9SIT0,A9SIT0_PHYPA,nan,PHYPA,2.0,,,,,,,1,1,,,,,,
A9V377,A9V377_MONBE,nan,MONBE,2.0,,,,1,,,,1,,,,,,
Q3KKP3,GLGA_CHLTA,nan,CHLTA,2.0,,,,,,,,,1,,,1,,
A9WAU8,A9WAU8_CHLAA,nan,CHLAA,2.0,,,,1,,,,,,1,,,,
Q940Y7,Q940Y7_ARATH,nan,ARATH,2.0,,,,,1,,,,,,1,,,
