ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
E1B938,E1B938_BOVIN,ENSBTAP00000005708,BOVIN,11.0,1,1,1,,1,1,,1,1,1,1,1,1,
F1PXB1,F1PXB1_CANFA,ENSCAFP00000030332,CANFA,6.0,1,,,,,1,,1,1,,,1,1,
nan,nan,ENSPTRP00000026089,PANTR,5.0,,1,,,,1,,1,,,,1,1,
Q0VAX9,OLF18_MOUSE,nan,MOUSE,5.0,,,1,,,,,1,1,,,1,1,
Q8VFJ0,Q8VFJ0_MOUSE,nan,MOUSE,4.0,,,,,,,,1,,1,,1,1,
F7B0D5,F7B0D5_MONDO,ENSMODP00000009117,MONDO,4.0,,,,,,,,1,1,,,1,1,
F1M2S6,F1M2S6_RAT,ENSRNOP00000049596,RAT,4.0,,,,,,,,1,,1,,1,1,
Q6IFN5,O7E24_HUMAN,nan,HUMAN,4.0,,,,,,,,1,1,,,1,1,
F6U7Z1,F6U7Z1_MONDO,ENSMODP00000031870,MONDO,4.0,,,,,,,,1,1,,,1,1,
F6U8A9,F6U8A9_MONDO,ENSMODP00000031868,MONDO,4.0,,,,,,,,1,1,,,1,1,
F6U8V4,F6U8V4_MONDO,ENSMODP00000031859,MONDO,4.0,,,,,,,,1,1,,,1,1,
F6VWW2,F6VWW2_MONDO,ENSMODP00000008984,MONDO,4.0,,,,,,,,1,1,,,1,1,
F6WBU1,F6WBU1_MONDO,ENSMODP00000008973,MONDO,4.0,,,,,,,,1,1,,,1,1,
F6WC95,F6WC95_MONDO,ENSMODP00000008964,MONDO,4.0,,,,,,,,1,1,,,1,1,
F6WQN4,F6WQN4_MONDO,ENSMODP00000031612,MONDO,4.0,,,,,,,,1,1,,,1,1,
F7H0H3,F7H0H3_MACMU,ENSMMUP00000027590,MACMU,4.0,,,,,,,,1,1,,,1,1,
F6X5P3,F6X5P3_MONDO,ENSMODP00000031607,MONDO,4.0,,,,,,,,1,1,,,1,1,
F6X5Q0,F6X5Q0_MONDO,ENSMODP00000031606,MONDO,4.0,,,,,,,,1,1,,,1,1,
