ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
E1B9F6,E1B9F6_BOVIN,ENSBTAP00000045490,BOVIN,3.0,,,,,1,,,,,,1,1,,
Q7PZ10,Q7PZ10_ANOGA,nan,ANOGA,2.0,,,,,1,,,,,,1,,,
Q9W6Q4,Q9W6Q4_CHICK,nan,CHICK,2.0,,,,,1,,,,,,1,,,
F7FSL8,F7FSL8_MACMU,ENSMMUP00000014292,MACMU,2.0,,,,,1,,,,,,1,,,
O66556,O66556_AQUAE,nan,AQUAE,2.0,,,,,1,,,,,,1,,,
B8A661,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
Q8IMM5,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
A9UMS0,A9UMS0_XENTR,ENSXETP00000002561,XENTR,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCAFP00000004563,CANFA,1.0,,,,,,,,,,,,1,,
Q90835,EF1A_CHICK,nan,CHICK,1.0,,,,,,,,,,,,1,,
P02994,EF1A_YEAST,nan,YEAST,1.0,,,,,,,,,,,,1,,
Q6P969,Q6P969_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
Q568F0,Q568F0_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
H2U6U7,H2U6U7_TAKRU,ENSTRUP00000032663,TAKRU,1.0,,,,,,,,,,,,1,,
F1Q4C6,F1Q4C6_CANFA,ENSCAFP00000035628,CANFA,1.0,,,,,,,,,,,,1,,
C4Q3P3,nan,nan,nan,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCAFP00000004565,CANFA,1.0,,,,,,,,,,,,1,,
