ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6TA84,F6TA84_MONDO,ENSMODP00000024704,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5JS13,RGPS1_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QXW9,H2QXW9_PANTR,ENSPTRP00000036542,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6TUP7,F6TUP7_MACMU,ENSMMUP00000038858,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1BJI8,E1BJI8_BOVIN,ENSBTAP00000053854,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B0UXH6,RGPS1_DANRE,nan,DANRE,13.0,1,1,1,1,1,1,1,1,,1,1,1,1,1
H2UEW6,H2UEW6_TAKRU,ENSTRUP00000035485,TAKRU,13.0,1,1,1,1,1,1,1,1,,1,1,1,1,1
E1C5G4,E1C5G4_CHICK,nan,CHICK,13.0,1,1,1,1,1,1,1,1,,1,1,1,1,1
D3ZLR4,D3ZLR4_RAT,nan,RAT,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
A2AR50,RGPS1_MOUSE,nan,MOUSE,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
Q7Q955,Q7Q955_ANOGA,nan,ANOGA,10.0,,1,1,,1,1,1,1,1,,1,1,1,
B7PMS3,B7PMS3_IXOSC,nan,IXOSC,10.0,,1,1,,1,1,1,1,1,,1,1,1,
Q0E949,Q0E949_DROME,nan,DROME,9.0,,1,,,1,1,1,1,1,,1,1,1,
F7AXB1,F7AXB1_CIOIN,ENSCINP00000019502,CIOIN,9.0,,1,,,1,1,1,1,1,,1,1,1,
F6TX02,F6TX02_XENTR,ENSXETP00000047070,XENTR,8.0,,1,,1,,1,,1,1,,,1,1,1
A7SU64,A7SU64_NEMVE,nan,NEMVE,6.0,,,,,1,,,1,1,,1,1,1,
A9UQR8,A9UQR8_MONBE,nan,MONBE,5.0,,,,,1,,,1,,,1,1,1,
C4QJ48,nan,nan,nan,5.0,,,,,1,1,,1,,,1,1,,
E2RB04,E2RB04_CANFA,ENSCAFP00000029901,CANFA,4.0,,,,,1,,1,,,1,1,,,
nan,nan,ENSXETP00000047039,XENTR,4.0,,,,,1,,1,,,1,1,,,
C4QNG1,nan,nan,nan,3.0,,,,,,,,1,,,1,1,,
F6SUP4,F6SUP4_ORNAN,ENSOANP00000027346,ORNAN,3.0,,,,,,,1,,,1,,,,1
C3ZWU3,C3ZWU3_BRAFL,nan,BRAFL,2.0,,,,,,,,1,,,,1,,
F6ZSN1,F6ZSN1_ORNAN,ENSOANP00000027614,ORNAN,2.0,,,,,,,,,,,,1,,1
nan,nan,ENSOANP00000026037,ORNAN,2.0,,,,,,,,1,1,,,,,
nan,nan,ENSCAFP00000029896,CANFA,2.0,,,,,,,,,,,,1,,1
Q8IS20,GEFC_DICDI,nan,DICDI,2.0,,,,,1,,,,,,1,,,
Q8IS12,GEFN_DICDI,nan,DICDI,2.0,,,,,,,,,,1,1,,,
A2DHX3,A2DHX3_TRIVA,nan,TRIVA,2.0,,,,,1,,,,,,1,,,
Q54L90,Q54L90_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q54WL2,Q54WL2_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q55GH9,GEFW_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q5K7Q6,Q5K7Q6_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,1,,,,
Q7S0V9,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q5ZJK0,RGPS1_CHICK,nan,CHICK,1.0,,,,,,,,,1,,,,,
Q6C637,Q6C637_YARLI,nan,YARLI,1.0,,,,,,,,,,1,,,,
A9US10,A9US10_MONBE,nan,MONBE,1.0,,,,,,,,,,,,1,,
Q0UTD8,Q0UTD8_PHANO,nan,PHANO,1.0,,,,,,,,,,1,,,,
Q8IS18,GEFE_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q8ST25,GEFG_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q4PEE7,Q4PEE7_USTMA,nan,USTMA,1.0,,,,,,,,,,1,,,,
H2VDH0,H2VDH0_TAKRU,ENSTRUP00000047264,TAKRU,1.0,,,,,,,,,1,,,,,
A9V325,A9V325_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
C3ZYH7,C3ZYH7_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C4QGN1,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C3ZWT9,C3ZWT9_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
C3XZI5,C3XZI5_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
A7F001,A7F001_SCLS1,nan,SCLS1,1.0,,,,,,,,,,1,,,,
A2F534,A2F534_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,1,,,
B0Y5J9,B0Y5J9_ASPFC,nan,ASPFC,1.0,,,,,,,,,,1,,,,
A2DCA8,A2DCA8_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,1,
A2EWA8,A2EWA8_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,1,,,
A7YYH6,A7YYH6_DANRE,nan,DANRE,1.0,,,,,,,,,1,,,,,
F6YHN0,F6YHN0_ORNAN,ENSOANP00000001504,ORNAN,1.0,,,,,,,,1,,,,,,
A9URN7,A9URN7_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9VE00,A9VE00_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
F7DDN0,F7DDN0_XENTR,ENSXETP00000049359,XENTR,1.0,,,,,,,,1,,,,,,
A2ETX5,A2ETX5_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,1,
A2EJW8,A2EJW8_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,1,
F6ZV05,F6ZV05_MONDO,ENSMODP00000007471,MONDO,1.0,,,,,,,,,1,,,,,
