ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6ZNW4,F6ZNW4_XENTR,ENSXETP00000046415,XENTR,10.0,1,1,,1,,1,1,1,1,1,,1,1,
nan,nan,ENSMODP00000014279,MONDO,10.0,1,1,,1,,1,1,1,1,1,,1,1,
Q9Y2I1,NISCH_HUMAN,nan,HUMAN,10.0,1,1,,1,,1,1,1,1,1,,1,1,
F1N322,F1N322_BOVIN,ENSBTAP00000019661,BOVIN,10.0,1,1,,1,,1,1,1,1,1,,1,1,
H2QMR8,H2QMR8_PANTR,ENSPTRP00000025906,PANTR,10.0,1,1,,1,,1,1,1,1,1,,1,1,
Q80TM9,NISCH_MOUSE,nan,MOUSE,9.0,1,1,,,,1,1,1,1,1,,1,1,
F1PMN8,F1PMN8_CANFA,ENSCAFP00000013833,CANFA,9.0,1,1,,,,1,1,1,1,1,,1,1,
F6WDW8,F6WDW8_MACMU,ENSMMUP00000007426,MACMU,9.0,1,1,,,,1,1,1,1,1,,1,1,
F7EKV3,F7EKV3_ORNAN,ENSOANP00000002395,ORNAN,9.0,1,1,,,,1,1,1,1,1,,1,1,
D4A351,nan,nan,nan,7.0,,,,,,1,1,1,1,1,,1,1,
nan,nan,ENSCINP00000020133,CIOIN,3.0,,,,,,1,1,,,,,1,,
B0XYU5,B0XYU5_ASPFC,nan,ASPFC,2.0,1,1,,,,,,,,,,,,
Q304C8,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q9LVH8,Q9LVH8_ARATH,nan,ARATH,1.0,,,,,,,,,,1,,,,
Q3ECU5,nan,nan,nan,1.0,,,,,,,,,,1,,,,
A5WWJ3,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q19407,nan,nan,nan,1.0,,,,,,,,,,1,,,,
A9RXX1,A9RXX1_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
C3ZPN3,C3ZPN3_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3ZAI7,C3ZAI7_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
B3H486,B3H486_ARATH,nan,ARATH,1.0,,,,,,,,,,1,,,,
A9V2P4,A9V2P4_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
A9SUK4,A9SUK4_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
nan,nan,ENSXETP00000046411,XENTR,1.0,,,,,,,,,,,,1,,
