ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
G5E5T4,G5E5T4_BOVIN,ENSBTAP00000030507,BOVIN,12.0,1,1,1,1,1,,1,1,1,1,1,1,1,
B0UZU0,nan,nan,nan,6.0,1,1,1,1,,,,,1,,,,1,
A4IG35,A4IG35_DANRE,nan,DANRE,3.0,,,,,,,,,1,,,1,1,
A4JYS6,A4JYS6_DANRE,nan,DANRE,3.0,,,,,,,,,1,,,1,1,
F6YND3,F6YND3_XENTR,ENSXETP00000026415,XENTR,3.0,,,1,,1,,,,,,1,,,
Q2YDQ1,Q2YDQ1_DANRE,nan,DANRE,3.0,,,,,,,,,1,,,1,1,
Q7QBA7,Q7QBA7_ANOGA,nan,ANOGA,2.0,,,,,,,,,,,,1,1,
H2RJ27,H2RJ27_TAKRU,ENSTRUP00000000140,TAKRU,2.0,,,,,,,,1,1,,,,,
F6WIG6,F6WIG6_ORNAN,ENSOANP00000010234,ORNAN,2.0,,,,,1,,,,,,1,,,
Q31407,Q31407_CHICK,nan,CHICK,2.0,,,,,1,,,,,,1,,,
F7FVH4,F7FVH4_MACMU,ENSMMUP00000005820,MACMU,2.0,,,,,1,,,,,,1,,,
Q501V7,Q501V7_DANRE,nan,DANRE,2.0,,,,,1,,,,,,1,,,
F1QA01,F1QA01_DANRE,ENSDARP00000057355,DANRE,2.0,,,,,,,,,1,,,,1,
F7G214,F7G214_MONDO,ENSMODP00000011184,MONDO,2.0,,,,,1,,,,,,1,,,
A5HUJ0,A5HUJ0_CHICK,nan,CHICK,2.0,,,,,1,,,,,,1,,,
nan,nan,ENSMODP00000031545,MONDO,2.0,,,,,,,,,,1,,1,,
O70355,BTNL2_MOUSE,nan,MOUSE,1.0,,,,,,,1,,,,,,,
F7G269,F7G269_ORNAN,ENSOANP00000026281,ORNAN,1.0,,,,,,,,,,,1,,,
F7G8B1,F7G8B1_MONDO,ENSMODP00000025258,MONDO,1.0,,,,,,,,,,,1,,,
nan,nan,ENSPTRP00000047774,PANTR,1.0,,,,,,,,,,1,,,,
F7G8B5,F7G8B5_MONDO,ENSMODP00000025257,MONDO,1.0,,,,,,,,,,,1,,,
