ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7DVJ4,F7DVJ4_MONDO,ENSMODP00000035509,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1R4U1,F1R4U1_DANRE,ENSDARP00000104196,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8BG55,GP171_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q3ZBK9,GP171_BOVIN,ENSBTAP00000012983,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
O14626,GP171_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QNL2,H2QNL2_PANTR,ENSPTRP00000026749,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7HBT2,F7HBT2_MACMU,ENSMMUP00000022679,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7DD26,F7DD26_ORNAN,ENSOANP00000019275,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSXETP00000054000,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1P662,F1P662_CANFA,ENSCAFP00000012512,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1C4Z3,E1C4Z3_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
D4A4Q2,D4A4Q2_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3YC94,C3YC94_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,1,
C3YC95,C3YC95_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,1,
Q8IQS9,Q8IQS9_DROME,nan,DROME,2.0,,,,,,,,,,,,1,1,
C3ZFR5,C3ZFR5_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
C3Z660,C3Z660_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
Q7QKJ0,Q7QKJ0_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
Q9VVQ1,Q9VVQ1_DROME,nan,DROME,1.0,,,,,,,,,,,,,1,
C3Y8Z0,C3Y8Z0_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
