ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
nan,nan,ENSPTRP00000025319,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7G634,F7G634_MACMU,ENSMMUP00000038383,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5U2Y2,Q5U2Y2_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q01826,SATB1_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q91XB1,nan,nan,nan,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSMODP00000032534,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSBTAP00000050783,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1PLB0,F1PLB0_CANFA,ENSCAFP00000008750,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6W9B5,F6W9B5_XENTR,ENSXETP00000019819,XENTR,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
E1BRH4,E1BRH4_CHICK,nan,CHICK,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
H2SIN8,H2SIN8_TAKRU,ENSTRUP00000012270,TAKRU,7.0,1,1,,1,1,,,,1,1,1,,,
F7GBA4,F7GBA4_ORNAN,ENSOANP00000007915,ORNAN,6.0,,1,,,,1,,1,1,,,1,1,
H2TJF5,H2TJF5_TAKRU,ENSTRUP00000024809,TAKRU,6.0,,,,,,,1,,,1,1,1,1,1
Q7PPA7,Q7PPA7_ANOGA,nan,ANOGA,5.0,,1,,,1,1,1,,,,1,,,
B7P0Z0,B7P0Z0_IXOSC,nan,IXOSC,4.0,,,,,,,1,1,,1,1,,,
Q9W268,Q9W268_DROME,nan,DROME,4.0,,,,,1,1,1,,,,1,,,
C3Z252,C3Z252_BRAFL,nan,BRAFL,4.0,,,,,1,1,1,,,,1,,,
Q86MI0,Q86MI0_CAEEL,nan,CAEEL,4.0,,,,,1,1,1,,,,1,,,
B7P0Y8,B7P0Y8_IXOSC,nan,IXOSC,3.0,,,,,1,,,1,,,1,,,
Q1LUN2,Q1LUN2_DANRE,nan,DANRE,3.0,,,,,1,,,,,,1,,,1
F7GBB1,F7GBB1_ORNAN,ENSOANP00000007914,ORNAN,2.0,,,,,,,1,,,,,,,1
H2SIE3,H2SIE3_TAKRU,ENSTRUP00000012175,TAKRU,1.0,,,,,,,,1,,,,,,
nan,nan,ENSMODP00000034832,MONDO,1.0,,,,,,,,,1,,,,,
H2UQV2,H2UQV2_TAKRU,ENSTRUP00000039325,TAKRU,1.0,,,,,,,,1,,,,,,
