ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A6UYI8,A6UYI8_PSEA7,nan,PSEA7,2.0,,,,,1,,,,,,1,,,
Q4P325,Q4P325_USTMA,nan,USTMA,2.0,,,,,1,,,,,,1,,,
Q9P7G8,YLKC_SCHPO,nan,SCHPO,2.0,,,,,1,,,,,,1,,,
Q8EY96,Q8EY96_LEPIN,nan,LEPIN,2.0,,,,,1,,,,,,1,,,
Q89BP8,Q89BP8_BRADU,nan,BRADU,2.0,,,,,1,,,,,,1,,,
Q7UNR4,Q7UNR4_RHOBA,nan,RHOBA,2.0,,,,,1,,,,,,1,,,
Q7NDA5,Q7NDA5_GLOVI,nan,GLOVI,2.0,,,,,1,,,,,,1,,,
Q5KI49,Q5KI49_CRYNJ,nan,CRYNJ,2.0,,,,,1,,,,,,1,,,
Q55D70,Q55D70_DICDI,nan,DICDI,2.0,,,,,1,,,,,,1,,,
Q4Q8B6,Q4Q8B6_LEIMA,nan,LEIMA,2.0,,,,,1,,,,,,1,,,
Q0ULW9,Q0ULW9_PHANO,nan,PHANO,2.0,,,,,1,,,,,,1,,,
P39619,YWDK_BACSU,nan,BACSU,2.0,,,,,1,,,,,,1,,,
P0ADR2,YGDD_ECOLI,nan,ECOLI,2.0,,,,,1,,,,,,1,,,
B8BV44,B8BV44_THAPS,nan,THAPS,2.0,,,,,1,,,,,,1,,,
B3H468,B3H468_ARATH,nan,ARATH,2.0,,,,,1,,,,,,1,,,
A9RLJ5,A9RLJ5_PHYPA,nan,PHYPA,2.0,,,,,1,,,,,,1,,,
A9RKB6,A9RKB6_PHYPA,nan,PHYPA,2.0,,,,,1,,,,,,1,,,
Q9RTA1,Q9RTA1_DEIRA,nan,DEIRA,2.0,,,,,1,,,,,,1,,,
Q4Q8B5,Q4Q8B5_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
A9RKB5,A9RKB5_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
Q4Q8B7,Q4Q8B7_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
Q55D69,Q55D69_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
