ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q89ES6,Q89ES6_BRADU,nan,BRADU,3.0,,,1,1,,,,,,1,,,,
C3YDF8,C3YDF8_BRAFL,nan,BRAFL,2.0,,,1,1,,,,,,,,,,
Q7UIJ3,Q7UIJ3_RHOBA,nan,RHOBA,2.0,,,,1,,,,,,1,,,,
A7F5R0,A7F5R0_SCLS1,nan,SCLS1,1.0,,,1,,,,,,,,,,,
Q63348,Q63348_RAT,nan,RAT,1.0,,,,1,,,,,,,,,,
nan,nan,ENSMUSP00000131038,MOUSE,1.0,,,,1,,,,,,,,,,
nan,nan,ENSCINP00000016155,CIOIN,1.0,,,,1,,,,,,,,,,
Q9VA86,Q9VA86_DROME,nan,DROME,1.0,,,,1,,,,,,,,,,
Q9RW96,Q9RW96_DEIRA,nan,DEIRA,1.0,,,,1,,,,,,,,,,
Q9KY45,Q9KY45_STRCO,nan,STRCO,1.0,,,,1,,,,,,,,,,
Q86I54,Q86I54_DICDI,nan,DICDI,1.0,,,,1,,,,,,,,,,
Q7S305,Q7S305_NEUCR,nan,NEUCR,1.0,,,,1,,,,,,,,,,
Q5KFT8,Q5KFT8_CRYNJ,nan,CRYNJ,1.0,,,,1,,,,,,,,,,
B0UXG8,B0UXG8_DANRE,nan,DANRE,1.0,,,,1,,,,,,,,,,
Q5KA68,Q5KA68_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,1,,,,
Q59JN2,Q59JN2_CANAL,nan,CANAL,1.0,,,,1,,,,,,,,,,
Q10168,NSP1_SCHPO,nan,SCHPO,1.0,,,,1,,,,,,,,,,
F6UE45,F6UE45_MACMU,ENSMMUP00000035088,MACMU,1.0,,,,1,,,,,,,,,,
E2RBD1,E2RBD1_CANFA,ENSCAFP00000014804,CANFA,1.0,,,,1,,,,,,,,,,
E1C8W6,E1C8W6_CHICK,nan,CHICK,1.0,,,,1,,,,,,,,,,
C4QRM0,nan,nan,nan,1.0,,,,1,,,,,,,,,,
B5YP42,B5YP42_THAPS,nan,THAPS,1.0,,,,1,,,,,,,,,,
B0Y7C7,B0Y7C7_ASPFC,nan,ASPFC,1.0,,,,1,,,,,,,,,,
nan,nan,ENSXETP00000001654,XENTR,1.0,,,,1,,,,,,,,,,
