ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7UTT5,Q7UTT5_RHOBA,nan,RHOBA,6.0,,,,,1,,1,1,1,1,1,,,
Q89MD8,Q89MD8_BRADU,nan,BRADU,6.0,,,,,1,,1,1,1,1,1,,,
P73364,P73364_SYNY3,nan,SYNY3,4.0,,,,,1,,1,1,,,1,,,
Q7NGE4,Q7NGE4_GLOVI,nan,GLOVI,4.0,,,,,1,,1,1,,,1,,,
A6V8E0,A6V8E0_PSEA7,nan,PSEA7,2.0,,,,,1,,,,,,1,,,
Q9FCG3,Q9FCG3_STRCO,nan,STRCO,2.0,,,,,,,,1,,1,,,,
Q8A396,Q8A396_BACTN,nan,BACTN,2.0,,,,,1,,,,,,1,,,
Q06861,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
Q8A5D1,Q8A5D1_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q8A5B9,Q8A5B9_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q8A3R5,Q8A3R5_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q8A1K1,Q8A1K1_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q9L019,Q9L019_STRCO,nan,STRCO,1.0,,,,,,,,1,,,,,,
Q8A1J4,Q8A1J4_BACTN,nan,BACTN,1.0,,,,,,,,1,,,,,,
Q8A0S0,Q8A0S0_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q8A0R4,Q8A0R4_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q8A3A2,Q8A3A2_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
A6UYM6,A6UYM6_PSEA7,nan,PSEA7,1.0,,,,,,,,,,1,,,,
A6V4X4,A6V4X4_PSEA7,nan,PSEA7,1.0,,,,,,,,,,1,,,,
Q7NES0,Q7NES0_GLOVI,nan,GLOVI,1.0,,,,,,,,,,1,,,,
Q0UVA4,Q0UVA4_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
P0A9E0,ARAC_ECOLI,nan,ECOLI,1.0,,,,,,,1,,,,,,,
O69703,O69703_MYCTU,nan,MYCTU,1.0,,,,,,,,,,,1,,,
O50480,O50480_STRCO,nan,STRCO,1.0,,,,,,,,,,1,,,,
O31449,YBFI_BACSU,nan,BACSU,1.0,,,,,,,1,,,,,,,
A7EUV3,A7EUV3_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
A6VEE9,A6VEE9_PSEA7,nan,PSEA7,1.0,,,,,,,,,,1,,,,
A6V7H3,A6V7H3_PSEA7,nan,PSEA7,1.0,,,,,,,,,,1,,,,
A6V6U0,A6V6U0_PSEA7,nan,PSEA7,1.0,,,,,,,,,,1,,,,
nan,nan,ENSXETP00000053942,XENTR,1.0,,,,,,,,,,,1,,,
