ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q89QU4,Q89QU4_BRADU,nan,BRADU,11.0,1,1,1,1,1,,1,1,1,1,1,,,1
B0XY73,B0XY73_ASPFC,nan,ASPFC,10.0,1,1,1,1,1,,1,1,1,,1,,,1
Q0U2X8,Q0U2X8_PHANO,nan,PHANO,10.0,1,1,1,1,1,,1,1,1,,1,,,1
Q6C015,Q6C015_YARLI,nan,YARLI,10.0,1,1,1,1,1,,1,1,1,,1,,,1
Q4P3R4,Q4P3R4_USTMA,nan,USTMA,8.0,1,1,,1,1,,1,1,,,1,,,1
A7EQ77,A7EQ77_SCLS1,nan,SCLS1,4.0,1,1,,,,,,1,,,1,,,
Q7RWS0,Q7RWS0_NEUCR,nan,NEUCR,4.0,1,1,,,,,,1,,,1,,,
Q5AMS5,Q5AMS5_CANAL,nan,CANAL,3.0,1,,,,,,,1,,,1,,,
Q7SA18,Q7SA18_NEUCR,nan,NEUCR,2.0,,,,,,,,1,,,1,,,
B0XP28,B0XP28_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,1,,,
Q0U0D8,Q0U0D8_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q0U906,Q0U906_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q0UA30,Q0UA30_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q97U79,Q97U79_SULSO,nan,SULSO,1.0,,,,,,,,,,1,,,,
Q97YI0,Q97YI0_SULSO,nan,SULSO,1.0,,,,,,,,,,1,,,,
