ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q89VM8,Q89VM8_BRADU,nan,BRADU,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
A9WBK3,A9WBK3_CHLAA,nan,CHLAA,10.0,1,1,1,1,,,1,1,1,1,,1,1,
A6V6W9,A6V6W9_PSEA7,nan,PSEA7,9.0,1,1,1,1,,,1,1,1,1,,,,1
P96664,YDEG_BACSU,nan,BACSU,7.0,,,1,,,,1,1,1,1,,1,1,
P96656,YDDS_BACSU,nan,BACSU,5.0,,,,,,,,1,1,1,,1,1,
P64783,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
Q9RSU2,Q9RSU2_DEIRA,nan,DEIRA,2.0,,,,,,,,,1,1,,,,
Q97Z36,Q97Z36_SULSO,nan,SULSO,2.0,,,,,1,,,,,,1,,,
A6V741,A6V741_PSEA7,nan,PSEA7,2.0,,,,,1,,,,,,1,,,
Q9X158,Q9X158_THEMA,nan,THEMA,2.0,,,,,1,,,,,,1,,,
P42432,NASA_BACSU,nan,BACSU,2.0,,,,,1,,,,,,1,,,
P31126,YDEE_ECOLI,nan,ECOLI,2.0,,,,,1,,,,,,1,,,
L7N2L4,L7N2L4_XENTR,ENSXETP00000005603,XENTR,2.0,,,,,1,,,,,,1,,,
F6RSZ5,F6RSZ5_XENTR,ENSXETP00000033197,XENTR,2.0,,,,,1,,,,,,1,,,
A9WCM7,A9WCM7_CHLAA,nan,CHLAA,2.0,,,,,1,,,,,,1,,,
Q54IX9,Q54IX9_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q5JHY3,Q5JHY3_THEKO,nan,THEKO,1.0,,,,,,,,,,,1,,,
Q5JII8,Q5JII8_THEKO,nan,THEKO,1.0,,,,,,,,,,,1,,,
Q5KG81,Q5KG81_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,,1,,,
Q8CJZ9,Q8CJZ9_STRCO,nan,STRCO,1.0,,,,,,,,,,,,,1,
Q8TNM1,Q8TNM1_METAC,nan,METAC,1.0,,,,,,,,,,,1,,,
Q8TRL4,Q8TRL4_METAC,nan,METAC,1.0,,,,,,,,,,,1,,,
Q97XW7,Q97XW7_SULSO,nan,SULSO,1.0,,,,,,,,,,,1,,,
A8BB47,A8BB47_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,1,,,
Q0UQ04,Q0UQ04_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
