ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C3XQD4,C3XQD4_BRAFL,nan,BRAFL,9.0,,,1,1,,1,1,1,1,1,,1,,1
A7SJ39,A7SJ39_NEMVE,nan,NEMVE,8.0,,,1,1,,1,1,1,1,1,,,,1
A0NFM5,A0NFM5_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
F1M7J5,F1M7J5_RAT,ENSRNOP00000040156,RAT,1.0,,,,,,,,,,,,1,,
F1LYZ3,F1LYZ3_RAT,ENSRNOP00000041501,RAT,1.0,,,,,,,,,,,,1,,
F1LZJ7,F1LZJ7_RAT,ENSRNOP00000039366,RAT,1.0,,,,,,,,,,,,1,,
F1M023,F1M023_RAT,ENSRNOP00000051131,RAT,1.0,,,,,,,,,,,,1,,
F1M0T3,F1M0T3_RAT,ENSRNOP00000047751,RAT,1.0,,,,,,,,,,,,1,,
F1M340,F1M340_RAT,ENSRNOP00000047814,RAT,1.0,,,,,,,,,,,,1,,
F1M7B4,F1M7B4_RAT,ENSRNOP00000045323,RAT,1.0,,,,,,,,,,,,1,,
Q9D5Q6,Q9D5Q6_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q3UWX6,Q3UWX6_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
F1LX92,F1LX92_RAT,ENSRNOP00000034116,RAT,1.0,,,,,,,,,,,,1,,
Q9D9F7,Q9D9F7_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
nan,nan,ENSRNOP00000037610,RAT,1.0,,,,,,,,,,,,1,,
nan,nan,ENSRNOP00000039472,RAT,1.0,,,,,,,,,,,,1,,
nan,nan,ENSRNOP00000046377,RAT,1.0,,,,,,,,,,,,1,,
nan,nan,ENSRNOP00000049037,RAT,1.0,,,,,,,,,,,,1,,
F1LXQ0,F1LXQ0_RAT,ENSRNOP00000058483,RAT,1.0,,,,,,,,,,,,1,,
E9Q9U2,E9Q9U2_MOUSE,ENSMUSP00000075821,MOUSE,1.0,,,,,,,,,,,,1,,
F1LUD1,F1LUD1_RAT,ENSRNOP00000050219,RAT,1.0,,,,,,,,,,,,1,,
D3ZF60,D3ZF60_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
D3Z8H2,nan,nan,nan,1.0,,,,,,,,,,,,1,,
D3Z9V3,D3Z9V3_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
D3ZA33,nan,nan,nan,1.0,,,,,,,,,,,,1,,
D3ZA70,nan,nan,nan,1.0,,,,,,,,,,,,1,,
D3ZAW7,nan,nan,nan,1.0,,,,,,,,,,,,1,,
D3ZER7,nan,nan,nan,1.0,,,,,,,,,,,,1,,
D3ZKL6,D3ZKL6_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
A7RG62,A7RG62_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
D3ZQC4,D3ZQC4_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
D3ZVG7,D3ZVG7_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
D3ZWL2,nan,nan,nan,1.0,,,,,,,,,,,,1,,
D4A2D0,nan,nan,nan,1.0,,,,,,,,,,,,1,,
D4A3R8,D4A3R8_RAT,ENSRNOP00000047602,RAT,1.0,,,,,,,,,,,,1,,
D4A872,nan,nan,nan,1.0,,,,,,,,,,,,1,,
nan,nan,ENSRNOP00000050673,RAT,1.0,,,,,,,,,,,,1,,
