ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A9V4D2,A9V4D2_MONBE,nan,MONBE,3.0,,,,,,,,,,1,,1,1,
F6PHY2,F6PHY2_XENTR,ENSXETP00000035694,XENTR,3.0,,,,,,,,,,1,,1,1,
F6PIC2,F6PIC2_XENTR,ENSXETP00000035687,XENTR,3.0,,,,,,,,,,1,,1,1,
C3XRR6,C3XRR6_BRAFL,nan,BRAFL,3.0,,,,,,,,,,1,,1,1,
F7B6X0,F7B6X0_ORNAN,ENSOANP00000004202,ORNAN,2.0,,,,,,,,,,,,1,1,
H2PYZ6,H2PYZ6_PANTR,ENSPTRP00000001226,PANTR,2.0,,,,,,,,,,,,1,1,
O88833,CP4AA_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
O35728,CP4AE_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
H2S6X2,H2S6X2_TAKRU,ENSTRUP00000008144,TAKRU,2.0,,,,,,,,,,,,1,1,
H2R3R0,H2R3R0_PANTR,ENSPTRP00000045918,PANTR,2.0,,,,,,,,,,,,1,1,
H2PYZ5,H2PYZ5_PANTR,ENSPTRP00000001224,PANTR,2.0,,,,,,,,,,,,1,1,
P13584,CP4B1_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,1,
H2PYZ4,H2PYZ4_PANTR,ENSPTRP00000001222,PANTR,2.0,,,,,,,,,,,,1,1,
H2PYZ3,H2PYZ3_PANTR,ENSPTRP00000001220,PANTR,2.0,,,,,,,,,,,,1,1,
F7GTB2,F7GTB2_MACMU,ENSMMUP00000026126,MACMU,2.0,,,,,,,,,,,,1,1,
F7GR94,F7GR94_MACMU,ENSMMUP00000040236,MACMU,2.0,,,,,,,,,,,,1,1,
A2A974,A2A974_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
P08516,CP4AA_RAT,ENSRNOP00000012888,RAT,2.0,,,,,,,,,,,,1,1,
P24464,CP4AC_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
P15129,CP4B1_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
F7F434,F7F434_MONDO,ENSMODP00000001851,MONDO,2.0,,,,,,,,,,,,1,1,
Q02928,CP4AB_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,1,
Q148E6,Q148E6_BOVIN,ENSBTAP00000015892,BOVIN,2.0,,,,,,,,,,,,1,1,
