ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C3XTT5,C3XTT5_BRAFL,nan,BRAFL,10.0,1,1,,,1,1,1,1,,1,1,1,,1
Q0U4E3,Q0U4E3_PHANO,nan,PHANO,5.0,,,,,,1,1,1,,1,,,,1
Q89ND0,Q89ND0_BRADU,nan,BRADU,4.0,,,,,,,1,1,,1,,,,1
Q7UWE0,Q7UWE0_RHOBA,nan,RHOBA,3.0,1,1,,,,,,1,,,,,,
P74200,P74200_SYNY3,nan,SYNY3,3.0,,,,,,,1,1,,,,,,1
A2DWE2,A2DWE2_TRIVA,nan,TRIVA,2.0,,,,,,1,1,,,,,,,
Q9U3M7,Q9U3M7_CAEEL,nan,CAEEL,2.0,,,,,,,,,,1,,,,1
Q89ET9,Q89ET9_BRADU,nan,BRADU,2.0,,,,,1,,,,,,1,,,
Q59KT4,Q59KT4_CANAL,nan,CANAL,2.0,,,,,1,,,,,,1,,,
Q7UMP8,Q7UMP8_RHOBA,nan,RHOBA,1.0,,,,,,,,1,,,,,,
B0Y9D3,B0Y9D3_ASPFC,nan,ASPFC,1.0,,,,,,1,,,,,,,,
Q59KR6,Q59KR6_CANAL,nan,CANAL,1.0,,,,,,,,,,,1,,,
Q89IX1,Q89IX1_BRADU,nan,BRADU,1.0,,,,,,,,1,,,,,,
P39933,TF3A_YEAST,nan,YEAST,1.0,,,,,,,,,,,,1,,
Q8W030,ZWIP4_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
B7PA98,B7PA98_IXOSC,nan,IXOSC,1.0,,,,,,1,,,,,,,,
Q9XWZ6,Q9XWZ6_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
