ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C3Y334,C3Y334_BRAFL,nan,BRAFL,6.0,,,,1,,,,,1,,1,1,1,1
A7SYW2,A7SYW2_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,1,1,,
A7SIF3,A7SIF3_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,,1,,1
A2BFW5,nan,nan,nan,1.0,,,,,,,,,,,,,,1
Q24567,NETA_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q194S7,nan,nan,nan,1.0,,,,,,,,,,,1,,,
Q18823,LAM2_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q0VGR4,Q0VGR4_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q06561,UNC52_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
P97552,P97552_RAT,nan,RAT,1.0,,,,,,,,,,,,,,1
P34710,UNC6_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
P15215,LAMC1_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
P11047,LAMC1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,,1
P02468,LAMC1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,,1
H2VEC9,H2VEC9_TAKRU,ENSTRUP00000047574,TAKRU,1.0,,,,,,,,,,,,,,1
H2VCN6,H2VCN6_TAKRU,ENSTRUP00000046979,TAKRU,1.0,,,,,,,,,,,1,,,
H2UBI2,H2UBI2_TAKRU,ENSTRUP00000034300,TAKRU,1.0,,,,,,,,,,,,,,1
H2T5T2,H2T5T2_TAKRU,ENSTRUP00000020021,TAKRU,1.0,,,,,,,,,,,1,,,
H2RUH4,H2RUH4_TAKRU,ENSTRUP00000003791,TAKRU,1.0,,,,,,,,,,,1,,,
H2RM58,H2RM58_TAKRU,ENSTRUP00000001221,TAKRU,1.0,,,,,,,,,,,,,1,
H2QXS7,H2QXS7_PANTR,ENSPTRP00000036410,PANTR,1.0,,,,,,,,,,,1,,,
H2QGG4,H2QGG4_PANTR,ENSPTRP00000018985,PANTR,1.0,,,,,,,,,,,1,,,
H2Q0R1,H2Q0R1_PANTR,ENSPTRP00000002939,PANTR,1.0,,,,,,,,,,,,,,1
F7H0F3,F7H0F3_MACMU,ENSMMUP00000039572,MACMU,1.0,,,,,,,,,,,1,,,
F7EUX0,F7EUX0_MACMU,ENSMMUP00000009088,MACMU,1.0,,,,,,,,,,,1,,,
Q1LVF0,LAMC1_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
Q5TQ35,Q5TQ35_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q24568,NETB_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q9W4Y3,Q9W4Y3_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
nan,nan,ENSPTRP00000040145,PANTR,1.0,,,,,,,,,,,1,,,
nan,nan,ENSPTRP00000036756,PANTR,1.0,,,,,,,,,,,,,,1
nan,nan,ENSOANP00000001574,ORNAN,1.0,,,,,,,,,,,,,,1
