ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C3YGU5,C3YGU5_BRAFL,nan,BRAFL,4.0,,,,,,,1,,1,,,1,1,
A7SXA1,A7SXA1_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,,1,1,
A7RK32,A7RK32_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
Q01819,CONN_DROME,nan,DROME,1.0,,,,,,,,,1,,,,,
Q9VPF0,Q9VPF0_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q965M2,Q965M2_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
Q7QHH1,Q7QHH1_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
Q7QFF0,Q7QFF0_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
Q7Q8I8,Q7Q8I8_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q7PYM2,Q7PYM2_ANOGA,nan,ANOGA,1.0,,,,,,,,,1,,,,,
Q7PYM1,Q7PYM1_ANOGA,nan,ANOGA,1.0,,,,,,,,,1,,,,,
F6SKC4,F6SKC4_CIOIN,ENSCINP00000022602,CIOIN,1.0,,,,,,,,,,,,1,,
F7A7U9,F7A7U9_CIOIN,ENSCINP00000025751,CIOIN,1.0,,,,,,,,,1,,,,,
A7SLJ8,A7SLJ8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
F6QKQ3,F6QKQ3_CIOIN,ENSCINP00000025248,CIOIN,1.0,,,,,,,,,,,,,1,
F1NGV7,F1NGV7_CHICK,ENSGALP00000016161,CHICK,1.0,,,,,,,,,,,,,1,
D3ZQU7,D3ZQU7_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
B7PWR4,B7PWR4_IXOSC,nan,IXOSC,1.0,,,,,,,,,1,,,,,
B7PG01,B7PG01_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,,1,
A7UUH1,A7UUH1_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000031635,MONDO,1.0,,,,,,,1,,,,,,,
