ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C3YJI0,C3YJI0_BRAFL,nan,BRAFL,4.0,,,,,,,1,,,1,,1,,1
Q9CAN8,MBOA2_ARATH,nan,ARATH,3.0,,,,,,,,,,1,,1,,1
Q8RWH4,nan,nan,nan,3.0,,,,,,,,,,1,,1,,1
A2DGR9,A2DGR9_TRIVA,nan,TRIVA,2.0,,,,,,,,,,,,1,,1
A2EH55,A2EH55_TRIVA,nan,TRIVA,2.0,,,,,,,,,,,,1,,1
Q7SBH9,Q7SBH9_NEUCR,nan,NEUCR,2.0,,,,,,,,,,1,,,,1
Q6C138,Q6C138_YARLI,nan,YARLI,2.0,,,,,,,,,,1,,,,1
Q5KPB8,Q5KPB8_CRYNJ,nan,CRYNJ,2.0,,,,,,,,,,1,,,,1
Q59U70,Q59U70_CANAL,nan,CANAL,2.0,,,,,,,,,,1,,,,1
Q54XX2,Q54XX2_DICDI,nan,DICDI,2.0,,,,,,,,,,1,,,,1
Q4PEQ6,Q4PEQ6_USTMA,nan,USTMA,2.0,,,,,,,,,,1,,,,1
Q0TYV2,Q0TYV2_PHANO,nan,PHANO,2.0,,,,,,,,,,1,,,,1
Q08548,ALE1_YEAST,nan,YEAST,2.0,,,,,,,,,,1,,,,1
O42916,ALE1_SCHPO,nan,SCHPO,2.0,,,,,,,,,,1,,,,1
B0YCW4,B0YCW4_ASPFC,nan,ASPFC,2.0,,,,,,,,,,1,,,,1
A2G838,A2G838_TRIVA,nan,TRIVA,2.0,,,,,,,,,,,,1,,1
A7E554,A7E554_SCLS1,nan,SCLS1,2.0,,,,,,,,,,1,,,,1
B8BS68,B8BS68_THAPS,nan,THAPS,2.0,,,,,,,,,,1,,,,1
A9RC93,A9RC93_PHYPA,nan,PHYPA,2.0,,,,,,,,,,1,,,,1
A9SAR9,A9SAR9_PHYPA,nan,PHYPA,2.0,,,,,,,,,,1,,,,1
A9TPB5,A9TPB5_PHYPA,nan,PHYPA,2.0,,,,,,,,,,1,,,,1
C4QIQ0,nan,nan,nan,1.0,,,,,,,,,,,,,,1
Q9VMD5,Q9VMD5_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
Q96T53,MBOA4_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
A7S6B5,A7S6B5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,,1
Q7QJL4,Q7QJL4_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,,1
Q7PVJ4,Q7PVJ4_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
Q6NN55,Q6NN55_DROME,nan,DROME,1.0,,,,,,,,,,,,,,1
B1Q005,MBOA4_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
C4QKG6,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q19468,MBOA7_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
Q18856,nan,nan,nan,1.0,,,,,,,,,,,,,,1
Q17826,nan,nan,nan,1.0,,,,,,,,,,,,,,1
B1Q006,MBOA4_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
P0C7A3,MBOA4_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
C4QIP9,nan,nan,nan,1.0,,,,,,,,,,,,,,1
F6U8Q9,F6U8Q9_CIOIN,ENSCINP00000021743,CIOIN,1.0,,,,,,,,,,,,,,1
F6S8G9,F6S8G9_MACMU,ENSMMUP00000032162,MACMU,1.0,,,,,,,,,,,,1,,
F1P1K2,F1P1K2_CHICK,ENSGALP00000018654,CHICK,1.0,,,,,,,,,,,,1,,
E1BAE4,E1BAE4_BOVIN,ENSBTAP00000000986,BOVIN,1.0,,,,,,,1,,,,,,,
C4QMA8,C4QMA8_SCHMA,nan,SCHMA,1.0,,,,,,,,,,,,,,1
Q9XUB0,Q9XUB0_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,,1
