ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C3YXJ2,C3YXJ2_BRAFL,nan,BRAFL,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
C1LZH8,nan,nan,nan,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
A7SW33,A7SW33_NEMVE,nan,NEMVE,10.0,1,1,,1,,1,1,1,1,,,1,1,1
A9UPH8,A9UPH8_MONBE,nan,MONBE,10.0,1,1,,1,,1,1,1,1,,,1,1,1
F6ZGS2,F6ZGS2_XENTR,ENSXETP00000031592,XENTR,9.0,1,1,,1,,1,,1,1,,,1,1,1
Q8I7P3,Q8I7P3_DICDI,nan,DICDI,9.0,1,1,,,,1,1,1,1,,,1,1,1
Q5TSE7,Q5TSE7_ANOGA,nan,ANOGA,9.0,1,1,,,,1,1,1,1,,,1,1,1
O17590,O17590_CAEEL,nan,CAEEL,9.0,1,1,,,,1,1,1,1,,,1,1,1
B8BUP8,B8BUP8_THAPS,nan,THAPS,8.0,1,1,,,,1,,1,1,,,1,1,1
O46094,O46094_DROME,nan,DROME,8.0,1,1,,,,1,,1,1,,,1,1,1
H2R4J9,H2R4J9_PANTR,ENSPTRP00000047269,PANTR,7.0,,1,,,,1,,1,1,,,1,1,1
H2TD61,H2TD61_TAKRU,ENSTRUP00000022603,TAKRU,7.0,,1,,,,1,,1,1,,,1,1,1
F7EWY7,F7EWY7_MACMU,ENSMMUP00000011571,MACMU,7.0,,1,,,,1,,1,1,,,1,1,1
F1NLK6,F1NLK6_CHICK,ENSGALP00000002441,CHICK,7.0,,,,1,,1,,1,1,,,1,1,1
Q5K936,Q5K936_CRYNJ,nan,CRYNJ,7.0,,,,,,1,1,1,1,,,1,1,1
Q6NVF0,OCRL_MOUSE,nan,MOUSE,7.0,,1,,,,1,,1,1,,,1,1,1
Q01968,OCRL_HUMAN,nan,HUMAN,7.0,,1,,,,1,,1,1,,,1,1,1
nan,nan,ENSOANP00000019053,ORNAN,7.0,,1,,,,1,,1,1,,,1,1,1
E2QUW6,E2QUW6_CANFA,ENSCAFP00000027583,CANFA,7.0,,1,,,,1,,1,1,,,1,1,1
E7FGE3,E7FGE3_DANRE,ENSDARP00000061705,DANRE,7.0,,1,,,,1,,1,1,,,1,1,1
D3ZN62,nan,nan,nan,7.0,,1,,,,1,,1,1,,,1,1,1
