ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C3ZBV2,C3ZBV2_BRAFL,nan,BRAFL,4.0,,,1,,,,,,1,,,1,,1
nan,nan,ENSCAFP00000032552,CANFA,2.0,,,,,,,,,,,,1,,1
B8C5X2,B8C5X2_THAPS,nan,THAPS,2.0,,,,,,,,,1,,,,,1
E1BRZ3,nan,nan,nan,2.0,,,,,,,,,,,,1,,1
E1BRZ4,E1BRZ4_CHICK,nan,CHICK,2.0,,,,,,,,,,,,1,,1
E1BRZ5,E1BRZ5_CHICK,nan,CHICK,2.0,,,,,,,,,,,,1,,1
A7T8U8,A7T8U8_NEMVE,nan,NEMVE,2.0,,,1,,,,,,1,,,,,
F7DDZ3,F7DDZ3_MONDO,ENSMODP00000014965,MONDO,2.0,,,,,,,,,,,,1,,1
A7STU1,A7STU1_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
H2RVL8,H2RVL8_TAKRU,ENSTRUP00000004186,TAKRU,1.0,,,,,,,,,,,,1,,
Q6NUX3,Q6NUX3_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
Q2HJ80,Q2HJ80_BOVIN,ENSBTAP00000047454,BOVIN,1.0,,,,,,,,,,,,1,,
E1C320,nan,nan,nan,1.0,,,,,,,,,,,,,,1
F6S8Y1,F6S8Y1_CIOIN,ENSCINP00000002690,CIOIN,1.0,,,,,,,,,,,,1,,
E1C321,nan,nan,nan,1.0,,,,,,,,,,,,,,1
A9VE37,A9VE37_MONBE,nan,MONBE,1.0,,,,,,,,,,,,,,1
nan,nan,ENSXETP00000012971,XENTR,1.0,,,,,,,,,,,,1,,
