ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C3ZDB0,C3ZDB0_BRAFL,nan,BRAFL,3.0,,,1,,,,,,1,,,1,,
A7REY6,A7REY6_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
Q9C9D0,SOT16_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
L7N313,L7N313_XENTR,ENSXETP00000017282,XENTR,1.0,,,,,,,,,,,,1,,
O82330,SOT10_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
P52839,SOT12_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q8GZ53,SOT14_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q8L5A7,SOT15_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q8RUC1,SOT4_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q8RV79,SOT11_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9C9C9,SOT18_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9FG94,SOT1_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
H2QHR4,H2QHR4_PANTR,ENSPTRP00000020325,PANTR,1.0,,,,,,,,,,,,1,,
Q9FX55,SOT9_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9FX56,SOT8_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9FZ80,SOT17_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9FZ91,SOT7_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9M1V1,SOT6_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9M1V2,SOT5_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9STQ6,SOT3_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9ZPQ5,SOT13_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
L7N312,L7N312_XENTR,ENSXETP00000017267,XENTR,1.0,,,,,,,,,,,,1,,
F7GF70,F7GF70_MACMU,ENSMMUP00000021609,MACMU,1.0,,,,,,,,,,,,1,,
A7REY7,A7REY7_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
E2QUJ1,E2QUJ1_CANFA,ENSCAFP00000009121,CANFA,1.0,,,,,,,,,,,,1,,
A7RP28,A7RP28_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7S681,A7S681_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
A7S682,A7S682_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
A7SB69,A7SB69_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
A9USC3,A9USC3_MONBE,nan,MONBE,1.0,,,,,,,,,1,,,,,
A9WF11,A9WF11_CHLAA,nan,CHLAA,1.0,,,,,,,,,1,,,,,
B7PGX3,B7PGX3_IXOSC,nan,IXOSC,1.0,,,1,,,,,,,,,,,
E1BZH2,E1BZH2_CHICK,nan,CHICK,1.0,,,,,,,,,,,,1,,
F1MP06,F1MP06_BOVIN,ENSBTAP00000037706,BOVIN,1.0,,,,,,,,,,,,1,,
F7AV03,F7AV03_CIOIN,ENSCINP00000009067,CIOIN,1.0,,,,,,,,,1,,,,,
F1MZX9,F1MZX9_BOVIN,ENSBTAP00000011474,BOVIN,1.0,,,,,,,,,,,,1,,
F1NPD1,F1NPD1_CHICK,ENSGALP00000031198,CHICK,1.0,,,,,,,,,,,,1,,
F1NUZ4,F1NUZ4_CHICK,ENSGALP00000017229,CHICK,1.0,,,,,,,,,,,,1,,
F6TLW8,F6TLW8_MONDO,ENSMODP00000019084,MONDO,1.0,,,,,,,,,,,,1,,
F6Y3B6,F6Y3B6_CANFA,ENSCAFP00000017445,CANFA,1.0,,,,,,,,,,,,1,,
F6ZYZ9,F6ZYZ9_CIOIN,ENSCINP00000029621,CIOIN,1.0,,,,,,,,,1,,,,,
F7A3C3,F7A3C3_XENTR,ENSXETP00000017278,XENTR,1.0,,,,,,,,,,,,1,,
F7A3N4,F7A3N4_XENTR,ENSXETP00000017264,XENTR,1.0,,,,,,,,,,,,1,,
nan,nan,ENSGALP00000036890,CHICK,1.0,,,,,,,,,,,,1,,
