ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C3ZFA7,C3ZFA7_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,,1
Q17989,Q17989_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,,1
A7S6J9,A7S6J9_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,,1,,1
A7MC05,A7MC05_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
G8F177,G8F177_MACMU,ENSMMUP00000037549,MACMU,1.0,,,,,,,,,,,,,,1
Q9VJE6,Q9VJE6_DROME,nan,DROME,1.0,,,,,,,,,,,,,,1
Q96II8,LRCH3_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,,1
Q921G6,LRCH4_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q8BVU0,LRCH3_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,,1
Q7Q121,Q7Q121_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,,1
O75427,LRCH4_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
H2S1B2,H2S1B2_TAKRU,ENSTRUP00000006183,TAKRU,1.0,,,,,,,,,,,,,,1
H2RVB3,H2RVB3_TAKRU,ENSTRUP00000004081,TAKRU,1.0,,,,,,,,,,,,1,,
H2QP20,H2QP20_PANTR,ENSPTRP00000027179,PANTR,1.0,,,,,,,,,,,,,,1
F7C276,F7C276_XENTR,ENSXETP00000031294,XENTR,1.0,,,,,,,,,,,,,,1
G7MNU9,G7MNU9_MACMU,ENSMMUP00000020078,MACMU,1.0,,,,,,,,,,,,1,,
F6R5K7,F6R5K7_MONDO,ENSMODP00000005606,MONDO,1.0,,,,,,,,,,,,1,,
F6R141,F6R141_ORNAN,ENSOANP00000022514,ORNAN,1.0,,,,,,,,,,,,,,1
F6R066,F6R066_ORNAN,ENSOANP00000027572,ORNAN,1.0,,,,,,,,,,,,1,,
F1PLT1,F1PLT1_CANFA,ENSCAFP00000018733,CANFA,1.0,,,,,,,,,,,,,,1
F1NS33,F1NS33_CHICK,ENSGALP00000012267,CHICK,1.0,,,,,,,,,,,,,,1
F1MV58,F1MV58_BOVIN,ENSBTAP00000037062,BOVIN,1.0,,,,,,,,,,,,1,,
E9PSW6,E9PSW6_RAT,ENSRNOP00000001899,RAT,1.0,,,,,,,,,,,,1,,
E1BGP1,E1BGP1_BOVIN,ENSBTAP00000025116,BOVIN,1.0,,,,,,,,,,,,,,1
D4A8M4,D4A8M4_RAT,nan,RAT,1.0,,,,,,,,,,,,,,1
B7PEU4,B7PEU4_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,,,1
nan,nan,ENSMODP00000022936,MONDO,1.0,,,,,,,,,,,,,,1
