ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C3ZH13,C3ZH13_BRAFL,nan,BRAFL,4.0,,,,,,,,,1,1,,1,1,
F6SY07,F6SY07_CIOIN,ENSCINP00000026326,CIOIN,3.0,,,,,,,,,1,,,1,1,
nan,nan,ENSCINP00000028390,CIOIN,3.0,,,,,,,,,1,,,1,1,
F6UMV2,F6UMV2_CIOIN,ENSCINP00000025945,CIOIN,2.0,,,,,,,,,,,,1,1,
F6V3Y5,F6V3Y5_CIOIN,ENSCINP00000024642,CIOIN,2.0,,,,,,,,,,,,1,1,
A7RJ87,A7RJ87_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7S7X2,A7S7X2_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
F6SV00,F6SV00_XENTR,ENSXETP00000008678,XENTR,1.0,,,,,,,,,,1,,,,
F6YRF0,F6YRF0_CIOIN,ENSCINP00000002796,CIOIN,1.0,,,,,,,,,,,,1,,
F7A7T9,F7A7T9_CIOIN,ENSCINP00000025753,CIOIN,1.0,,,,,,,,,,,,1,,
F7DG29,F7DG29_XENTR,ENSXETP00000056003,XENTR,1.0,,,,,,,,,,1,,,,
nan,nan,ENSXETP00000008683,XENTR,1.0,,,,,,,,,,1,,,,
nan,nan,ENSXETP00000018314,XENTR,1.0,,,,,,,,,,1,,,,
