ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q149F1,RUSD2_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7BCP9,F7BCP9_MACMU,ENSMMUP00000001974,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6WAG4,F6WAG4_MONDO,ENSMODP00000000356,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1PK69,F1PK69_CANFA,ENSCAFP00000013490,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1P0G3,F1P0G3_CHICK,ENSGALP00000039645,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1N088,F1N088_BOVIN,ENSBTAP00000004148,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E7FFJ5,E7FFJ5_DANRE,ENSDARP00000080946,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
D4ACD4,D4ACD4_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2Q965,H2Q965_PANTR,ENSPTRP00000011820,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3YH76,C3YH76_BRAFL,nan,BRAFL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2U836,H2U836_TAKRU,ENSTRUP00000033102,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
O16686,YK27_CAEEL,nan,CAEEL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6YAC2,F6YAC2_XENTR,ENSXETP00000034864,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5TP89,Q5TP89_ANOGA,nan,ANOGA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8IZ73,RUSD2_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7RMP5,A7RMP5_NEMVE,nan,NEMVE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q0UDI0,Q0UDI0_PHANO,nan,PHANO,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
C4QA60,nan,nan,nan,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q09709,YA32_SCHPO,nan,SCHPO,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
B0XV01,B0XV01_ASPFC,nan,ASPFC,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
A9UX27,A9UX27_MONBE,nan,MONBE,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q5KIM1,Q5KIM1_CRYNJ,nan,CRYNJ,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
Q59YK3,Q59YK3_CANAL,nan,CANAL,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
Q6C1Z1,Q6C1Z1_YARLI,nan,YARLI,12.0,1,1,,1,1,1,1,1,1,,1,1,1,1
A7EIE5,A7EIE5_SCLS1,nan,SCLS1,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
Q7RW30,nan,nan,nan,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
Q54UF9,Q54UF9_DICDI,nan,DICDI,12.0,1,1,,1,1,1,1,1,,1,1,1,1,1
F7DPP2,F7DPP2_ORNAN,ENSOANP00000017841,ORNAN,11.0,1,1,,,1,1,1,1,,1,1,1,1,1
Q9LU60,PUS7_ARATH,nan,ARATH,11.0,1,1,,1,1,1,1,1,1,,1,1,1,
Q9VKV0,Q9VKV0_DROME,nan,DROME,11.0,,1,,,1,1,1,1,1,1,1,1,1,1
A2EYQ7,A2EYQ7_TRIVA,nan,TRIVA,11.0,1,1,,1,1,1,1,1,1,,1,1,,1
