ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
O17526,O17526_CAEEL,nan,CAEEL,2.0,,,,,,,,,1,,,1,,
Q7PMH5,Q7PMH5_ANOGA,nan,ANOGA,2.0,,,,,,,,,1,,,1,,
Q7QHF5,Q7QHF5_ANOGA,nan,ANOGA,2.0,,,,,,,,,1,,,1,,
Q94521,DNAT_DROME,nan,DROME,2.0,,,,,,,,,1,,,1,,
Q9VIQ1,Q9VIQ1_DROME,nan,DROME,2.0,,,,,,,,,1,,,1,,
Q9W4Y1,Q9W4Y1_DROME,nan,DROME,2.0,,,,,,,,,1,,,1,,
A0NBN4,A0NBN4_ANOGA,nan,ANOGA,1.0,,,,,,,,,1,,,,,
A1ZBI6,A1ZBI6_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
A1ZBI8,A1ZBI8_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
A1ZBI9,A1ZBI9_DROME,nan,DROME,1.0,,,,,,,,,1,,,,,
F6YD74,F6YD74_CIOIN,ENSCINP00000005430,CIOIN,1.0,,,,,,,,,1,,,,,
Q54VC5,Q54VC5_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
Q9VMG0,Q9VMG0_DROME,nan,DROME,1.0,,,,,,,,,1,,,,,
Q9W469,Q9W469_DROME,nan,DROME,1.0,,,,,,,,,1,,,,,
