ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q19229,Q19229_CAEEL,nan,CAEEL,8.0,,,1,1,,,1,,1,1,,1,1,1
F6XI46,F6XI46_CIOIN,ENSCINP00000021911,CIOIN,2.0,,,,1,,,,,,1,,,,
Q28IN5,Q28IN5_XENTR,ENSXETP00000052705,XENTR,2.0,,,1,1,,,,,,,,,,
A7RG22,A7RG22_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
F6Y4I3,F6Y4I3_CIOIN,ENSCINP00000009133,CIOIN,1.0,,,,,,,,,,1,,,,
F6PKM8,F6PKM8_CIOIN,ENSCINP00000020557,CIOIN,1.0,,,,,,,,,1,,,,,
F6UAV6,F6UAV6_CIOIN,ENSCINP00000007115,CIOIN,1.0,,,,,,,,,1,,,,,
F6UX09,F6UX09_ORNAN,ENSOANP00000025575,ORNAN,1.0,,,,,,,,,1,,,,,
F6WKL8,F6WKL8_CIOIN,ENSCINP00000008201,CIOIN,1.0,,,,,,,,,1,,,,,
F6XI39,F6XI39_CIOIN,ENSCINP00000021912,CIOIN,1.0,,,,,,,,,,1,,,,
F6XRC4,F6XRC4_ORNAN,ENSOANP00000028896,ORNAN,1.0,,,,,,,,,1,,,,,
F7AKU5,F7AKU5_CIOIN,ENSCINP00000003802,CIOIN,1.0,,,,,,,,,1,,,,,
F6YNN5,F6YNN5_CIOIN,ENSCINP00000009128,CIOIN,1.0,,,,,,,,,,1,,,,
A7SMQ4,A7SMQ4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCINP00000001372,CIOIN,1.0,,,,,,,,,1,,,,,
nan,nan,ENSCINP00000021394,CIOIN,1.0,,,,,,,,,1,,,,,
nan,nan,ENSCINP00000021914,CIOIN,1.0,,,,,,,,,,1,,,,
nan,nan,ENSCINP00000026890,CIOIN,1.0,,,,,,,,,1,,,,,
nan,nan,ENSCINP00000027928,CIOIN,1.0,,,,,,,,,,1,,,,
nan,nan,ENSCINP00000029214,CIOIN,1.0,,,,,,,,,1,,,,,
F6PJR0,F6PJR0_CIOIN,ENSCINP00000028724,CIOIN,1.0,,,,,,,,,1,,,,,
F1MD73,F1MD73_BOVIN,ENSBTAP00000015890,BOVIN,1.0,,,,,,,,,1,,,,,
F1LZ99,F1LZ99_RAT,ENSRNOP00000053934,RAT,1.0,,,,,,,,,,,,,1,
E1BZG0,E1BZG0_CHICK,nan,CHICK,1.0,,,,,,,,,,,,1,,
C3XV13,C3XV13_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
C3XXV6,C3XXV6_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
C3XYR0,C3XYR0_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C3XYR1,C3XYR1_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C3XYU6,C3XYU6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3Y6C5,C3Y6C5_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
C3YR50,C3YR50_BRAFL,nan,BRAFL,1.0,,,,,,,1,,,,,,,
C3YVU1,C3YVU1_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C3Z0V8,C3Z0V8_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
C3Z5B3,C3Z5B3_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
C3ZEV5,C3ZEV5_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C3ZN94,C3ZN94_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
C3ZS06,C3ZS06_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
C3ZT65,C3ZT65_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
C3ZY40,C3ZY40_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
C3ZZ90,C3ZZ90_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
C4A0N3,C4A0N3_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
nan,nan,ENSRNOP00000034199,RAT,1.0,,,,,,,,,1,,,,,
