ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9N4P3,Q9N4P3_CAEEL,nan,CAEEL,11.0,1,1,,,1,1,1,1,1,1,1,1,,1
A7SFE7,A7SFE7_NEMVE,nan,NEMVE,10.0,1,1,,,1,1,1,1,1,1,1,1,,
F7CM19,F7CM19_XENTR,ENSXETP00000037400,XENTR,8.0,1,,,,,1,1,1,1,,1,1,,1
nan,nan,ENSPTRP00000058750,PANTR,8.0,,1,,,,1,1,1,1,,1,1,,1
Q9Y2K5,R3HD2_HUMAN,nan,HUMAN,8.0,,1,,,,1,1,1,1,,1,1,,1
E2QZT6,E2QZT6_CANFA,ENSCAFP00000000311,CANFA,8.0,,1,,,,1,1,1,1,,1,1,,1
Q80TM6,R3HD2_MOUSE,nan,MOUSE,8.0,,1,,,,1,1,1,1,,1,1,,1
Q7Q6Z2,Q7Q6Z2_ANOGA,nan,ANOGA,7.0,,,,,1,1,1,1,,1,1,1,,
H2UNK0,H2UNK0_TAKRU,ENSTRUP00000038521,TAKRU,7.0,,1,,,,,1,1,1,,1,1,,1
E1BQG5,E1BQG5_CHICK,nan,CHICK,7.0,,1,,,1,,1,1,1,,1,1,,
nan,nan,ENSRNOP00000031193,RAT,7.0,,,,,,1,1,1,1,,1,1,,1
F7DE84,F7DE84_MACMU,ENSMMUP00000028695,MACMU,6.0,,,,,,1,1,1,1,,1,1,,
E1BDH6,E1BDH6_BOVIN,ENSBTAP00000017695,BOVIN,6.0,,1,,,,1,,1,1,,1,1,,
C3Y7Z4,C3Y7Z4_BRAFL,nan,BRAFL,6.0,,,,,1,1,,1,1,,1,1,,
Q8MSX1,ENC_DROME,nan,DROME,6.0,,,,,1,1,1,1,,1,1,,,
nan,nan,ENSMODP00000032703,MONDO,6.0,,,,,1,,1,1,1,,1,1,,
F7F517,F7F517_ORNAN,ENSOANP00000012705,ORNAN,6.0,,1,,,,1,,1,1,,1,1,,
F7EV08,F7EV08_ORNAN,ENSOANP00000002176,ORNAN,6.0,,,,,1,,1,1,1,,1,1,,
E1B7R5,E1B7R5_BOVIN,ENSBTAP00000053180,BOVIN,6.0,,,,,1,,1,1,1,,1,1,,
Q4P7Y5,Q4P7Y5_USTMA,nan,USTMA,5.0,1,,,,1,1,,,1,,1,,,
