ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7S787,A7S787_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A8WFZ2,A8WFZ2_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCINP00000014907,CIOIN,1.0,,,,,,,,,,,,1,,
Q9N4Z8,Q9N4Z8_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q7QH06,Q7QH06_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q7JXF5,Q7JXF5_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q6P2Y9,Q6P2Y9_XENTR,ENSXETP00000021224,XENTR,1.0,,,,,,,,,,,,1,,
Q63850,NUP62_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
P37198,NUP62_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
P17955,NUP62_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
P14907,NSP1_YEAST,nan,YEAST,1.0,,,,,,,,,,,,1,,
H2V866,H2V866_TAKRU,ENSTRUP00000045405,TAKRU,1.0,,,,,,,,,,,,1,,
H2QGW9,H2QGW9_PANTR,ENSPTRP00000019448,PANTR,1.0,,,,,,,,,,,,1,,
F7DFH8,F7DFH8_MACMU,ENSMMUP00000016686,MACMU,1.0,,,,,,,,,,,,1,,
F1P6C5,F1P6C5_CANFA,ENSCAFP00000026531,CANFA,1.0,,,,,,,,,,,,1,,
F1NFA8,F1NFA8_CHICK,ENSGALP00000007743,CHICK,1.0,,,,,,,,,,,,1,,
E2R2P0,E2R2P0_CANFA,ENSCAFP00000005111,CANFA,1.0,,,,,,,,,,,,1,,
C4QAU0,nan,nan,nan,1.0,,,,,,,,,,,,1,,
C3YFD9,C3YFD9_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3Y3D6,C3Y3D6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
B7QHC8,B7QHC8_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
nan,nan,ENSPTRP00000047314,PANTR,1.0,,,,,,,,,,,,1,,
