ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9NVC3,S38A7_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8BWH0,S38A7_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7FA13,F7FA13_ORNAN,ENSOANP00000019173,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2QYZ1,E2QYZ1_CANFA,ENSCAFP00000012318,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7E3U5,S38A7_BOVIN,ENSBTAP00000009438,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QB88,H2QB88_PANTR,ENSPTRP00000013975,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6UDT5,F6UDT5_MACMU,ENSMMUP00000007888,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6JWR2,S38A7_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6T947,F6T947_MONDO,ENSMODP00000017793,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6DEL1,S38A7_DANRE,nan,DANRE,13.0,1,1,1,1,1,1,1,1,,1,1,1,1,1
F1P186,F1P186_CHICK,ENSGALP00000003630,CHICK,13.0,1,1,1,,1,1,1,1,1,1,1,1,1,1
H2VAE0,H2VAE0_TAKRU,ENSTRUP00000046181,TAKRU,12.0,1,1,,1,1,1,1,1,,1,1,1,1,1
A7SUS1,A7SUS1_NEMVE,nan,NEMVE,12.0,,1,,1,1,1,1,1,1,1,1,1,1,1
F6YB94,F6YB94_XENTR,ENSXETP00000034680,XENTR,12.0,1,1,,1,1,1,1,1,,1,1,1,1,1
F6QBH7,F6QBH7_CIOIN,ENSCINP00000018114,CIOIN,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
C3ZIB2,C3ZIB2_BRAFL,nan,BRAFL,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
B7PKX6,B7PKX6_IXOSC,nan,IXOSC,11.0,,1,,,1,1,1,1,1,1,1,1,1,1
A9T9K3,A9T9K3_PHYPA,nan,PHYPA,7.0,,1,,,1,1,1,1,,,1,,1,
B7PKX7,B7PKX7_IXOSC,nan,IXOSC,6.0,,,,,,,,1,1,1,1,1,1,
A7T5A1,A7T5A1_NEMVE,nan,NEMVE,5.0,,,,,,,,1,1,1,,1,,1
E1BXF1,nan,nan,nan,4.0,,,,,,,,,,1,,1,1,1
A8B314,A8B314_GIAIC,nan,GIAIC,3.0,,,1,1,,,,,,,1,,,
Q7SGL7,Q7SGL7_NEUCR,nan,NEUCR,3.0,,,,,,1,1,1,,,,,,
A9RXA4,A9RXA4_PHYPA,nan,PHYPA,2.0,,,,,,,,1,,,1,,,
Q5AH91,Q5AH91_CANAL,nan,CANAL,2.0,,,,,,1,,1,,,,,,
O74327,AVT5_SCHPO,nan,SCHPO,2.0,,,,,,1,,1,,,,,,
A8BEN4,A8BEN4_GIAIC,nan,GIAIC,2.0,,,,,1,,,,,,1,,,
Q9FMC0,Q9FMC0_ARATH,nan,ARATH,1.0,,,,,,,,,,1,,,,
Q9M8L9,Q9M8L9_ARATH,nan,ARATH,1.0,,,,,,,,,,1,,,,
Q28HE5,S38A6_XENTR,ENSXETP00000031652,XENTR,1.0,,,,,,,,,1,,,,,
Q0UZH6,Q0UZH6_PHANO,nan,PHANO,1.0,,,,,,,,,,,,,1,
Q0WQJ3,Q0WQJ3_ARATH,nan,ARATH,1.0,,,,,,,,,,1,,,,
Q4Q0W6,Q4Q0W6_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,,,1,
Q4Q445,Q4Q445_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,,1,,
Q9LYM2,Q9LYM2_ARATH,nan,ARATH,1.0,,,,,,,,,,1,,,,
Q59LG3,Q59LG3_CANAL,nan,CANAL,1.0,,,,,,,,1,,,,,,
Q6C9E5,Q6C9E5_YARLI,nan,YARLI,1.0,,,,,,,1,,,,,,,
Q9LI61,Q9LI61_ARATH,nan,ARATH,1.0,,,,,,,,,,1,,,,
Q4Q509,Q4Q509_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,,1,,
A2DR17,A2DR17_TRIVA,nan,TRIVA,1.0,,1,,,,,,,,,,,,
E9AG09,E9AG09_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,,1,,
A9TRW0,A9TRW0_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
A7F1F1,A7F1F1_SCLS1,nan,SCLS1,1.0,,,,,,,1,,,,,,,
A8B526,A8B526_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,1,,,
A8B567,A8B567_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,,1,,
A8B634,A8B634_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,,,1,
A8BBB3,A8BBB3_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,1,,,
A8BHP8,A8BHP8_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,,1,,
A8BKG3,A8BKG3_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,,1,,
A9RDA9,A9RDA9_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
A9S6C8,A9S6C8_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
A9UXS7,A9UXS7_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
E9AG08,E9AG08_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,,1,,
B0Y482,B0Y482_ASPFC,nan,ASPFC,1.0,,,,,,,1,,,,,,,
B7PAL9,B7PAL9_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
B8BQA7,B8BQA7_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
B8BRA6,B8BRA6_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
B8BUT3,B8BUT3_THAPS,nan,THAPS,1.0,,,,,,,,,,,,,,1
B8C604,B8C604_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
B8C669,B8C669_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
B8CGK7,B8CGK7_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
C1M1T7,nan,nan,nan,1.0,,,,,,,,,,,,1,,
C6KTD0,C6KTD0_PLAF7,nan,PLAF7,1.0,,,,,,,,,,,,,1,
