ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
D4A540,AUGN_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2RPY8,E2RPY8_CANFA,ENSCAFP00000003083,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1MUJ0,F1MUJ0_BOVIN,ENSBTAP00000016771,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1P4Q3,F1P4Q3_CHICK,ENSGALP00000027071,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6Y9L2,F6Y9L2_XENTR,ENSXETP00000046848,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7G2Y3,F7G2Y3_MACMU,ENSMMUP00000002269,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7G527,F7G527_MONDO,ENSMODP00000003142,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QIH8,H2QIH8_PANTR,ENSPTRP00000021098,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9H1Z8,AUGN_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q99LS0,AUGN_MOUSE,nan,MOUSE,12.0,1,1,1,1,1,1,1,1,1,1,1,,,1
P0CAX4,AUGNB_DANRE,nan,DANRE,9.0,,,,,,1,1,1,1,1,1,1,1,1
Q566V9,AUGNA_DANRE,nan,DANRE,9.0,,1,1,1,1,,,1,1,1,1,,,1
H2UC73,H2UC73_TAKRU,ENSTRUP00000034541,TAKRU,5.0,,,,,,1,1,1,,1,,,,1
Q99LS0,AUGN_MOUSE,ENSMUSP00000027217,MOUSE,2.0,,,,,,,,,,,,1,1,
