ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2R0B6,H2R0B6_PANTR,ENSPTRP00000040468,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1MNG8,F1MNG8_BOVIN,ENSBTAP00000001940,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9P2J2,TUTLA_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q05BQ1,TUTLA_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P0C5H6,TUTLA_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6ZDQ4,F6ZDQ4_XENTR,ENSXETP00000017774,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6U9U7,F6U9U7_MONDO,ENSMODP00000012555,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6RKG8,F6RKG8_MACMU,ENSMMUP00000006253,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1PHY9,F1PHY9_CANFA,ENSCAFP00000017426,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSGALP00000035403,CHICK,11.0,1,1,,,1,1,1,1,,1,1,1,1,1
H2SEQ0,H2SEQ0_TAKRU,ENSTRUP00000010881,TAKRU,9.0,,1,,,1,1,,1,,1,1,1,1,1
Q967D7,TUTL_DROME,nan,DROME,7.0,,1,,,,,,1,1,1,,1,1,1
F6X9K9,F6X9K9_CIOIN,ENSCINP00000010210,CIOIN,6.0,,1,,,,,,1,1,,,1,1,1
B7PXW0,B7PXW0_IXOSC,nan,IXOSC,6.0,,,,,,,1,1,,1,,1,1,1
Q7Q3K8,Q7Q3K8_ANOGA,nan,ANOGA,6.0,,,,,,,,1,1,1,,1,1,1
Q7PWJ1,Q7PWJ1_ANOGA,nan,ANOGA,5.0,,,,,,,1,,,,1,1,1,1
B0CLZ6,B0CLZ6_DANRE,nan,DANRE,5.0,,,,,1,,1,,,1,1,,,1
H2V6P1,H2V6P1_TAKRU,ENSTRUP00000044877,TAKRU,3.0,,,,,,,,,,1,,1,,1
C3Z2E6,C3Z2E6_BRAFL,nan,BRAFL,3.0,,,,,,,,1,1,,,,,1
F6U882,F6U882_ORNAN,ENSOANP00000004543,ORNAN,3.0,,,,,,,1,,,,,1,,1
Q9U4G1,Q9U4G1_DROME,nan,DROME,3.0,,,,,,,,,,,1,1,,1
H2RN28,H2RN28_TAKRU,ENSTRUP00000001541,TAKRU,2.0,,,,,,,,,,,,1,,1
F1QXA6,F1QXA6_DANRE,ENSDARP00000101911,DANRE,2.0,,,,,,,,,,,,1,1,
A7SM31,A7SM31_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
Q22040,Q22040_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q8WR45,nan,nan,nan,1.0,,,,,,,,,,,1,,,
Q7QHA0,Q7QHA0_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q7QEI6,Q7QEI6_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q7QCU0,Q7QCU0_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q9VHQ8,Q9VHQ8_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q9VN14,CONT_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q7PKQ6,Q7PKQ6_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q58EE5,Q58EE5_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
O61674,O61674_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
A7SRN0,A7SRN0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
P34082,FAS2_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
A7SWA9,A7SWA9_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
C3ZSK9,C3ZSK9_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
O44928,nan,nan,nan,1.0,,,,,,,,,,1,,,,
A7RUP1,A7RUP1_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,,1
A7T0B4,A7T0B4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,,1
F6YLD1,F6YLD1_MONDO,ENSMODP00000006614,MONDO,1.0,,,,,,,,,1,,,,,
F6XUJ5,F6XUJ5_ORNAN,ENSOANP00000009513,ORNAN,1.0,,,,,,,,,1,,,,,
A7UQ11,A7UQ11_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
A7US41,A7US41_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
F1NSC2,F1NSC2_CHICK,ENSGALP00000002203,CHICK,1.0,,,,,,,,,1,,,,,
C4PY39,nan,nan,nan,1.0,,,,,,,,,,,,,,1
A1Z920,A1Z920_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
