ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
nan,nan,ENSMODP00000010613,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7C4K8,F7C4K8_MACMU,ENSMMUP00000006727,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1BZW8,E1BZW8_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q567H1,Q567H1_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1PV51,F1PV51_CANFA,ENSCAFP00000006434,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6RJN8,F6RJN8_BOVIN,ENSBTAP00000008576,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6V507,F6V507_ORNAN,ENSOANP00000009597,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5T2R2,DPS1_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q33DR2,DPS1_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6ZVR2,F6ZVR2_CIOIN,ENSCINP00000002476,CIOIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2Q1R4,H2Q1R4_PANTR,ENSPTRP00000004020,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2TP86,H2TP86_TAKRU,ENSTRUP00000026492,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7RHN1,A7RHN1_NEMVE,nan,NEMVE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9V9Z3,Q9V9Z3_DROME,nan,DROME,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7S565,COQ1_NEUCR,nan,NEUCR,13.0,1,1,1,1,1,1,1,1,1,1,1,1,,1
F6XXT7,F6XXT7_XENTR,ENSXETP00000040750,XENTR,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
B0XZ27,B0XZ27_ASPFC,nan,ASPFC,13.0,1,1,1,1,1,1,1,1,1,1,1,1,,1
P91093,P91093_CAEEL,nan,CAEEL,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q54VJ9,DPS1_DICDI,nan,DICDI,13.0,1,1,1,1,1,1,1,1,1,1,1,,1,1
C4QDJ8,nan,nan,nan,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q0UYW9,Q0UYW9_PHANO,nan,PHANO,12.0,1,1,,1,1,1,1,1,1,1,1,1,,1
O43091,DPS1_SCHPO,nan,SCHPO,12.0,1,1,1,1,1,1,1,1,1,1,1,,,1
Q4QF82,Q4QF82_LEIMA,nan,LEIMA,12.0,1,1,,1,1,1,1,1,1,,1,1,1,1
Q5TV64,Q5TV64_ANOGA,nan,ANOGA,12.0,,1,1,1,1,1,,1,1,1,1,1,1,1
Q4PEH3,Q4PEH3_USTMA,nan,USTMA,11.0,1,1,,,1,1,1,1,1,1,1,1,,1
C3Z9L4,C3Z9L4_BRAFL,nan,BRAFL,11.0,,,1,,1,1,1,1,1,1,1,1,1,1
O96130,O96130_PLAF7,nan,PLAF7,11.0,1,1,,,1,1,1,1,1,,1,1,1,1
Q5HZ00,SPS3_ARATH,nan,ARATH,11.0,,,1,,1,1,1,1,1,1,1,1,1,1
Q5KBQ7,Q5KBQ7_CRYNJ,nan,CRYNJ,11.0,1,1,,,1,1,1,1,1,1,1,1,,1
Q6CBH3,COQ1_YARLI,nan,YARLI,11.0,1,1,,1,1,1,1,1,1,1,1,,,1
B8BVJ9,B8BVJ9_THAPS,nan,THAPS,11.0,,1,1,,1,1,1,1,1,,1,1,1,1
Q5AAL1,Q5AAL1_CANAL,nan,CANAL,10.0,1,1,,,1,1,1,1,1,1,1,,,1
A9RGN2,A9RGN2_PHYPA,nan,PHYPA,10.0,,,,1,1,1,1,1,1,1,1,,1,1
P18900,COQ1_YEAST,nan,YEAST,10.0,1,1,,,1,1,1,1,1,1,1,,,1
A7F0H0,A7F0H0_SCLS1,nan,SCLS1,9.0,1,1,,,,1,1,1,1,1,,1,,1
Q9RVU0,Q9RVU0_DEIRA,nan,DEIRA,9.0,1,1,,1,,,1,1,,,1,1,1,1
Q7PYQ9,Q7PYQ9_ANOGA,nan,ANOGA,8.0,,,,,,,1,1,1,1,1,1,1,1
Q9F2X8,Q9F2X8_STRCO,nan,STRCO,8.0,1,1,,1,,,1,1,,,1,,1,1
P31114,HEPS2_BACSU,nan,BACSU,8.0,1,1,,,,,1,1,,,1,1,1,1
C3Z9L2,C3Z9L2_BRAFL,nan,BRAFL,8.0,,,,,1,,,1,1,1,1,1,1,1
Q7UP46,Q7UP46_RHOBA,nan,RHOBA,7.0,1,1,,1,,,,1,,,1,,1,1
Q8RWM1,nan,nan,nan,7.0,,,,,1,,,1,1,1,1,,1,1
O67044,O67044_AQUAE,nan,AQUAE,6.0,1,,,1,,,1,1,,,1,,,1
Q8A2P4,Q8A2P4_BACTN,nan,BACTN,6.0,1,1,,,,,1,1,,,1,,,1
A9WBW8,A9WBW8_CHLAA,nan,CHLAA,6.0,,,,1,,,,1,,,1,1,1,1
A9S8A6,A9S8A6_PHYPA,nan,PHYPA,6.0,,,,,,,,1,1,1,1,,1,1
Q7NML2,Q7NML2_GLOVI,nan,GLOVI,6.0,1,1,,1,,,1,1,,,1,,,
B7QDQ9,B7QDQ9_IXOSC,nan,IXOSC,6.0,,,,,,1,1,1,1,1,,,,1
B8C3E2,B8C3E2_THAPS,nan,THAPS,6.0,,,,,,,,1,1,,1,1,1,1
Q8RIN0,Q8RIN0_FUSNN,nan,FUSNN,6.0,1,,,,,,,1,,,1,1,1,1
P0AD57,ISPB_ECOLI,nan,ECOLI,6.0,1,1,,1,,,1,1,,,1,,,
P72580,PREA_SYNY3,nan,SYNY3,6.0,1,1,,1,,,1,1,,,1,,,
O06428,O06428_MYCTU,nan,MYCTU,6.0,,,,,,,1,1,,,1,1,1,1
O05572,O05572_MYCTU,nan,MYCTU,5.0,,,,,,,,1,,,1,1,1,1
A6VBV6,A6VBV6_PSEA7,nan,PSEA7,5.0,1,1,,1,,,,1,,,1,,,
Q8TIJ9,Q8TIJ9_METAC,nan,METAC,5.0,,,,,,,1,1,,1,,1,1,
Q8F1C0,Q8F1C0_LEPIN,nan,LEPIN,5.0,1,,,,,,1,1,,,,1,,1
B5YG99,B5YG99_THEYD,nan,THEYD,5.0,1,1,,1,,,,1,,,1,,,
Q89S74,Q89S74_BRADU,nan,BRADU,5.0,1,1,,1,,,,1,,,1,,,
Q74DJ9,Q74DJ9_GEOSL,nan,GEOSL,5.0,1,1,,1,,,,1,,,1,,,
P95999,GGPS_SULSO,nan,SULSO,4.0,1,,,1,,,1,1,,,,,,
Q8TT33,Q8TT33_METAC,nan,METAC,4.0,1,1,,1,,,,1,,,,,,
A9WGJ8,A9WGJ8_CHLAA,nan,CHLAA,4.0,,,,,,,,,,,1,1,1,1
B8E0A8,B8E0A8_DICTD,nan,DICTD,4.0,1,,,1,,,1,1,,,,,,
Q76CZ2,Q76CZ2_THEKO,nan,THEKO,4.0,1,1,,,,,1,1,,,,,,
Q9X1M1,Q9X1M1_THEMA,nan,THEMA,3.0,,,,,,,,1,,,1,,,1
P08524,FPPS_YEAST,nan,YEAST,2.0,,,,,,,,,,,,1,1,
O13851,DLP1_SCHPO,nan,SCHPO,2.0,,,,,,,,,,,1,,,1
B1L6D6,B1L6D6_KORCO,nan,KORCO,2.0,,,,,,,1,,,1,,,,
Q5U2R1,DLP1_RAT,nan,RAT,2.0,1,1,,,,,,,,,,,,
B0R4Z4,B0R4Z4_HALS3,nan,HALS3,2.0,,,,1,,,,1,,,,,,
B0R769,B0R769_HALS3,nan,HALS3,2.0,,,,,,,1,1,,,,,,
B5YHY7,B5YHY7_THEYD,nan,THEYD,2.0,,,,,,,1,1,,,,,,
Q58270,IDSA_METJA,nan,METJA,2.0,1,,,,,,,1,,,,,,
Q9WY08,Q9WY08_THEMA,nan,THEMA,1.0,,,,,,,1,,,,,,,
Q97W92,HEXPP_SULSO,nan,SULSO,1.0,,,,,,,,,,,,,,1
A6V059,A6V059_PSEA7,nan,PSEA7,1.0,,,,,,,1,,,,,,,
Q74CA9,Q74CA9_GEOSL,nan,GEOSL,1.0,,,,,,,1,,,,,,,
Q8RE07,Q8RE07_FUSNN,nan,FUSNN,1.0,,,,,,,1,,,,,,,
Q89VU9,Q89VU9_BRADU,nan,BRADU,1.0,,,,,,,1,,,,,,,
Q7UWB6,Q7UWB6_RHOBA,nan,RHOBA,1.0,,,,,,,1,,,,,,,
A9WDA5,A9WDA5_CHLAA,nan,CHLAA,1.0,,,,,,,1,,,,,,,
B7P661,B7P661_IXOSC,nan,IXOSC,1.0,1,,,,,,,,,,,,,
Q3KL67,Q3KL67_CHLTA,nan,CHLTA,1.0,1,,,,,,,,,,,,,
P33690,COMQ_BACSU,nan,BACSU,1.0,,,,,,,,,,,1,,,
A2EN50,A2EN50_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,1,
A2E130,A2E130_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,1,
