ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
nan,nan,ENSCAFP00000032686,CANFA,10.0,1,,1,1,,1,1,1,1,1,,1,,1
F7AKW1,F7AKW1_ORNAN,ENSOANP00000015600,ORNAN,6.0,,,,,,1,1,1,,1,,1,,1
F7BRA9,F7BRA9_ORNAN,ENSOANP00000025277,ORNAN,4.0,1,,1,1,,,,,1,,,,,
Q9UIG8,SO3A1_HUMAN,nan,HUMAN,3.0,,,,,,,,,,1,,1,,1
Q8R3L5,SO3A1_MOUSE,nan,MOUSE,3.0,,,,,,,,,,1,,1,,1
Q8HYW2,SO3A1_BOVIN,ENSBTAP00000002169,BOVIN,3.0,,,,,,,,,,1,,1,,1
H2QA41,H2QA41_PANTR,ENSPTRP00000012771,PANTR,3.0,,,,,,,,,,1,,1,,1
F7GM11,F7GM11_MACMU,ENSMMUP00000002326,MACMU,3.0,,,,,,,,,,1,,1,,1
F7FA76,F7FA76_MONDO,ENSMODP00000016511,MONDO,3.0,,,,,,,,,,1,,1,,1
F1NSG0,F1NSG0_CHICK,ENSGALP00000033333,CHICK,3.0,,,,,,,,,,1,,1,,1
C4QFR4,nan,nan,nan,2.0,,,,,,,,,,1,,1,,
F6Q368,F6Q368_XENTR,ENSXETP00000016624,XENTR,2.0,,,,,,,,,,,,1,,1
D3ZTH7,D3ZTH7_RAT,nan,RAT,2.0,,,,,,,1,,,,,,,1
A7T5W1,A7T5W1_NEMVE,nan,NEMVE,2.0,,,,,,,,,,1,,1,,
C3Y4T6,C3Y4T6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
A7SNT1,A7SNT1_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SF72,A7SF72_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q99N02,SO3A1_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
A7SGE8,A7SGE8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SHZ4,A7SHZ4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q1LV73,Q1LV73_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
H2T322,H2T322_TAKRU,ENSTRUP00000019060,TAKRU,1.0,,,,,,,,,,,,,,1
A7SNT0,A7SNT0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SQZ6,A7SQZ6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
C3Z0P7,C3Z0P7_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
A7SX54,A7SX54_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SXF8,A7SXF8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
F6ZVK8,F6ZVK8_CIOIN,ENSCINP00000026426,CIOIN,1.0,,,,,,,,,1,,,,,
A7T765,A7T765_NEMVE,nan,NEMVE,1.0,,,,1,,,,,,,,,,
E7F5H8,E7F5H8_DANRE,ENSDARP00000077535,DANRE,1.0,,,,,,,,,,,,,,1
A7SF71,A7SF71_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
B7QN84,B7QN84_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
A7RMR8,A7RMR8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
