ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2T6Z7,H2T6Z7_TAKRU,ENSTRUP00000020436,TAKRU,2.0,,,,,,,,,,,,1,1,
Q7XJL2,GLR31_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
P34299,GLR1_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
P48058,GRIA4_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,1,
Q03445,GLR1_DROME,nan,DROME,2.0,,,,,,,,,,,,1,1,
Q10914,GLR2_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
Q71E58,Q71E58_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
Q71E59,Q71E59_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
Q7PNT0,Q7PNT0_ANOGA,nan,ANOGA,2.0,,,,,,,,,,,,1,1,
Q84W41,GLR36_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
H2TWL9,H2TWL9_TAKRU,ENSTRUP00000029078,TAKRU,2.0,,,,,,,,,,,,1,1,
Q8GXJ4,GLR34_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q93YT1,GLR32_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q9C8E7,GLR33_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q9SDQ4,GLR37_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q9SW97,GLR35_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q9TVG7,Q9TVG7_DROME,nan,DROME,2.0,,,,,,,,,,,,1,1,
Q9Z2W8,GRIA4_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
P19493,GRIA4_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSCINP00000017573,CIOIN,2.0,,,,,,,,,,,,1,1,
B7PB30,B7PB30_IXOSC,nan,IXOSC,2.0,,,,,,,,,,,,1,1,
F7GCX9,F7GCX9_MACMU,ENSMMUP00000014398,MACMU,2.0,,,,,,,,,,,,1,1,
F6YN64,F6YN64_MONDO,ENSMODP00000018433,MONDO,2.0,,,,,,,,,,,,1,1,
F6RKU3,F6RKU3_ORNAN,ENSOANP00000016588,ORNAN,2.0,,,,,,,,,,,,1,1,
F1P0E2,F1P0E2_CHICK,ENSGALP00000027694,CHICK,2.0,,,,,,,,,,,,1,1,
E2RIZ6,E2RIZ6_CANFA,ENSCAFP00000021874,CANFA,2.0,,,,,,,,,,,,1,1,
C3YS81,C3YS81_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,1,
H2Q4N9,H2Q4N9_PANTR,ENSPTRP00000007287,PANTR,2.0,,,,,,,,,,,,1,1,
B7PB29,B7PB29_IXOSC,nan,IXOSC,2.0,,,,,,,,,,,,1,1,
B7P6R4,B7P6R4_IXOSC,nan,IXOSC,2.0,,,,,,,,,,,,1,1,
A7TA79,A7TA79_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7S4J5,A7S4J5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
A7SUK5,A7SUK5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7T4K3,A7T4K3_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7RPU4,A7RPU4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A9S8F0,A9S8F0_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,,,1,
A9TKS7,A9TKS7_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,,,1,
C3YS80,C3YS80_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
F6T3C9,F6T3C9_XENTR,ENSXETP00000004123,XENTR,1.0,,,,,,,,,,,,1,,
A0NEL1,A0NEL1_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
