ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q00649,HSPB1_CHICK,nan,CHICK,8.0,,,1,,,1,1,1,1,1,,,1,1
F6TYT7,F6TYT7_XENTR,ENSXETP00000019657,XENTR,7.0,,,1,,,1,1,1,1,,,,1,1
P42930,HSPB1_RAT,nan,RAT,7.0,,,1,,,1,1,1,1,,,,1,1
Q645R1,Q645R1_DANRE,nan,DANRE,7.0,,,1,,,1,1,1,1,,,,1,1
F6TXX4,F6TXX4_MONDO,ENSMODP00000017088,MONDO,7.0,,,1,,,1,1,1,1,,,,1,1
F1PYE3,F1PYE3_CANFA,ENSCAFP00000019945,CANFA,7.0,,,1,,,1,1,1,1,,,,1,1
E1BEL7,E1BEL7_BOVIN,ENSBTAP00000015883,BOVIN,7.0,,,1,,,1,1,1,1,,,,1,1
H2QUT1,H2QUT1_PANTR,ENSPTRP00000033044,PANTR,7.0,,,1,,,1,1,1,1,,,,1,1
H2SE15,H2SE15_TAKRU,ENSTRUP00000010646,TAKRU,7.0,,,1,,,1,1,1,1,,,,1,1
P04792,HSPB1_HUMAN,nan,HUMAN,7.0,,,1,,,1,1,1,1,,,,1,1
P14602,HSPB1_MOUSE,nan,MOUSE,7.0,,,1,,,1,1,1,1,,,,1,1
F6XTF7,F6XTF7_MACMU,ENSMMUP00000005514,MACMU,7.0,,,1,,,1,1,1,1,,,,1,1
F6RRK4,F6RRK4_CIOIN,ENSCINP00000001149,CIOIN,5.0,,,,,,1,,1,1,,,,1,1
F7FCZ8,F7FCZ8_MACMU,ENSMMUP00000011305,MACMU,4.0,,,,,,,,1,1,,,,1,1
Q20660,Q20660_CAEEL,nan,CAEEL,3.0,,,,,,,1,1,,1,,,,
A7T2X7,A7T2X7_NEMVE,nan,NEMVE,2.0,,,,,,,,,,1,,,1,
P34696,HSP11_CAEEL,nan,CAEEL,1.0,,,,,,,,1,,,,,,
P70917,HSPA_BRADU,nan,BRADU,1.0,,,,,,,,,,,,,1,
P82147,L2EFL_DROME,nan,DROME,1.0,,,,,,,1,,,,,,,
P06582,HSP12_CAEEL,nan,CAEEL,1.0,,,,,,,,1,,,,,,
P06581,HSP16_CAEEL,nan,CAEEL,1.0,,,,,,,,1,,,,,,
Q19228,Q19228_CAEEL,nan,CAEEL,1.0,,,,,,,,1,,,,,,
P02513,HSP17_CAEEL,nan,CAEEL,1.0,,,,,,,,1,,,,,,
H2UPN7,H2UPN7_TAKRU,ENSTRUP00000038908,TAKRU,1.0,,,,,,,,,,1,,,,
Q20164,Q20164_CAEEL,nan,CAEEL,1.0,,,,,,,,1,,,,,,
Q20165,nan,nan,nan,1.0,,,,,,,,1,,,,,,
Q20363,SIP1_CAEEL,nan,CAEEL,1.0,,,,,,,,1,,,,,,
P34328,HSP10_CAEEL,nan,CAEEL,1.0,,,,,,,,1,,,,,,
A0FLR8,nan,nan,nan,1.0,,,,,,,,1,,,,,,
A6N6X0,A6N6X0_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
C4QT38,nan,nan,nan,1.0,,,,,,,,,1,,,,,
A7RLT4,A7RLT4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
A7SQF5,A7SQF5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7SRS2,A7SRS2_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
A9SJI0,A9SJI0_PHYPA,nan,PHYPA,1.0,,,,,,1,,,,,,,,
A9VAH3,A9VAH3_MONBE,nan,MONBE,1.0,,,,,,1,,,,,,,,
B7Q2C4,B7Q2C4_IXOSC,nan,IXOSC,1.0,,,,,,,1,,,,,,,
B7QH66,B7QH66_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
C1M216,nan,nan,nan,1.0,,,,,,,,,1,,,,,
C3XVI4,C3XVI4_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
C4QAM0,nan,nan,nan,1.0,,,,,,,,,1,,,,,
C4QAM2,nan,nan,nan,1.0,,,,,,,,,1,,,,,
C4QAM4,nan,nan,nan,1.0,,,,,,,,,1,,,,,
C4QAM7,nan,nan,nan,1.0,,,,,,,,,1,,,,,
C4QAM8,nan,nan,nan,1.0,,,,,,,,,1,,,,,
C4QAM9,nan,nan,nan,1.0,,,,,,,,,1,,,,,
C4QAN0,nan,nan,nan,1.0,,,,,,,,,1,,,,,
C4QAN1,nan,nan,nan,1.0,,,,,,,,,1,,,,,
C4QQR1,nan,nan,nan,1.0,,,,,,,,,1,,,,,
C4QRN0,nan,nan,nan,1.0,,,,,,,,,1,,,,,
Q9LNW0,HS178_ARATH,nan,ARATH,1.0,,,,,,1,,,,,,,,
