ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q5F3M4,Q5F3M4_CHICK,nan,CHICK,8.0,,,,,,1,1,1,1,1,,1,1,1
E1BC65,E1BC65_BOVIN,ENSBTAP00000008300,BOVIN,6.0,,,,,,,,1,1,1,,1,1,1
Q3ULB0,Q3ULB0_MOUSE,nan,MOUSE,6.0,,,,,,,,1,1,1,,1,1,1
P78332,RBM6_HUMAN,nan,HUMAN,6.0,,,,,,,,1,1,1,,1,1,1
H2QMN0,H2QMN0_PANTR,ENSPTRP00000025792,PANTR,6.0,,,,,,,,1,1,1,,1,1,1
F7EIT0,F7EIT0_MONDO,ENSMODP00000015423,MONDO,6.0,,,,,,,,1,1,1,,1,1,1
F7E7A7,F7E7A7_MACMU,ENSMMUP00000004658,MACMU,6.0,,,,,,,,1,1,1,,1,1,1
E2R8Z4,E2R8Z4_CANFA,ENSCAFP00000016079,CANFA,6.0,,,,,,,,1,1,1,,1,1,1
D4ACW0,D4ACW0_RAT,nan,RAT,6.0,,,,,,,,1,1,1,,1,1,1
H2TSP3,H2TSP3_TAKRU,ENSTRUP00000027701,TAKRU,5.0,,,,,,,,1,1,,,1,1,1
A2G2N2,A2G2N2_TRIVA,nan,TRIVA,2.0,,,,,,1,1,,,,,,,
Q8IPW6,Q8IPW6_DROME,nan,DROME,2.0,,,,,,,,,,,,1,1,
F6WGT7,F6WGT7_ORNAN,ENSOANP00000010463,ORNAN,2.0,,,,,,,,1,,1,,,,
A7RK53,A7RK53_NEMVE,nan,NEMVE,2.0,,,,,,,,,1,,,,1,
C3ZXW0,C3ZXW0_BRAFL,nan,BRAFL,1.0,,,,,,,1,,,,,,,
A7EVF3,A7EVF3_SCLS1,nan,SCLS1,1.0,,,,,,,,,1,,,,,
F6YM55,F6YM55_XENTR,ENSXETP00000033830,XENTR,1.0,,,,,,,1,,,,,,,
C3YUJ6,C3YUJ6_BRAFL,nan,BRAFL,1.0,,,,,,1,,,,,,,,
B8CA61,B8CA61_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
B0XYP5,B0XYP5_ASPFC,nan,ASPFC,1.0,,,,,,,,,1,,,,,
A9URA0,A9URA0_MONBE,nan,MONBE,1.0,,,,,,,,,1,,,,,
A9U175,A9U175_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
P87143,YDMD_SCHPO,nan,SCHPO,1.0,,,,,,,,,1,,,,,
A9S0V2,A9S0V2_PHYPA,nan,PHYPA,1.0,,,,,,,,,1,,,,,
A9RWI0,A9RWI0_PHYPA,nan,PHYPA,1.0,,,,,,,,,1,,,,,
Q5KCU3,Q5KCU3_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,1,,,,,
Q7SEW3,Q7SEW3_NEUCR,nan,NEUCR,1.0,,,,,,,,,1,,,,,
Q8VYR8,Q8VYR8_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
