ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A9WG43,A9WG43_CHLAA,nan,CHLAA,11.0,1,1,1,1,,,1,1,1,1,,1,1,1
B5YIV9,B5YIV9_THEYD,nan,THEYD,11.0,1,1,1,1,,,1,1,1,1,,1,1,1
O66996,O66996_AQUAE,nan,AQUAE,11.0,1,1,1,1,,,1,1,1,1,,1,1,1
Q8TN84,Q8TN84_METAC,nan,METAC,11.0,1,1,1,1,,,1,1,1,1,,1,1,1
B8E0G3,B8E0G3_DICTD,nan,DICTD,10.0,1,1,,1,,,1,1,1,1,,1,1,1
Q9X018,Q9X018_THEMA,nan,THEMA,9.0,1,1,,1,,,1,1,1,1,,,1,1
Q5JFF4,Q5JFF4_THEKO,nan,THEKO,8.0,1,1,1,1,,,1,1,1,1,,,,
Q58890,Y1495_METJA,nan,METJA,7.0,,,,,,,1,1,1,1,,1,1,1
B1L4S7,B1L4S7_KORCO,nan,KORCO,6.0,1,,,,,,1,,1,1,,1,1,
Q7NIB5,Q7NIB5_GLOVI,nan,GLOVI,6.0,1,,,,,,1,1,1,1,,,,1
Q57601,Y137_METJA,nan,METJA,4.0,,,1,,,,,1,1,1,,,,
Q749H0,Q749H0_GEOSL,nan,GEOSL,3.0,1,,,,,,1,,,1,,,,
