ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6R3I1,F6R3I1_CIOIN,ENSCINP00000018027,CIOIN,10.0,1,1,,1,,1,1,1,1,1,,1,,1
H2TT16,H2TT16_TAKRU,ENSTRUP00000027824,TAKRU,4.0,1,1,,,,,,1,,,,1,,
F7ALS2,F7ALS2_MACMU,ENSMMUP00000018612,MACMU,3.0,,,,,,,,1,,,,1,,1
H2TD57,H2TD57_TAKRU,ENSTRUP00000022599,TAKRU,3.0,,,,,,,,1,,,,1,,1
H2SHX4,H2SHX4_TAKRU,ENSTRUP00000012006,TAKRU,3.0,,,,,,,,1,,,,1,,1
B7QNS8,B7QNS8_IXOSC,nan,IXOSC,3.0,,,,,,1,,1,,,,1,,
nan,nan,ENSBTAP00000046263,BOVIN,3.0,,,,,,,1,,,1,,1,,
F1Q1W0,F1Q1W0_CANFA,ENSCAFP00000004623,CANFA,3.0,,1,,,,1,,1,,,,,,
F1P7S2,F1P7S2_CANFA,ENSCAFP00000019828,CANFA,3.0,,,,,,,,1,,,,1,,1
E7FDY1,E7FDY1_DANRE,ENSDARP00000083644,DANRE,2.0,,,,,,,,,,,,1,,1
F6VU81,F6VU81_MACMU,ENSMMUP00000021920,MACMU,2.0,,,,,,,,1,,,,1,,
Q4G091,MICLK_RAT,nan,RAT,2.0,,,,1,,,,,1,,,,,
F6QLK4,F6QLK4_XENTR,ENSXETP00000028548,XENTR,2.0,,,,,,,,,,,,1,,1
Q6ZW33,MICLK_HUMAN,nan,HUMAN,2.0,,,,1,,,,,1,,,,,
F1MER5,F1MER5_BOVIN,ENSBTAP00000010779,BOVIN,2.0,,,,1,,,,,1,,,,,
E7FDY6,E7FDY6_DANRE,ENSDARP00000083638,DANRE,2.0,,,,,,,,,,,,1,,1
Q8N3D4,EH1L1_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,,1
H2Q372,H2Q372_PANTR,ENSPTRP00000005887,PANTR,2.0,,,,1,,,,,1,,,,,
H2Q436,H2Q436_PANTR,ENSPTRP00000006698,PANTR,2.0,,,,,,,,,,,,1,,1
E1BL45,E1BL45_BOVIN,ENSBTAP00000008891,BOVIN,2.0,,,,,,,,,,,,1,,1
D4A539,D4A539_RAT,nan,RAT,2.0,,,,,,,,,,,,1,,1
C4QH28,nan,nan,nan,2.0,,,,,,,,,,1,,1,,
Q99MS7,EH1L1_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,,1
Q9D5U9,MICLK_MOUSE,nan,MOUSE,2.0,,,,1,,,,,1,,,,,
nan,nan,ENSCAFP00000011665,CANFA,2.0,,,,1,,,,,1,,,,,
nan,nan,ENSMODP00000032952,MONDO,2.0,,,,,,,,,,,,1,,1
Q55D98,Q55D98_DICDI,nan,DICDI,1.0,,,,1,,,,,,,,,,
Q18749,nan,nan,nan,1.0,,,,,,,,,,,,1,,
Q54V78,Q54V78_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
A4UZL3,A4UZL3_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q76C07,Q76C07_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
Q5PQM3,Q5PQM3_RAT,nan,RAT,1.0,,,,,,,,,,,,,,1
Q69ZW3,EHBP1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q7PKB6,Q7PKB6_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q8NDI1,EHBP1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSGALP00000039119,CHICK,1.0,,,,,,,,,1,,,,,
nan,nan,ENSOANP00000016484,ORNAN,1.0,,,,,,,,,1,,,,,
nan,nan,ENSPTRP00000024186,PANTR,1.0,,,,,,,,,1,,,,,
Q12218,TIR4_YEAST,nan,YEAST,1.0,,,,1,,,,,,,,,,
F7DKC3,F7DKC3_ORNAN,ENSOANP00000019659,ORNAN,1.0,,,,,,,,,,,,1,,
H2TSV4,H2TSV4_TAKRU,ENSTRUP00000027762,TAKRU,1.0,,,,,,,,,,,,1,,
H2TRJ7,H2TRJ7_TAKRU,ENSTRUP00000027304,TAKRU,1.0,,,,,,,,,,1,,,,
A7SHE6,A7SHE6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7T8Q0,A7T8Q0_NEMVE,nan,NEMVE,1.0,,,,,,1,,,,,,,,
A9UVZ4,A9UVZ4_MONBE,nan,MONBE,1.0,,,,,,,,,1,,,,,
B7PCL4,B7PCL4_IXOSC,nan,IXOSC,1.0,1,,,,,,,,,,,,,
B7QHI4,B7QHI4_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
C3XZB6,C3XZB6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3Z445,C3Z445_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C4QH27,nan,nan,nan,1.0,,,,,,,,,,1,,,,
E1BY88,E1BY88_CHICK,nan,CHICK,1.0,,,,,,,,,,,,1,,
E5F2M7,E5F2M7_DANRE,nan,DANRE,1.0,,,,1,,,,,,,,,,
E7EYZ7,E7EYZ7_DANRE,ENSDARP00000104554,DANRE,1.0,,,,,,,,,,1,,,,
F1LVX2,F1LVX2_RAT,ENSRNOP00000012131,RAT,1.0,,,,,,,,,,,,1,,
F6PMH4,F6PMH4_ORNAN,ENSOANP00000025023,ORNAN,1.0,,1,,,,,,,,,,,,
F6QNC9,F6QNC9_XENTR,ENSXETP00000028544,XENTR,1.0,,,,,,,,,,,,1,,
