ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6SHI2,F6SHI2_CIOIN,ENSCINP00000024149,CIOIN,5.0,,,,,,1,1,1,,,,1,,1
F7F8A9,F7F8A9_MACMU,ENSMMUP00000023315,MACMU,3.0,,,,,,1,1,1,,,,,,
H2Q1Y6,H2Q1Y6_PANTR,ENSPTRP00000004380,PANTR,3.0,,,,,,1,1,1,,,,,,
Q15652,JHD2C_HUMAN,nan,HUMAN,3.0,,,,,,1,1,1,,,,,,
nan,nan,ENSDARP00000098170,CRYNJ,3.0,,,,,,1,1,1,,,,,,
F1N9P6,F1N9P6_CHICK,ENSGALP00000004639,CHICK,2.0,,,,,,1,1,,,,,,,
C0SUU8,C0SUU8_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
C0SV12,C0SV12_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
C3ZTM3,C3ZTM3_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
C3ZZ29,C3ZZ29_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
C4QGS9,nan,nan,nan,1.0,,,,,,,,,,,,1,,
E7F3X7,E7F3X7_DANRE,ENSDARP00000084278,DANRE,1.0,,,,,,,,1,,,,,,
F6XFN4,F6XFN4_MONDO,ENSMODP00000021455,MONDO,1.0,,,,,,1,,,,,,,,
H2RM69,H2RM69_TAKRU,ENSTRUP00000001232,TAKRU,1.0,,,,,,,1,,,,,,,
Q69ZK6,JHD2C_MOUSE,nan,MOUSE,1.0,,,,,,1,,,,,,,,
Q8VYB9,Q8VYB9_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
