ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6X873,F6X873_CIOIN,ENSCINP00000003398,CIOIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7CCG5,F7CCG5_XENTR,ENSXETP00000026833,XENTR,10.0,,1,1,1,,1,1,1,1,,,1,1,1
C3Y5J8,C3Y5J8_BRAFL,nan,BRAFL,10.0,1,1,1,1,,1,,1,1,,,1,1,1
H2TE89,H2TE89_TAKRU,ENSTRUP00000022981,TAKRU,8.0,,,1,,,1,,1,1,1,,1,1,1
Q8IWY4,SCUB1_HUMAN,nan,HUMAN,8.0,,,1,,,1,1,1,1,,,1,1,1
F1NZ94,F1NZ94_CHICK,ENSGALP00000022891,CHICK,8.0,,,1,,,1,1,1,1,,,1,1,1
nan,nan,ENSDARP00000086309,CRYNJ,8.0,,1,1,,,1,,1,1,,,1,1,1
Q6NZL8,SCUB1_MOUSE,ENSMUSP00000130131,MOUSE,8.0,,,1,,,1,1,1,1,,,1,1,1
F1PQD9,F1PQD9_CANFA,ENSCAFP00000001290,CANFA,7.0,,,1,,,1,,1,1,,,1,1,1
F7CCK4,F7CCK4_MONDO,ENSMODP00000008369,MONDO,7.0,,,1,,,1,,1,1,,,1,1,1
F6V250,F6V250_ORNAN,ENSOANP00000004939,ORNAN,7.0,,1,,,,1,,1,1,1,,1,1,
F7HK10,F7HK10_MACMU,ENSMMUP00000008809,MACMU,7.0,,1,,,,1,1,1,1,,,1,1,
nan,nan,ENSPTRP00000024939,PANTR,7.0,,,1,,,,1,1,1,,,1,1,1
H2Q357,H2Q357_PANTR,ENSPTRP00000005841,PANTR,6.0,,1,,,,1,,1,1,,,1,1,
F6W3I7,F6W3I7_MACMU,ENSMMUP00000007960,MACMU,6.0,,,1,,,,,1,1,,,1,1,1
F1N7F6,F1N7F6_BOVIN,ENSBTAP00000027416,BOVIN,6.0,,1,,,,1,,1,1,,,1,1,
F1MJF1,F1MJF1_BOVIN,ENSBTAP00000037465,BOVIN,6.0,,,1,,,,,1,1,,,1,1,1
F1LV96,F1LV96_RAT,ENSRNOP00000000593,RAT,6.0,,1,,,,1,,1,1,,,1,1,
F6TP48,F6TP48_ORNAN,ENSOANP00000015519,ORNAN,5.0,,,,,,,,1,1,,,1,1,1
F6SEA3,F6SEA3_MONDO,ENSMODP00000017288,MONDO,5.0,,,,,,,1,1,1,,,1,1,
F1PNB6,F1PNB6_CANFA,ENSCAFP00000001853,CANFA,5.0,,,,,,,1,1,1,,,1,1,
E1BJX6,E1BJX6_BOVIN,ENSBTAP00000012158,BOVIN,5.0,,,,,,,1,1,1,,,1,1,
H2V5U3,H2V5U3_TAKRU,ENSTRUP00000044577,TAKRU,5.0,,,,,,,1,1,1,,,1,1,
E1C0H6,E1C0H6_CHICK,nan,CHICK,5.0,,,,,,,,1,1,1,,1,1,
H2RC29,H2RC29_PANTR,ENSPTRP00000056675,PANTR,5.0,,,,,,,,1,1,,,1,1,1
D4AC02,D4AC02_RAT,nan,RAT,5.0,,,,,,,,1,1,1,,1,1,
F7C453,F7C453_MONDO,ENSMODP00000009608,MONDO,5.0,,,,,,,,1,1,1,,1,1,
Q5G872,SCUB2_DANRE,nan,DANRE,5.0,,,,,,,1,1,1,,,1,1,
E1C8V3,E1C8V3_CHICK,nan,CHICK,4.0,,,,,,,,1,1,,,1,1,
K9J7R5,K9J7R5_XENTR,ENSXETP00000009633,XENTR,4.0,,,,,,,,1,1,,,1,1,
F1PKP9,F1PKP9_CANFA,ENSCAFP00000010563,CANFA,4.0,,,,,,,,1,1,,,1,1,
F1R0I7,F1R0I7_DANRE,ENSDARP00000093653,DANRE,4.0,,,,,,,,1,1,,,1,1,
Q66PY1,SCUB3_MOUSE,nan,MOUSE,4.0,,,,,,,,1,1,,,1,1,
Q8IX30,SCUB3_HUMAN,nan,HUMAN,4.0,,,,,,,,1,1,,,1,1,
F7HI44,F7HI44_MACMU,ENSMMUP00000031006,MACMU,4.0,,,,,,,,1,1,,,1,1,
Q9JJS0,SCUB2_MOUSE,nan,MOUSE,4.0,,,,,,,,1,1,,,1,1,
Q9NQ36,SCUB2_HUMAN,nan,HUMAN,4.0,,,,,,,,1,1,,,1,1,
H2TMZ3,H2TMZ3_TAKRU,ENSTRUP00000026049,TAKRU,4.0,,,,,,,,1,1,,,1,1,
F6ZMZ7,F6ZMZ7_ORNAN,ENSOANP00000017252,ORNAN,3.0,,,,,,,1,1,,,,,,1
A8B610,A8B610_GIAIC,nan,GIAIC,3.0,,,,,,1,1,,,,,,,1
H2SNX8,H2SNX8_TAKRU,ENSTRUP00000014115,TAKRU,2.0,,,,,1,,,,,,1,,,
