ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
nan,nan,ENSCINP00000022615,CIOIN,8.0,,1,,,1,,,1,1,1,1,1,1,
Q6TUH2,Q6TUH2_RAT,nan,RAT,5.0,,,,,1,,,,,1,1,1,1,
Q6QI35,Q6QI35_RAT,nan,RAT,4.0,,,,,,,,1,,1,,1,1,
nan,nan,ENSRNOP00000063194,RAT,4.0,,,,,,,,1,,1,,1,1,
A8DV44,A8DV44_NEMVE,nan,NEMVE,4.0,,,,,,,,1,,1,,1,1,
F6WIU4,F6WIU4_XENTR,ENSXETP00000017572,XENTR,4.0,,,,,,,,1,,1,,1,1,
F7A640,F7A640_XENTR,ENSXETP00000055082,XENTR,4.0,,,,,,,,1,,1,,1,1,
nan,nan,ENSXETP00000015143,XENTR,4.0,,,,,,,,1,,1,,1,1,
L7N2L2,L7N2L2_XENTR,ENSXETP00000005110,XENTR,3.0,,,,,,,,,,1,,1,1,
L7N228,L7N228_MOUSE,ENSMUSP00000096471,MOUSE,3.0,,,,,,,,1,,,,1,1,
F7C8I2,F7C8I2_XENTR,ENSXETP00000018735,XENTR,3.0,,,,,,,,,,1,,1,1,
F7DJ82,F7DJ82_XENTR,ENSXETP00000051638,XENTR,3.0,,,,,,,,,,1,,1,1,
L7N3M1,L7N3M1_XENTR,ENSXETP00000037930,XENTR,3.0,,,,,,,,,,1,,1,1,
F6Z380,F6Z380_XENTR,ENSXETP00000053197,XENTR,3.0,,,,,,,,,,1,,1,1,
F6YAG0,F6YAG0_XENTR,ENSXETP00000050091,XENTR,3.0,,,,,,,,,,1,,1,1,
F6Y156,F6Y156_XENTR,ENSXETP00000012964,XENTR,3.0,,,,,,,,,,1,,1,1,
L7N2N9,L7N2N9_XENTR,ENSXETP00000007897,XENTR,3.0,,,,,,,,1,,,,1,1,
A2CEP1,nan,nan,nan,3.0,,,,,,,,,,1,,1,1,
L7N3R1,L7N3R1_XENTR,ENSXETP00000043239,XENTR,3.0,,,,,,,,,,1,,1,1,
L7N3W7,L7N3W7_XENTR,ENSXETP00000051835,XENTR,3.0,,,,,,,,,,1,,1,1,
F6XJW5,F6XJW5_XENTR,ENSXETP00000015304,XENTR,3.0,,,,,,,,,,1,,1,1,
nan,nan,ENSXETP00000000482,XENTR,3.0,,,,,,,,,,1,,1,1,
nan,nan,ENSXETP00000015308,XENTR,3.0,,,,,,,,,,1,,1,1,
nan,nan,ENSXETP00000052949,XENTR,3.0,,,,,,,,,,1,,1,1,
nan,nan,ENSXETP00000053994,XENTR,3.0,,,,,,,,,,1,,1,1,
nan,nan,ENSXETP00000054626,XENTR,3.0,,,,,,,,,,1,,1,1,
nan,nan,ENSXETP00000055132,XENTR,3.0,,,,,,,,,,1,,1,1,
nan,nan,ENSXETP00000056957,XENTR,3.0,,,,,,,,,,1,,1,1,
F6XWN3,F6XWN3_XENTR,ENSXETP00000057800,XENTR,3.0,,,,,,,,,,1,,1,1,
nan,nan,ENSXETP00000057691,XENTR,3.0,,,,,,,,,,1,,1,1,
F6QYZ1,F6QYZ1_XENTR,ENSXETP00000004322,XENTR,3.0,,,,,,,,,,1,,1,1,
F6W6P9,F6W6P9_XENTR,ENSXETP00000054533,XENTR,3.0,,,,,,,,,,1,,1,1,
F6VAF8,F6VAF8_XENTR,ENSXETP00000053632,XENTR,3.0,,,,,,,,,,1,,1,1,
F6SW07,F6SW07_XENTR,ENSXETP00000022786,XENTR,3.0,,,,,,,,,,1,,1,1,
F6W2S5,F6W2S5_XENTR,ENSXETP00000053454,XENTR,3.0,,,,,,,,,,1,,1,1,
A7T923,A7T923_NEMVE,nan,NEMVE,3.0,,,,,,,,1,,1,,1,,
F6VNH7,F6VNH7_XENTR,ENSXETP00000057364,XENTR,3.0,,,,,,,,,,1,,1,1,
F6W8B2,F6W8B2_XENTR,ENSXETP00000054398,XENTR,3.0,,,,,,,,,,1,,1,1,
F6WIH4,F6WIH4_XENTR,ENSXETP00000055817,XENTR,3.0,,,,,,,,,,1,,1,1,
F6WN75,F6WN75_XENTR,ENSXETP00000043156,XENTR,3.0,,,,,,,,,,1,,1,1,
Q89TP3,Q89TP3_BRADU,nan,BRADU,2.0,,,,,1,,,,,,1,,,
F6SDS8,F6SDS8_MACMU,ENSMMUP00000032624,MACMU,2.0,,,,,,,,1,,1,,,,
Q55EE8,Q55EE8_DICDI,nan,DICDI,2.0,,,,,1,,,,,,1,,,
F6QE18,F6QE18_MACMU,ENSMMUP00000032040,MACMU,2.0,,,,,,,,1,,1,,,,
F6SLH8,F6SLH8_MACMU,ENSMMUP00000032600,MACMU,2.0,,,,,,,,1,,1,,,,
Q8TH94,Q8TH94_METAC,nan,METAC,2.0,,,,,1,,,,,,1,,,
Q8TIG6,Q8TIG6_METAC,nan,METAC,2.0,,,,,1,,,,,,1,,,
Q8TIG7,Q8TIG7_METAC,nan,METAC,2.0,,,,,1,,,,,,1,,,
Q8TJY1,Q8TJY1_METAC,nan,METAC,2.0,,,,,1,,,,,,1,,,
Q961V7,Q961V7_DROME,nan,DROME,2.0,,,,,1,,,,,,1,,,
Q54SM4,Q54SM4_DICDI,nan,DICDI,2.0,,,,,1,,,,,,1,,,
A7SLF5,A7SLF5_NEMVE,nan,NEMVE,2.0,,,,,1,,,,,,1,,,
Q8A5E2,Q8A5E2_BACTN,nan,BACTN,2.0,,,,,1,,,,,,1,,,
Q55DS8,Q55DS8_DICDI,nan,DICDI,2.0,,,,,1,,,,,,1,,,
Q59KQ0,Q59KQ0_CANAL,nan,CANAL,2.0,,1,,,,,,,1,,,,,
D3ZI01,D3ZI01_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
F7GVC9,F7GVC9_MACMU,ENSMMUP00000039255,MACMU,2.0,,,,,,,,1,,1,,,,
C3Z8D4,C3Z8D4_BRAFL,nan,BRAFL,2.0,,,,,,,,1,,1,,,,
C3YXZ3,C3YXZ3_BRAFL,nan,BRAFL,2.0,,,,,,,,1,,1,,,,
F7H122,F7H122_MACMU,ENSMMUP00000034526,MACMU,2.0,,,,,,,,1,,1,,,,
C3YWT8,C3YWT8_BRAFL,nan,BRAFL,2.0,,,,,,,,1,,1,,,,
F7CU91,F7CU91_MACMU,ENSMMUP00000041057,MACMU,2.0,,,,,,,,1,,1,,,,
F7ADW4,F7ADW4_MACMU,ENSMMUP00000041320,MACMU,2.0,,,,,,,,1,,1,,,,
F1MSK4,F1MSK4_BOVIN,ENSBTAP00000017537,BOVIN,2.0,,,,,,,,,,,,1,1,
F7HF88,F7HF88_MACMU,ENSMMUP00000024097,MACMU,2.0,,,,,,,,1,,1,,,,
F6ZG27,F6ZG27_XENTR,ENSXETP00000012417,XENTR,2.0,,,,,,,,,,,,1,1,
F7HI67,F7HI67_MACMU,ENSMMUP00000034990,MACMU,2.0,,,,,,,,1,,1,,,,
F7HLF9,F7HLF9_MACMU,ENSMMUP00000034439,MACMU,2.0,,,,,1,,,,,,1,,,
Q6QI78,Q6QI78_RAT,nan,RAT,1.0,,,,,,,,1,,,,,,
Q6CCB5,Q6CCB5_YARLI,nan,YARLI,1.0,,,,,,,,,1,,,,,
Q6CAI7,Q6CAI7_YARLI,nan,YARLI,1.0,,,,,,,,,1,,,,,
Q8TIC7,Q8TIC7_METAC,nan,METAC,1.0,,,,,,,,,,,1,,,
Q6CA46,Q6CA46_YARLI,nan,YARLI,1.0,,,,,,,,,1,,,,,
A7SP19,A7SP19_NEMVE,nan,NEMVE,1.0,,,,,,,,1,,,,,,
F6PMG0,F6PMG0_MACMU,ENSMMUP00000034366,MACMU,1.0,,,,,,,,1,,,,,,
nan,nan,ENSMUSP00000131505,MOUSE,1.0,,,,,,,,1,,,,,,
nan,nan,ENSBTAP00000048418,BOVIN,1.0,,,,,,,,1,,,,,,
nan,nan,ENSBTAP00000048967,BOVIN,1.0,,,,,,,,1,,,,,,
nan,nan,ENSBTAP00000049526,BOVIN,1.0,,,,,,,,1,,,,,,
nan,nan,ENSBTAP00000049946,BOVIN,1.0,,,,,,,,1,,,,,,
nan,nan,ENSBTAP00000050194,BOVIN,1.0,,,,,,,,1,,,,,,
nan,nan,ENSBTAP00000051259,BOVIN,1.0,,,,,,,,1,,,,,,
nan,nan,ENSBTAP00000051671,BOVIN,1.0,,,,,,,,1,,,,,,
nan,nan,ENSBTAP00000051910,BOVIN,1.0,,,,,,,,1,,,,,,
nan,nan,ENSBTAP00000052592,BOVIN,1.0,,,,,,,,1,,,,,,
Q6C7P5,Q6C7P5_YARLI,nan,YARLI,1.0,,,,,,,,,1,,,,,
nan,nan,ENSMUSP00000052074,MOUSE,1.0,,,,,,,,1,,,,,,
nan,nan,ENSBTAP00000047794,BOVIN,1.0,,,,,,,,1,,,,,,
F6WT40,F6WT40_MACMU,ENSMMUP00000040870,MACMU,1.0,,,,,,,,1,,,,,,
Q59K55,Q59K55_CANAL,nan,CANAL,1.0,,,,,,,,,1,,,,,
Q54H03,Q54H03_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q54E03,Q54E03_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q54DH4,Q54DH4_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q54C59,Q54C59_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q54BX9,Q54BX9_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
F6V2K1,F6V2K1_MACMU,ENSMMUP00000040904,MACMU,1.0,,,,,,,,1,,,,,,
F6VHV6,F6VHV6_MACMU,ENSMMUP00000033787,MACMU,1.0,,,,,,,,1,,,,,,
F6VQA1,F6VQA1_MACMU,ENSMMUP00000033755,MACMU,1.0,,,,,,,,1,,,,,,
F7HQT2,F7HQT2_MACMU,ENSMMUP00000010447,MACMU,1.0,,,,,,,,1,,,,,,
F7G592,F7G592_MACMU,ENSMMUP00000040305,MACMU,1.0,,,,,,,,1,,,,,,
F7FU52,F7FU52_MACMU,ENSMMUP00000040378,MACMU,1.0,,,,,,,,1,,,,,,
F7FS62,F7FS62_MACMU,ENSMMUP00000033044,MACMU,1.0,,,,,,,,1,,,,,,
F7F3J9,F7F3J9_MACMU,ENSMMUP00000035312,MACMU,1.0,,,,,,,,1,,,,,,
F7D695,F7D695_MACMU,ENSMMUP00000041005,MACMU,1.0,,,,,,,,1,,,,,,
F7CU76,F7CU76_MACMU,ENSMMUP00000041058,MACMU,1.0,,,,,,,,1,,,,,,
F7A9M3,F7A9M3_MACMU,ENSMMUP00000036318,MACMU,1.0,,,,,,,,1,,,,,,
Q54EB0,Q54EB0_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q54I16,Q54I16_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q55GB5,Q55GB5_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q54NQ5,Q54NQ5_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q55G78,Q55G78_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q55F54,Q55F54_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q55F48,Q55F48_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q55EY3,Q55EY3_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q55EF5,Q55EF5_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
F6WST5,F6WST5_MACMU,ENSMMUP00000040880,MACMU,1.0,,,,,,,,1,,,,,,
Q55D27,Q55D27_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q559Y6,Q559Y6_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q556R5,Q556R5_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q556Q4,Q556Q4_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q556A6,Q556A6_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q554I1,Q554I1_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q552N1,Q552N1_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q54X89,Q54X89_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q54UH5,Q54UH5_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q54E13,Q54E13_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
