ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A2BG56,A2BG56_DANRE,nan,DANRE,5.0,,,1,1,,,,,1,1,,1,,
C3ZJA6,C3ZJA6_BRAFL,nan,BRAFL,2.0,,,,,,,,,1,,,1,,
nan,nan,ENSXETP00000000689,XENTR,2.0,,,1,1,,,,,,,,,,
A9UQD8,A9UQD8_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
Q9W2R6,nan,nan,nan,1.0,,,,,,,,,,1,,,,
nan,nan,ENSRNOP00000056401,RAT,1.0,,,,,,,,,,1,,,,
nan,nan,ENSCINP00000029719,CIOIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCINP00000029717,CIOIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCINP00000029466,CIOIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCINP00000023533,CIOIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCINP00000023531,CIOIN,1.0,,,,,,,,,,,,1,,
Q9HDV8,YOE2_SCHPO,nan,SCHPO,1.0,,,,,,,,,,1,,,,
B0YEP2,B0YEP2_ASPFC,nan,ASPFC,1.0,,,,,,,,,,1,,,,
A7S0D8,A7S0D8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q4QGL0,Q4QGL0_LEIMA,nan,LEIMA,1.0,,,,,,,,,,1,,,,
O76573,O76573_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
F6XHV4,F6XHV4_CIOIN,ENSCINP00000019607,CIOIN,1.0,,,,,,,,,,1,,,,
A7SSW4,A7SSW4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
C3YE51,C3YE51_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
Q980D5,Q980D5_SULSO,nan,SULSO,1.0,,,,,,,,,,1,,,,
